location_name,name,date,rating,review_text
Mandala Suci Wenara Wana,mimi,2 minggu lalu,5 bintang,"Tempat bersih
Monyet terawat. Gemuk2. Diberi makan dgn baik oleh petugasnya.
Ikuti arahan yg ada jd mrk jg tdk akan ganggu kalian.
Tempatnya besarrrr sekali. Cape juga kalau utk
Org tua. Akses wheelchair/stroller sedikit. Kalau mau menjelajah ga bs bawa roda. Krn byk tangga.
Tp worth it ke tmp ini. Bs lihat monyet dr dekat."
Mandala Suci Wenara Wana,Fuad Fuad,4 minggu lalu,4 bintang,Tempatnya sejuk dan banyak patung patung yang bagus. Ada juga pura di dalam area ini. Banyak monyet di berbagai area dan bisa foto foto. Bisa juga sebagai sarana berolah raga ringan yaitu berjalan kaki.
Mandala Suci Wenara Wana,Dia Ayu,2 minggu lalu,5 bintang,"Monyet2nya disini lebih kalem dibandingkan uluwatu, hihihihi…. Atmosfer nya juga dapat sekali. Lucu2 monyetnya, diharapkan pengunjung jgn membawa plastik yaaa karena monyet akan mendekat."
Mandala Suci Wenara Wana,aditya wicaksono,3 bulan lalu,5 bintang,"A great place to healing your soul and find your ancestor (kidding). Suasana yang sejuk, alami dan kera-kera yang bersahabat. Hanya saja lalu-lalang kendaraan bermotor dari perkampungan sekitar sedikit mempengaruhi suasana alami yang telah dibangun"
Mandala Suci Wenara Wana,Talitha Diva Azalia,3 bulan lalu,5 bintang,"Tempat yang asik buat jalan jalan, tapi harus hati hati sama barang bawaan, kalaupun bawa tas kalau ada gantungan kunci atau gantungan tws atau apapun yang menggantung di tas mending di masukin ke dalam tas dulu aja yaa soalnyaa bisa menarik perhatian monyet2nya dan bisa jadi malah di tarik sama monyet disinii🙈"
Mandala Suci Wenara Wana,Jeni Agustiningrum,4 bulan lalu,5 bintang,"Untuk wisatawan lokal Rp. 80.000 dan wisatawan mancanegara Rp. 100.000
Tidak boleh membawa makanan dan minuman, tas taruh depan karena banyak monyet. Kalau kita bersikap biasa dan mematuhi aturan, monyet tidak akan mengganggu pengunjung. Dan ada pertunjukkan tari dan drama juga..seru sekali. Dari pasar ubud jalan kaki kira kira 30 menitan"
Mandala Suci Wenara Wana,Icha Chan,sebulan lalu,5 bintang,"Adem pastinya, bersih meskipun banyak monyetnya. Cocok liburan keluarga baik anak2 maupun dewasa"
Mandala Suci Wenara Wana,Muhammad Bagus Laksono,3 bulan lalu,5 bintang,"Tiket masuk 80rb untuk turis domestik, tempatnya sejuk, monyet2 nya bener2 interaksi sama pengunjung."
Mandala Suci Wenara Wana,Devin Aprilia,5 bulan lalu,5 bintang,"Ubud konon berasal dari kata obat. Yang saya rasakan saat masuk daerah ubud memang berbeda. Cukup gampang menemukan lokasi ini, kami pun hanya mengandalkan google maps. Saat saya kecil saya punya peliharaan monyet seperti ini. Walaupun tergolong tidak berbahaya namun tetap waspada ya harap jaga jarak dengan bbrp monyet juga jangan jauh2 dari bli-bli petugas, mereka sigap dan cekatan ketika pengunjung mulai gusar."
Mandala Suci Wenara Wana,Andi Ainun Nima,4 bulan lalu,5 bintang,"Harga tiket WNI KTP bali dan luar bali, serta WNA berbeda. baiknya datang ke sini pagi hari jam 9 agar tidak terlalu ramai. jangan bawa apapun di tangan (kacamata, makanan, tongsis dll) kalo ga mau diambilin sama monyetnya."
Mandala Suci Wenara Wana,Repta Wiranu,6 bulan lalu,5 bintang,"Pertama kali datang ke sini, tempatnya sangat luas dan bersih terawat! 😍
Banyak monyet berkeliaran tapi mereka jinak dan nggak nguber pengunjung. Asal jangan bawa makanan atau kresek, karena pasti mereka ambil😂
Dan jangan tatap matanya karena bisa langsung diserang monyetnya 😂
Bisa foto selfie juga, bayar 50k aja fotonya banyak banget nanti dibantu sama pemandunya.
Tempatnya juga adem banget karena di bawah pohon rindang, datang pagi atau sore enak banget! 🫶"
Mandala Suci Wenara Wana,Taufan Yusuf Nugroho,8 bulan lalu,5 bintang,"Ini kali kedua berkunjung ke Monkey Forest. Nah, kunjungan kedua setelah 9 tahun lalu, merasakan nuansa baru dari lokasi wisata tersebut. Pintu masuk yang direnovasi dan menjadi lebih VIP membuat Monkey Forest semakin berkelas. Nah, pas kesini di hari kerja, wisatawan mancanegara menjadi yang mendominasi lokasi wisata. Mereka begitu menikmati suasana hutan alam yang penuh dengan populasi kera khas Bali. Kalau kesini perlu berangkat lebih awal karena jalanan pasti macet."
Mandala Suci Wenara Wana,Ganang Restu Bariadi,setahun lalu,5 bintang,"Tempat di mana kamu bisa melihat sekawanan monyet di habitat alami mereka. Jangan kaget jika kamu disambut oleh beberapa monyet yang sedang berlarian di jalan, bergelantungan di pohon, saling bermain kejar-kejaran atau bertengkar, atau sekadar tidur di tengah jalan.

Jaga barang bawaanmu seperti paper bag dan kacamata. Jangan bertatapan mata secara langsung dengan monyet di sini jika kamu tidak ingin diserang oleh mereka. Meskipun mereka terlihat menggemaskan, namun tetap berhati-hati.

Di tempat ini agak sedikit bau kotoran monyet. Maka kamu harus tahan akan bau itu.

Tempat parkir mobil sangat luas. Namun kamu harus berjalan kaki dari tempat parkir mobil menuju ke pintu masuk untuk ticketing."
Mandala Suci Wenara Wana,Mandra Farandy Janitra,2 bulan lalu,5 bintang,"Hutan monyet, harga tiket 60ribu untuk turis domestik, syukurlah monyet disini tergolong ramah & tidak jahil mengambil barang kita 😅"
Mandala Suci Wenara Wana,Purboyo Farm,4 bulan lalu,5 bintang,"Pura yang sangat sakral. Aura kesakralannya sangat terasa terutama pura yang letaknya di bawah, dekat kolam yang ada pancurannya. Dari patung-patung yang di depannya terlihat sangat tua. Sangat menarik untuk dikunjungi."
Mandala Suci Wenara Wana,Diah Yogaswati,5 bulan lalu,5 bintang,"Monyet di sini gemoy2 banget, cocok bawa keluarga kesini sekalian wisata edukasi.
Di suguhi tarian daerah juga di pura."
Mandala Suci Wenara Wana,MC Tommy Kharis,11 bulan lalu,5 bintang,"Mengantarkan teman dari Jepang untuk mengunjungi dan melihat Monkey Forest Ubud secara langsung, tempat ini sungguh indah, sebuah hutan yang di huni oleh ratusan kera atau monyet yang tertata rapih, suasananya sangat asri dan indah untuk harga tiket masuk disini di bedakan menjadi 3 kategori yaitu warga asli bali, turis lokal dan turis asing.

Kita bebas berkelilingi mengexplore semua tempat disini, area hutan yang sangat luas, tempat ini juga memiliki area fasilitas yang sangat luas dan lengkap menjadikan tempat ini nyaman untuk berwisata dengan banyak orang."
Mandala Suci Wenara Wana,ninin kholida,9 bulan lalu,4 bintang,"Wanawisata yang dilengkapi restoran di depan, taman untuk pertunjukan sendratari (di jam tertentu), serta tempat hidup bagi monyet liar, juga ada pura/tempat ibadah di dalamnya. Sehingga pengunjung perlu memerhatikan pakaian yg dikenakan untuk menghargainya (sopan, dilarang pakai bikini atau baju yg tidak pantas lainnya secara etika). Dilarang memberi makan monyet secara langsung, menatap monyet atau mengganggu supaya monyet tidak agresif. Secara umum, monyet biasa berinteraksi dg pengunjung; namun tetap waspada thd barang bawaan. Wanawisata dinikmati dg berjalan kaki serta ada beberapa tangga, dan tidak ada transportasi bantu seperti sepeda atau otopet. Sebenarnya jarak keseluruhan tidak terlalu jauh, namun tidak disarankan bagi lansia, anak-anak atau disabilitas yg tidak kuat berjalan sekitar hampir 1km."
Mandala Suci Wenara Wana,Catur J. Sutrisno,2 bulan lalu,4 bintang,"suasana kurang dikarenakan banyak kendaraan lalu lalang disekitar area wisata, tiket 80k untuk wni."
Mandala Suci Wenara Wana,Hamid Anwar,10 bulan lalu,5 bintang,"Pertama kali ke Ubud Monkey Forest dengan tiket 60 ribu kita bisa menikmati udara segar, hutan alami sambil melihat kawanan kera. Sebagian besar pengunjung adalah wisatawan asing"
Mandala Suci Wenara Wana,intan labamondo,9 bulan lalu,5 bintang,"Tempatnya luar biasa, just like a real jungle😅
Tapi harganya terlalu besar sih untuk masuk ke hutan buat lihat monkey🤣 apalagi untuk warga domestik"
Mandala Suci Wenara Wana,Charles P Bakara,7 bulan lalu,5 bintang,"Tuk melihat monyet dialam liar secara dekat, monyet monyet nya masih bisa di sentuh kalau tidak ada petugasnya, jangan sampai memberi makan atau minum monyet nanti monyetnya akan dimarahi dan dikejar kejar petugas nya . Untuk lokal 200rb 2 dewasa 2 anak anak."
Mandala Suci Wenara Wana,Marizca Rachel,setahun lalu,5 bintang,"Harga masuk utk turis lokal Rp. 60.000 per orang.. Di dalam ada area jalannya yg tertata rapih, banyak monyet, kadang monyetnya suka iseng.. Kalau mau foto sama monyet ada biayanya jg, Rp. 50.000 tapi bisa foto sepuasnya.."
Mandala Suci Wenara Wana,Linda Boediyono,11 bulan lalu,5 bintang,"Really touristic and popular place in ubud.
Selain untuk liburan. Tempatnya juga cocok untuk edukasi, ramah anak-anak,difabel,toilet yg bersih dan monyet disini tidak agresif seperti di uluwatu.Sangat rekomended untuk turis lokal dan mancanegara, hindari berkunjung di akhir pekan karena jalan macet."
Mandala Suci Wenara Wana,Binsar 140677,setahun lalu,3 bintang,"Tempat wisata yg cukup menghibur untuk keluarga dan anak2. Melihat monyet bebas berinteraksi tanpa takut membahayakan kita. Ada beberapa spot yg sudah ditutup.
Suasana terasa alami, serasa ada di hutan, kebersihan tetap terjaga hanya saja informasi ttg monkey forest yg masih kurang."
Mandala Suci Wenara Wana,Surya Simarmata,9 bulan lalu,5 bintang,"Tempatnya sejuk, banyak pepohonan yang ditinggali monyet serta  didalamnya ada pura. Tempat ini cocok juga untuk anak-anak sebagai wisata edukasi."
Mandala Suci Wenara Wana,Cynthia Sang,11 bulan lalu,5 bintang,"Indah sekali hutannya! Monyetnya ada yg serem, ada yg lucu. Jgn pakai tas yg terbuka, perhiasan, makanan dll kalau tidak dilompatin sm monkey"
Mandala Suci Wenara Wana,Yosy Oey,setahun lalu,5 bintang,"Pertama x masuk ke Monkey Forest, suasana asri, adem. Kalau ke sini lebih baik di pagi hari, buka jam 9 pagi. HTM WNI : 60 rb/org. Ada Monkey Selfie🐵, yg di bantu oleh staf di sana,dikenakan biaya tambahan : 50 K 🤗🤗
Aturan di Monkey Forest 🐒🐒🐒 :
1. Jgn tatap langsung mata si Monkey
2. Jgn pegang2 si Monkey
3. Jgn bawa barang tas belanjaan/tentengan
4. Di larang memberi monyet makanan

Next mau balik lagi ke Monkey Forest kalau lagi ke Bali 🐵😎"
Mandala Suci Wenara Wana,Bro Putu,setahun lalu,5 bintang,"Taman satwa alami yang dihuni oleh ribuan Monyet / Kera dari berbagai spesies. Tempat ini sangat sejuk karena karena banyak pohon perindang yang besar serta sebagai tempat tinggal monyet-monyet tersebut. Untuk Monyet-monyet tersebut tidak agresif asalkan kita mengikuti panduan yang ada di taman tersebut serta banyak penjaga di area tersebut.
Di beberapa tempat dalam taman tersebut kita akan di suguhi berbagai atraksi monyet seperti monyet yang lagi mandi kolam dan bermain diranting kayu serta bisa selfie dengan monyet dengan membeli tiket khusus IDR 50k dan tiket masuk IDR 80k.
Taman ini sangat cocok dikunjungi untuk liburan keluarga dan anak-anak.
Di area konter tiket disediakan fasilitas free Wifi dan terdapat juga kantin yang menyediakan minuman dan snack untuk pengunjung.
Untuk parkir mobil sangat luas di area belakang, jadi tidak usah khawatir kehabisan tempat parkir, untuk parkir sepeda motor di sediakan di bagian depan pintu masuk area Monkey Forest tersebut dan dengan tiket parkir berbayar per jam."
Mandala Suci Wenara Wana,Roma Hotmaria,setahun lalu,5 bintang,Tempat yang seru untuk bisa menyaksikan berbagai jenis monyet. Selain melihat monyet kita juga bisa melihat pohon-pohon besar yang akar-akarnya sudah seperti batang pohon. Lokasi sangat luas dan naik turun. Ada beberapa pemandu yang bisa menemani pengunjung untuk bisa dekat dengan monyet sehingga bisa berpoto sambil menggendong monyet. Tiket pemandu bisa dibeli di pintu masuk seharga 50.000.
Mandala Suci Wenara Wana,the coffeeaddict,9 bulan lalu,5 bintang,"Pemandangan yang asri, sejuk, dan kelakuan monyet yang lucu-lucu bikin betah disini, banyak juga scene pura yang indah, pas kesini ada arakan persiapan ngaben, gak sempat foto 👍 …"
Mandala Suci Wenara Wana,Egi Tyo Kristy,setahun lalu,5 bintang,"Salah satu tempat wisata yang sangat terawat dan indah berada di kawasan ubud yang begitu indah dan tenang, kalau ke ubud wajib kesini karena kita bebas melihat begitu banyak monyet dimana-mana tetapi tetap harus berhati hati karena monyet nya mungkin bisa nakal. Overall cocok lah mengajak keluarga berwisata kesini…"
Mandala Suci Wenara Wana,Dylan Richard,setahun lalu,3 bintang,"Aku yang ulangtahun di ajak Daddy dan Mommyku untuk liburan ke Bali..
Aku senang karna bisa liburan di Bali selama 5hari..
Banyak tempat wisata Bali yang ke kunjungi salah satunya Monkey Forest ini..
Lokasi lumayan luas lo dan banyaknya Monkey yang langsung kontak dengan manusia membuat aku terkesan dan menarik perhatianku..
Saat Daddyku membeli tiket ada seekor Monkey yang menarik² kencang tasku dan aku sedikit takut dan akhirnya petugas di sana membantu aku agar Monkeynya pergi..
Ternyata menurut petugasnya gantungan tasku ( Dettol Hand sanitizer ) menarik perhatian Monkey yg mengira itu adalah makanan dan petugas pun meminta aku untuk memasukkan Dettolku ke dalam tas..
Aku juga berkesempatan selfie dengan Monkey..
Dengan di bantu petugasnya menarik perhatian si Monkey sembari petugasnya mengambil photoku dengan kamera hp milik Mommyku..
Aku senang di sini tapi juga kesal karna pintu masuk dan pintu keluar 1 pintu sehingga aku yang sudah lelah jauh berjalan harus kembali lagi ke arah pintu masuk padahalkan di ujung jalan yang sudah jauh kami kelilingi ada pintu keluar tapi di tutup aksesnya..
Inilah yg membuat ratingnya hanya 3 dari 5 ya..
Kenyamanan pengunjung yang sudah jauh naik turun tangga harusnya di perhatikan..
Inilah pengalamanku.."
Mandala Suci Wenara Wana,Bintang Akbar Maulana,2 tahun lalu,5 bintang,"Tempatnya luas sekali, bersih, banyak penjaga atau pawang monyet di setiap titik lokasi. Diberikan map dan petunjuk pada saat membeli tiket masuk.
Tidak perlu khawatir pada monyet - monyet dan jangan membuat gerakan tiba - tiba, dan juga jangan membawa kantong kresek karena akan menarik perhatian monyet.
Tempatnya sejuk banyak pohon, dan juga banyak nyamuk, karena di tengah hutan.
Jika beruntung juga bisa melihat rusa liar."
Mandala Suci Wenara Wana,Ellys Manik,setahun lalu,4 bintang,"tempatnya nyaman
banyak guide yang nolongin
monkey keliaran dan kadang anak anak agak merasa takut sih
tapi kita ga diganggu waktu itu

bangunan didalamnya masih cukup terawat
namun memang sudah sangat tua
jalan didalam juga tidak terlalu menyulitkan untuk dijalani"
Mandala Suci Wenara Wana,Rio Chantyno Arwanda,setahun lalu,5 bintang,"Melihat monyet di habitatnya secara langsung sangat menarik, tetapi sepertinya monyetnya kehilangan kemampuan mencari makanan sendiri dikarenakan sudah diberi makan oleh penjaga kawasan hutan.

Ada jasa selfie bersama monyet dengan bayar 50rb rupiah.

Recommended untuk melepas penat melihat tingkah lucu monyet-monyet, dan juga monyet-monyetnya relatif jinak dan tidak jahil dibandingkan monyet-monyet lain di daerah Bali yang lain."
Mandala Suci Wenara Wana,Yani Sahi,setahun lalu,5 bintang,"Tempat paling menyenangkan utk berinteraksi dengan monyet, kl dengar monyet trus di Bali pasti kita takut kan, takut barang2 kita di curi sama monyetnya dan blm tentu bisa diambil balik, tp monyet disini ramah dan bisa dipegang, bahkan bisa diajak selfie, tolong jgn pegang atau gendong anak monyetnya yah bisa2 kita diserbu dan diserang sama kawanan monyetnya, cukup bermain dan berinteraksi dgn yg dewasa saja, tp tetap yah hrs waspada dgn kacamata dan brg2 kita yg lain, total berjalan kaki disini 12 ribu langkah, mayan kan, healing nya dpt badan jg sehat stres hilang krn main sama monyet."
Mandala Suci Wenara Wana,Gecho Bali Tour Official,5 bulan lalu,5 bintang,Tempatnya bersih dan sujuk..tamannya tertata sangat rapi..
Mandala Suci Wenara Wana,Mathyus 333,setahun lalu,5 bintang,"Suasana tempat bagus seperti di alam, ada berbagai jenis monyet di tempat ini, dan bisa berfoto bersama mereka, dengan harga Rp.50.000 dan bisa mendapatkan banyak foto."
Mandala Suci Wenara Wana,Adi Kurniawan,setahun lalu,5 bintang,"Untuk para turis, ketahui ini:

Anda tidak diperbolehkan memegang monyet. Jika mereka mendekat ke anda dan naik ke pundak anda, anda tidak perlu panik.

Akan ada tarian tradisional setiap jam 11 setiap hari.

Monyet-monyet sangat ramah namun jangan mencoba untuk melawan mereka."
Mandala Suci Wenara Wana,Kim Eveel,setahun lalu,5 bintang,Suasana tenang dan hijau. Monyet tidak senakal di tmpt lain krna cukup banyak karyawan yang sudah cukup berpengalaman menangani monyet
Mandala Suci Wenara Wana,Kwon Yuri38,8 bulan lalu,5 bintang,"Tempat nya adem, buat santai"" duduk oke lah, monyet nya byk tapi untung enga yg nakal ya, pas jalan gak di ganggu juga"
Mandala Suci Wenara Wana,debora della,2 tahun lalu,5 bintang,"Kawasan monkey forest amat teduh dan parkirannya pun enak tertata rapi dan memiliki areal pejalan kaki. Untuk masuk ke dalam diperlukan biaya 60ribu rupiah per WNI dan untuk pakan ikan dikenakan biaya 10rb. Jika mau masuk kedalam pakan ikan tidak boleh di bawa karena dapat menarik para monyet dan mengiranya makanan sehingga saat mau masuk ke kawasan hutan harus dititipkan. Monyet2 disini meski liar tidak galak atau mengganggu. Mereka seperti sudah terbiasa bertemu manusia. Suasananya sejuk cuma cukup banyak nyamuk sih, disarankan pakai autan atau sesuatu yang berbau sereh sebelum masuk destinasi. saya suka ke sini karena bisa santai menikmati teduhnya pohon dan cardio (jalan kaki)."
