location_name,name,date,rating,review_text
Pura Ulun Danu Beratan,pepi toro,3 hari lalu,5 bintang,"Wisata religi yang sangat terkenal di bali, tempatnya luas dan sangat banyak spot foto yang bisa dipilih, cuna kalau pas banyak rombongan wisata memang agak susah untuk foto. …"
Pura Ulun Danu Beratan,Aji Prasetyo,1 hari lalu,5 bintang,Suasananya menenangkan. Pemandangannya menyajikan alam yang asri. Terkesan bersih. Mengingatkan pada uang Rp 50.000 jaman dahulu. …
Pura Ulun Danu Beratan,Aghata Dhiwi Ashita,sebulan lalu,5 bintang,"Maret 2024.
Keluarga dengan 2 anak.
Banyak perubahan dibanding kunjungan di 2019. Tamannya ditata dengan lebih …"
Pura Ulun Danu Beratan,Bro Putu,2 bulan lalu,5 bintang,"Pura Ulun Danu adalah salah satu tujuan destinasi wisata yang sangat populer di Bali karena keindahan dan keasrian alamnya.
Memasuki tempat ini akan terasa hawa yang sangat sejuk dan agak dingin terutama …"
Pura Ulun Danu Beratan,Mathilda Natalia,sebulan lalu,5 bintang,"Tempat bersih, luas, sayang toilet di dalam area wisata msh berbayar, pdhl tiket masuk sudah 50 rb utk lokal dan 150 rb utk non lokal, mestinya toilet sdh jd fasilitas yg disediakan tempat wisata"
Pura Ulun Danu Beratan,Ari Gunawan,sebulan lalu,5 bintang,"kami parkir di pinggir danau yg dikelola warga setempat, parkir mobil 5K, tiket masuk utk dewasa 5K IDR per orang, naik perahu dayung 100K IDR (kapasitas 4 orang), bisa melihat pura ulun danu langsung dari danau batur."
Pura Ulun Danu Beratan,M. Ikhwan Ghilman Khilmi,5 hari lalu,5 bintang,"Keren.. ini lah iconic yang sempat viral..karena tempat ini, sudah ada di uang kertas bernilai 50 ribu rupiah cetakan tahun 2010 keatas.. benar benar cantik pemandangan danau nya"
Pura Ulun Danu Beratan,imam fauzie,2 bulan lalu,5 bintang,"Tempat yang indah.

Akhir Desember 2023 lalu, untuk pertama kalinya saya dan istri mengunjungi pura …"
Pura Ulun Danu Beratan,Juwita Natalia,2 minggu lalu,5 bintang,Tempat yang sangat ramai dikunjungi pada saat lagi musim liburan. Banyak spot untuk foto atau bisa juga sewa tukang foto sekalian print untuk hasil yang bagus. Sebaiknya sebelum berkunjung dicek untuk cuacanya. Soalnya pengalaman saya sudah …
Pura Ulun Danu Beratan,Sergi Aditya Putra,3 minggu lalu,5 bintang,"(+)tiket masuk di Weekend hanya 50rb/orang. Sebelum masuk juga dikasih free air minum per tiket. Ada banyak spot foto dan restoran juga disini. Ada beberapa hewan juga disini yang bisa di pegang atau di ajak foto, spt:  ikan koi, burung …"
Pura Ulun Danu Beratan,Robiatul Adawiyah,seminggu lalu,5 bintang,"salah satu tempat wisata yg wajib dikunjungi kalau ke Bali, tempatnya dingin, syahdu, sejuk cocok untuk anak2 juga"
Pura Ulun Danu Beratan,Aziza Syoleh,sebulan lalu,5 bintang,"Tempat ini sungguh unreal! Udaranya sejuk sekali, area bersih, lebih-lebih pemandangannya masyaallah indah sekali. Saya pergi mengunjunginya saat karya wisata bersama teman SMA. Saya ingat betul perjalanan ke lokasi memakan waktu yang lama, …"
Pura Ulun Danu Beratan,eva vidya,sebulan lalu,5 bintang,"Wisata yg tamannya sangat adem, murah, bersih, nyaman untuk bersantai dan dinikmati.
Ketemu fotografer yg sangat periang, & humble juga, menawarkan jasa foto hanya …"
Pura Ulun Danu Beratan,bela auliazia,sebulan lalu,5 bintang,"danau dengan view yang sangat cantik, airnya tenang, dan sangat bersih. banyak wisatawan asing maupun lokal, waktu kesana mendekati hari raya nyepi jadi ada beberapa area dalam proses renovasi."
Pura Ulun Danu Beratan,agusp84,2 bulan lalu,5 bintang,Banyak tempat untuk spot foto...harus antri kalo foto ditempat2 tertentu soale banyak turis yang datang jadi gantian gitu ..masuknya kena tiket 50rb..untuk memperoleh foto yang estetik didanaunya bisa naik speedboat harga tiketnya 150rb untuk 4 orang..
Pura Ulun Danu Beratan,Erry Putra Setiawan,sebulan lalu,5 bintang,"Tempat yang sangat bagus bersih dan rapi. Gak nyesel perjalan 1.5 jam dari kita. Tiket masuk kesini 50rb, jangan khawatir utk makan disan sudah banyak tempat makan yang bagus2"
Pura Ulun Danu Beratan,Sea Pit,3 bulan lalu,5 bintang,Tempat yang sangat bagus dengan pemandangan panorama bukit yang indah. Tempat ini tidak ada sampah berserakan sama sekali. Udara masih segar tanpa polusi. Arsitektur model tradisional yang indah dan memukau. Terdapat semacam kafe dan tempat sewa baju khas Bali di dekat sini.
Pura Ulun Danu Beratan,Narindra Wikansari,3 minggu lalu,4 bintang,"Tempat bagus dan bersih. Suasana disana lumayan dingin, disarankan bawa payung karena sering hujan juga. Pemandangan bagus dengan Pura di tepi danau yang menjadi icon nya. Disarankan untuk datang tidak di saat high season supaya lebih bisa menikmati pemandangan dan suasananya."
Pura Ulun Danu Beratan,Islamianti Iis,3 bulan lalu,5 bintang,"Ke-3 kalinya kesini, udaranya sejuk, berangin suhunya dsri mix mix, panas matahari tapi angin dingin. Diseberang jalan area pura ada masjid besar, rumah makan banyak yang ada mushalla. Tiket masuk sekitar 50rb/org. Sangat cocok untuk group …"
Pura Ulun Danu Beratan,Hazzel Ganendra,4 bulan lalu,5 bintang,"First time kesini, overall luar biasa.

saya masuk menggunakan travel, jadi saya tidak tahu apakah ada tiket masuk atau …"
Pura Ulun Danu Beratan,Ludia Annisa,3 bulan lalu,5 bintang,"danau yang cantik dan dingin banget suasananya, disana kita bisa makan dan berfoto foto banyak spot yang cantik cantik.
terdapat toilet dan mushola bersih juga di sini di area restoran …"
Pura Ulun Danu Beratan,Leonard Sid,3 bulan lalu,5 bintang,"Dikenal juga sbg Danau Bedugul
Tempat wisata dan tempat ibadah. Suasana sejuk, pemandangan dgn banyak view yg bagus & ada spot yg pernah masuk dimata uang kita pecahan 50K."
Pura Ulun Danu Beratan,Nitha Noegroho,3 bulan lalu,5 bintang,"Untuk pertama kali mengunjungi tempat ini.. Perjalanan panjang dengan suguhan pemandangan yg indah.. Pegunungan, lereng bukit, durian😍, buah2n, strawberry🍓, sampai d destinasi wisatanya... Tambah kereeen😍😍😍. Ga nyesel nginjakin kaki d …"
Pura Ulun Danu Beratan,Wanzul Karnain,2 bulan lalu,4 bintang,"Salah satu objek wisata bali yang terkenal. Waktu kesini aku berkendara dengan motor dan jujur salah kostum karena daerah sini itu kaya daerah pegunungan gak sih yang dingin sejuk gitu. Mana aku kesini pake pakaian yang tipis, kebanyang gak …"
Pura Ulun Danu Beratan,Melodi Koelima,3 bulan lalu,5 bintang,"One of the popular tourism places in Bali. Viewnya udh pasti kerenn
Di hari biasa, libur ato weekend selalu ramai pengunjung
Biaya tiket utk org dewasa 50k/org …"
Pura Ulun Danu Beratan,Irsyad Akmal Fata,4 bulan lalu,5 bintang,"Best experience berkunjung kesini, ga pernah bosan sejak tahun 2008, Tempatnya sejuk, perawatan dan bangunan terawat dengan baik. …"
Pura Ulun Danu Beratan,Ade Firmansyah,sebulan lalu,5 bintang,"Akses yang mudah dari kota denpasar dan sekitar, parkir yang tersedia sangat memadai, dan disekitaran juga cukup banyak pedagang makanan."
Pura Ulun Danu Beratan,Rangga Adiputra,3 bulan lalu,5 bintang,"Sampai pura jam 11:00 siang, harga tiket 40 ribu, tidak terlalu ramai, pas datang ada acara sembahyang, perjalanan naik motor dari dari kute sekitar 1:40 menit."
Pura Ulun Danu Beratan,Eko Haryanto,2 bulan lalu,5 bintang,"03/2024 Salah satu destinasi yg perlu dikunjungi ketika dibali,,harga tiket masuk 40K hari krj 50K hari libur'usahakan ketika mau dateng ke sini brngkt pagi dan cuaca lg cerah agar bisa menikmati pemandangan sekitar"
