location_name,name,date,rating,review_text
Pura Luhur Uluwatu,Andri Andri,6 hari lalu,5 bintang,"View tari kecak di sni sangat indah. Kami membeli tiket untuk pertunjukan pertama pukul 18.00 . Lebih baik datang lebih awal karena jalan menuju Uluwatu sangat macet. Dan saya sarankan jika ingin melihat pertunjukan tari kecak beli tiket online saja, saya beli di traveloka. Jika beli on the spot antrinya panjang sekali. Secara umum pertunjukan sangat bagus. Hanya saja saat pertunjukan di mulai petugas masih berusaha mencarikan tempat duduk untuk pengunjung baru jd sedikit mengganggu kami menikmati pertunjukan. Tapi selain itu semua bagus."
Pura Luhur Uluwatu,OChan Chandra,seminggu lalu,5 bintang,"Viewnya ajib ,...
Be carefull ama monyet yang usil ya,..actually mereka lucu kok, cuman suka ngerebut barang2 yg di pegang atau dipakai, mereka ngerti barter dengan makanan"
Pura Luhur Uluwatu,Junaidi / 23.112,2 minggu lalu,5 bintang,"Iya kesini karena ingin menonton tari Kecak di Pura Luhur Uluwatu, menyajikan tarian Kecak dari Sanggar Seni Tari warga setempat dengan pementasan Tari Kecak legenda Ramasinta, sungguh agenda wajib yang harus dikunjungi apabila ke Bali, dengan latar belakang sunset yang sangat indah menemani pertunjukan. Dengan harga tiket masuk Rp. 150.000,- per orang yang pertunjukannya dua kali sehari pada jam 18.00 dan jam 19.00 Wita, apabila kesini juga berhati-hati dikarenakan ada monyet-monyet yang bisa mengambil barang bawaan pengunjung, mungkin dikira makanan kali, jadi yaitu ajaaa pengalamannya, oh iya disarankan untuk membawa motor apabila kesini dikarenakan macetnya minta ampun jadi kelamaan di jalan, kalo pakai motor bisa sat-set nyelip-nyelip diantara mobil yang melintas, sekian dari saya terima kasih."
Pura Luhur Uluwatu,Rata Cameng,2 bulan lalu,5 bintang,"Tempat Suci agama Hindu yang terletak di ujung selatan pulau dewata ini sangat menakjubkan dengan view laut dan sunset 🌅 extraordinary.
Bagi wisatawan baik domestik maupun mancanegara pura ini patut di note di daftar kunjungan anda
NB : Mohon hati-hati dengan barang bawaan anda seperti tas yang ada makanan atau minuman, sunglasses, mobile phone 📱 karena ada kera yang suka mencuri barang-barang tersebut
Have a good day"
Pura Luhur Uluwatu,Rizal Susanto,3 minggu lalu,5 bintang,"Pertunjukan tari Kecak yg sangat bagus dg background sunset yg indah...
Cuma hati2 dg barang bawaan, khususnya kacamata, HP, dan yg lain. Krn monyetnya jail2...
Tp syarat ke Bali emang harus kesini ...
Kalo bisa sampe tempat ini sblm jam 4 sore, Krn antri ticket tari Kecak sangat rame, sayang kalo dpt show ke 2. Sunsetnya sudah lewat...
Lebih baik beli ticket OL sebelum hari H"
Pura Luhur Uluwatu,Gyan Kerti,4 minggu lalu,5 bintang,"Datang ke Pura Uluwatu saat Purnama. Berangkat dari Denpasar sekitar jam 5pm. Saya kesini lagi setelah 10 tahun silam. Ada banyak perubahan. Makin tertata, bersih, sejuk dan parkirannya semakin luas. Areal puranya menjadi satu. Jika datang ke sini, kalian hati-hati saat menggunakan aksesoris, karena disini ada banyak monyet. Paling indah tiba disini saat jam 6 pm agar dapat menikmati suasana sunset yang indah saat langit cerah. Bisa juga beli tiket disini untuk menonton penampilan tari kecak di atas yebing dengan panorama siluet sunset."
Pura Luhur Uluwatu,Hari Witara,sebulan lalu,5 bintang,"Pura bersejarah dengan lokasi yang tepat di ujung pulau Bali bagian selatan. Dari ini bisa kita lihat bagaimana hebatnya para tokoh pembuat pura ini dalam menentukan lokasi yang presisi walau jaman waktu pembuatan itu tidak atau belum ada peta.

Hanya saja saya mengalami hal yang tidak mengenakan, karena kacamata saya dirampas monyet yang berada di sana. Jadi pesan saya, berhati-hati lah dengan barang anda karena ada monyet yang suka merampas barang pengunjung, seperti kacamata, hp, tas kecil, dsb"
Pura Luhur Uluwatu,Agung Satriadi,3 bulan lalu,5 bintang,"Acaranya seru dan lucu, tp untul orang yang bosenan di sarankan tidak menonton, tp jalan dari parkiran ke tempat acaranya jauh banget. Untuk harga bisa di bilang cukup mahal 150rb namun fasilitas yang di berikan kurang seperti canopi (sangat terik kalau siang), toilet tidak bagus dan bau, tempat duduk keras. Jadi mohon untuk pemerintah daerah lebih diperhatikan lagi."
Pura Luhur Uluwatu,Setiawan Imanuel,sebulan lalu,4 bintang,"+ tempat yg menarik
+ ada pertunjukan tari kecak
+ banyak bule

- jalan kaki jauh capek
- banyak monkey nyolong bawaan pengunjung
- klo ud sore menjelang malam gelap gk ada lampu"
Pura Luhur Uluwatu,Daffodil,6 hari lalu,5 bintang,"Gue mau cerita nih tentang Pura Luhur Uluwatu di Bali. Gue kesana bareng temen-temen, dan sumpah, pengalaman di sana keren banget! Pura nya itu loh, gue gak bisa ngebayangin lagi sekeren itu.

Pemandangannya, wah, jangan ditanya deh! Di tepi tebing gitu, liat sunset sambil dengerin ombak bersliweran, bener-bener bikin hati adem. Gue sampe ngerasa terhubung banget sama alam gitu.

Terus, ada kearifan lokalnya juga yang bisa dipelajari dari para pendeta di sana. Mereka tuh ramah banget, mau ngobrol-ngobrol santai dan ngasih tau cerita-cerita unik seputar pura.

Pokoknya, gue saranin banget deh, kalo lagi di Bali, jangan lupa mampir ke Pura Luhur Uluwatu. Pengalaman spiritual dan pemandangan keren dijamin bakal bikin trip lo makin kece!"
Pura Luhur Uluwatu,Heri Hall,4 bulan lalu,5 bintang,"Pura yang bagus. Pemandangannya bagus,langsungbke laut. Cocok untuk melihat sunset. Tiket masuk 30 rb.  Di sini kebanyakan orang datang untuk melihat tari kecak. Di sini banyak monyet,hati hati dengan barang bawaan anda. Jangan membawa makanan dan minuman ke dalam lokasi. Dan hati hati yang pakai topi,dan kacamata. Biasanya mereka akan mengambil topi apabila ada kesempatan."
Pura Luhur Uluwatu,Diah R (Desybebeq),4 bulan lalu,5 bintang,"Salah satu tempat yg wajib dikunjungi saat ke Bali. Dengan pemandangan tebing yg spektakuler, bukit dengan pepohonan hijau dan bunga warna warni menambah kesan yg sulit dilupakan, ditambah staff yg ramah dan tiket 35rb per orang.
Namun hati-hati dengan monyet yg berkeliaran. Barang bawaan kecil seperti air mineral dan kacamata sebaiknya dijaga lebih ekstra."
Pura Luhur Uluwatu,Idang Ardian Rekasandi,3 minggu lalu,5 bintang,"Tempatnya lebih cocok untuk sunset katanya tapi menurutku lebih bagus di siang hari karna lumayan sepi. Hati hati sama monyetnya apalagi kalo sendirian, karna saya datang sendirian akhirnya minta ditemenin pak wayan (tour guide) meski harga jasanya 150rb (mahal untuk wisatawan domestik) tapi gapapa pak wayan benar² mengarahkan harus kemana, foto di spot mana, dan tentu lebih aman dari monyet

HTM 30rb
Biaya restribusi untuk motor 1rb"
Pura Luhur Uluwatu,Hydro lancer,2 bulan lalu,5 bintang,"Pura dengan pemandangan yg wah karena langsung curam ke pantai, ada pentas tarian dll tapi biasanya rame jadi susah dapet tempat, dan disini suka ada monyet liar jadi hati2 sama barang bawaan biasanya kacamata pengunjung jadi sasaran."
Pura Luhur Uluwatu,Sonia Nilasari,3 minggu lalu,5 bintang,"Pura yg bagus.
Ada banyak monyet disana
Harus waspada sama kacamata biar tdk di ambil monyet.
Klo bisa bawa cadangan buah, semisal di ambil kacamatanya bisa barter🤭😁😀"
Pura Luhur Uluwatu,Bro Putu,4 bulan lalu,4 bintang,"Pura Luhur Uluwatu adalah salah satu Pura Sad Khayangan suci Umat Hindu, disamping itu pura ini juga adalah tujuan para wisatawan yang ingin melihat matahari yang terbenam sempurna dari titik ini serta di kelilingi oleh tebing-tebing yang sangat indah dan juga hutan tempat tinggal para Monyet liar.
Monyet-Monyet yang menghuni daerah ini sangat agresif dan nakal, mereka akan mengambil apapun dari para wisatawan seperti : Kacamata, topi, Handphone dan sebagainya. Jika tidak segera ditukar dengan makanan maka barang-barang yang di ambil oleh Monyet-Monyet tersebut akan di gigit dan dihancurkan.
Penjaga yang bertugas juga kurang serta kurang agresif tidak seperti penjaga di Monkey Forest Ubud yang sangat siaga dan cekatan.
Bahkan Monyet-Monyet inipun akan menghancurkan mobil atau motor yang terparkir.
Untuk wisatawan yang berkunjung kesana harap berhati-hati."
Pura Luhur Uluwatu,Arif Yulianto,4 bulan lalu,5 bintang,"Pura suci umat Hindu yg berlokasi di Badung, pinggir Samudera Hindia.
Hati-hati dengan barang bawaan dan accessories yg dibawa, karena masih banyak kawanan monyet liar yg kadang mengambil barang saat kita lengah.
Pemandangan sangat bagus dengan view samudera Hindia.
Ada pertunjukan tari Kecak mulai pukul 18:00"
