location_name,name,date,rating,review_text
Pantai Anyer,Hernu Sulistyo,3 bulan lalu,5 bintang,"Liburan keluarga bersukaria dengan main pasir dan ombak pantai, ditemani kelapa muda....

Banyak permainan yang bisa disewa dengan harga terjangkau.

Tiket masuk 1 mobil = 100rb

Sewa saung = 100rb

Sewa ATV, papan seluncur, ban renang dll dengan harga bervariasi.

Aneka makanan dan minuman tersedia dengan harga yang beraneka ragam.

Anak senang, Bapak tenang...."
Pantai Anyer,alfinur ikrima,2 bulan lalu,4 bintang,"• Kesini pas hari libur, kebetulan lagi sepi😁
• ombak nya tidak terlalu besar, tidak terlalu kecil, ada pos keamanan nya juga😍
• view nya bagus dikelilingi gunung 🤩
• sewa ban murah 15.000an sepuasnya 😍
• banyak pungli
• parkir mobil 100.000, sewa gazebo 100.000 nawar jadi 50.000, udah bayar masih di tagih lagi sama bos gazebo nya, gak ada komunikasi kali ya? 🤔
• Jajanan lumayan murah, seharga pop ice cuma 5k an😋
• orang jualan nya galak², maksa banget di beli apalagi bapak² penjual petai, kalo kita ga beli malah diomelin, pdhal pembeli adalah raja, katanya😑
• yg nawarin momotoran juga maksa, harga momotoran 2x bolak-balik 50.000 udah bilang ga mau tetep maksa sampe 7x, bahkan udah naik pun ditawarin lagi 🫣🫣
• Pantai ny agak kotor, kerasa serbuk sampah kecil di pasir kalo jalan, sampah belum dikelola dengan baik, tempat sampah nya selalu penuh🥴
•Tempat solat enak, di masjid pinggir jalan, bersih😍
• kamar mandi nya lumayan banyak, mandi 5.000 ke WC 3.000 😀
• pelayanan 6/10 ⭐⭐⭐☆☆
• pantai 8/10 ⭐⭐⭐⭐☆"
Pantai Anyer,Kenang Alam Firdaus,3 bulan lalu,5 bintang,"Pantai favorit yang deket dari jakarta cuman 3/4 jam sampe

Tempatnya nyaman buat sekedar liburan sama keluarga dan istri/tmn

Toilet nya bersih tp semua berbayar

Banyak yg jualan juga pokoknya ini rame pantainya kalo kesini hr libur kalo emang incer sepi kesini hr kerja aja biar ga terllau ruwet"
Pantai Anyer,Veronika Desi,5 bulan lalu,4 bintang,"Pantai yang masih asri dan nyaman buat healing. Pantai nya bersih banget dan masih sepi. Tapi sayang banget masih bebas untuk motor bisa sampai pantai, harus nya tidak diperbolehkan karena akan mengganggu wisatawan lain. Sunset nya juara sih di pantai ini."
Pantai Anyer,Hilda alviana,3 hari lalu,5 bintang,pantai pasir putih tanpa karang dan batu bisa buat berenang anak2
Pantai Anyer,Seri Bulan Siregar,4 bulan lalu,4 bintang,"Awal tahun 2024 liburan ke pantai Anyer, walaupun perjalanannya jauh (dari Cisauk) tetap enjoy, mungkin karena awal tahun padat Banget, ramai dan antri deh."
Pantai Anyer,Sabrina Nisia,5 bulan lalu,5 bintang,"Terdapat sebuah pantai unik di kawasan Anyer ini yaitu pantai Karang Bolong Anyer. Sesuai dengan namanya, pantai karang bolong. Selain itu pantai memiliki keindahan yg hanya bisa di temui di kawasan berikut:
Contohnya
Pemandangan pantai Berupa Sunrise

Deburan Ombak yang Menyapa Pengunjung

Hamparan Pasir Berpadu dengan Birunya Air Laut

Batuan Karang yg Kokoh Sebagai Penghias pantai

Adanya Sunset di pantai yg  Romantis."
Pantai Anyer,Alesta Desanti,3 bulan lalu,5 bintang,"pantai nya indah. saya suka sekali dengan vibes nya, tenang. kebersihan nya juga lumayan terjaga. cukup rekomended sih buat dateng ke sini. ntah buat healing, atau apapun itu. buat orang yang dateng ke pantai ini? tolong jangan buang sampah sembarang. buang lah sampah pada tempatnya. kasian dan sayang sekali jika pantai seindah ini tercemari oleh sampah-sampah yang kalian buang sembarangan."
Pantai Anyer,Etika Suri,2 bulan lalu,5 bintang,"Pantainya bagus, warga lokalnya juga ramah"
Pantai Anyer,ummu mu'adz,8 bulan lalu,5 bintang,Pantai pasir putih cukup bersih dan ombak tidak besar. Cocok untuk bermain bersama keluarga. Air nya jernih
