location_name,name,date,rating,review_text
Taman Nasional Ujung Kulon,Eka Kartikasari,seminggu lalu,5 bintang,"Taman ini masih sangat alami dan cocok untuk Anda yang suka berpetualang di alam bebas karena masih asri. Jika beruntung, Anda akan melihat hewan-hewan seperti rusa, dan hewan lain ,, bonuss pantainya yang indahhhh bangettt ✨💕🫶🏻 …"
Taman Nasional Ujung Kulon,Mulya Satwa,9 bulan lalu,5 bintang,"Kalo mau liburan ke sini sebaiknya menggunakan jasa tour lokal yang sudah berpengalaman. Saya tidak merokemendasikan tempat ini untuk liburan anak anak dibawah 10 tahun. Memnag tempatnya sangat Indah. Treking, Snorkeling dan melihat …"
Taman Nasional Ujung Kulon,Ria Purnama Sari,8 bulan lalu,4 bintang,"Tempatnya masih asri banget, saking asrinya sepanjang jalan menuju penangkaran badaknya tuh parah banget jalanannya. Mungkin jika jalanannya diperhatikan oleh pemerintah setempat bakalan rame nih wisata. Kemaren sempet ke area camping groundnya udah jadi sarang uler karna ga pernah dirawat efek ga ada pengunjung. Jadi serem banget disana tuh"
Taman Nasional Ujung Kulon,Sain Bucu,seminggu lalu,5 bintang,Alhamdulillah pelayanan Samsat Pandeglang Banten semakin membaik sekarang udah ada perlengkapan percetakan nopol polisi jadi hari itu juga proses nopol polisi langsung jadi terimakasih
Taman Nasional Ujung Kulon,zatya cozzy vinovic,setahun lalu,5 bintang,"Pulau yg sangat indahh sekali
Masih alaki
Listrik jam 5 sore smpe jam 6 pagi
No signal cuma telkomsel aja
Tdr di barak
Kebersamaan sekali disana
Bnyk binatang tapi jinak babi ,biawak,rusa ,monyet yg dkit nakal"
Taman Nasional Ujung Kulon,Sarah Nis,6 bulan lalu,4 bintang,"Enjoyed my time there. Lokal super ramah dan helpful.

Mudah-mudahan manajemen konservasi lebih baik dan tidak korup."
Taman Nasional Ujung Kulon,Digit Kumara,9 bulan lalu,5 bintang,"perjuangan untuk mencapai monumen badak di ujung kulon.

Jalanannya tidak bisa dibilang mulus, penuh batu, dan waktu hujan bakal licin

Lupakan jikalau tujuannya untuk melihat badak, karena menurut orang konservasi, badak merupakan hewann yang ganas kalau melihat manusia.

Oh iya, badak disini khusus yang bercula satu

Total badak di ujung kulon tinggal kurang dari 70ekor di dunia"
Taman Nasional Ujung Kulon,Hendri Xullen,seminggu lalu,5 bintang,"Tempatnya sangat bagus, very recommended buat tmptny untuk liburan breng keluarga...

Next kesini lagi."
Taman Nasional Ujung Kulon,IDEN,5 tahun lalu,5 bintang,"Tempat yang sangat menarik untuk dikunjungi tapi harus siap dengan perjalanan yang menantang. Melewati lautan menuju Pulau Peucang. Pastikan kalau berkunjung ke sana harus di masa bulan bagus. Perkiraan antara bulan Mei - September adalah masa yang bagus karena kita bisa terbebas dari cuaca jelek selama mengarungi lautan.
Pastikan menghubungi dulu pihak Taman Nasional Ujung Kulon untuk mendapatkan izin kunjungan. Harap dicatat bahwa ini adalah Tan Nasional bukan hutan biasa. Taman Nasional dengan hutan yang masih alami harus benar-benar mendapatkan izin agar tidak menggangu habitat asli di sana seperti Badak, Banteng, Rusa, Kijang, Biawak, Babi, dan hewan lainnya.
Anda bisa snorkeling di pulau Peucang dengan seru dan mengasyikkan. Membawa alat-alat yang baik agar selama mengunjungi kita bisa aman dan nyaman.
Jangan lupa untuk selalu mematuhi aturan di sana!"
Taman Nasional Ujung Kulon,foedrika raz,setahun lalu,5 bintang,Destinasi wisata laut yg wjb di kunjungi saat liburan...laut brsahabat ..anak2 bs berenang dgn aman..bs ngecamp dpn mbl..perjalanan cukup jauh 5-6 jam..jalanan 85% bagus..
