location_name,name,date,rating,review_text
Wisata Kota Tua,Titis Nur Oktaviany,seminggu lalu,5 bintang,"Kota tua yang sekarang bagus bangett , aman buat bawa anak tapi tetap dalam pengawasan . Anak bisa lari larian bebas kalo ke kotu nya hari biasa
Semenjak di renov pak anies baswedan jadi makin baguss , enak buat pejalanan kaki ga banyak kendaraan umum yang lalu lalang .
Dan halte buswaynya juga udah enak ga perlu cape turun ke terowongan lagi"
Wisata Kota Tua,Fitria Mafituhin,seminggu lalu,5 bintang,"Everything is so good.
Sayangnya, kami datang sebelum wahana horror dibuka, but it's okay, bisa jadi alasan buat main lagi ke sana.
Pemandunya ramah, menjelaskan berbagai hal dengan jelas dan interaktif. Walau saat itu suasana lumayan panas, mereka tetep senyum, hebat. Aku aja udah geleng-geleng sambil kipasan, rasanya pengen kasi kipas portabel satu-satu buat mereka. Kebayang gimana haus dan gerah bercampur jadi satu, mana pake kemeja, pake pantofel juga. Proud of you guys. Semangat terus, ya."
Wisata Kota Tua,nunuk niken,seminggu lalu,5 bintang,"Lokasi wisata murah meriah yg penuh dng edukasi. Berbagai info bisa kita dapatkan dr beberapa museum yg ada disana seperti museum wayang, fatahillah, bank indonesia dll. Kita bisa berjalan kaki menyusuri jalan dr stasiun kota ke arah musium2 tsb. Terdapat penyewaan sepeda untuk berkeliling. Tidak ketinggalan ""manusia patung"" yg bisa diabadikan dng kamera kita. Atau penyewaan properti untuk foto2 pengunjung. Terdapat juga foto 3 demensi yg menakjubkan hasilnya"
Wisata Kota Tua,sugi sugianto,seminggu lalu,5 bintang,"Untuk melihat lihat bangunan tua jaman pemerintahan VOC,,,disini juga banyak komunitas komunitas berkumpul dan tentunya banyak yang perform saat akhir pekan,,aksesnya mudah untuk di kunjungi apalagi bagi pengguna KRL tinggal tujuan akhir stasiun Jakarta Kota langsung nyampe..."
Wisata Kota Tua,Imam Irtiyantoko,seminggu lalu,4 bintang,"Tempat menarik utk wisata sejarah, berisi bangunan tua. Namun perlu diperbaiki mengenai kondisi pedagang yg kurang teratur dan spt nya tidak tertata. Menyebabkan kesan kumuh dan kotor. Pemkot harus lebih pandai utk bisa membuat para pedagang terlokasi di tempat yg tepat. Bisa belajar dari kota tua di Fuzhou China."
Wisata Kota Tua,yunan ma,seminggu lalu,5 bintang,"Salah satu tujuan wisata yg rutin dikunjungi.. Banyak Museum yg bisa didatangi, banyak spot foto juga. Akses gampang karena dekat sekali dengan Stasiun Kota dan Halte Trans Jakarta. Tempat makan banyak dan sudah tertata dengan lebih baik. Waktu favorit berkunjung adalah PAGI dan SORE hari."
Wisata Kota Tua,Hafnar Harjo,sebulan lalu,4 bintang,"Sebenarnya enak2 aja main ke sini, tapi mesti pilih waktu yang tepat ya, jangan kesiangan. Jadi disarankan klo ke sini itu klo gak pagi ya sore aja sekalian, jangan tengah hari pas matahari lagi terik2nya, panaaass puooll. Baju sampek gobyos kenak keringet. Hahahaha. Mau foto2 pun sulit, mata mesti menyipit untuk menyesuaikan dengan cahaya yang lagi terang2nya. Tapi klo untuk wisata ke sini si boleh ya, banyak yang bisa dieksplor, apalagi klo bawa anak2, banyak museum yg bisa dikunjungi, ada museum wayang, museum Bank Indonesia, museum 3D , dan lain2. Kebetulan waktu ke sini kami cuma mau ketemuan sama temen, jadi gak sempat mau eksplor museum2 tadi. Jadi cuma duduk2 aja sambil main sepeda ontel. Untuk biaya sewa sepeda ontel 1 sepeda 25rb, boleh dipake keliling2 selama 30 menit, bisa buat boncengan juga, trus dapet topi lebar juga biar gak kepanasan. Cucok juga buat pepotoan. Naah klo mau wisata kuliner bisa juga, tapi makanan nya ya ala2 street food gitu ya. Ada si resto yang terkenal di situ namanya DE Batavia. Tapi pasti beda jauh ya harganya hehe. Silahkan aja sesuaikan dengan bajet masing2. Satu lagi, klo yang mau ke sini pake mobil pribadi, siap2 ya soalnya parkirannya ada di bagian luar dari kota tua, biasanya banyak abang2 yang menyediakan parkiran, ya terhitungnya si parkir liar ya. Dan si abangnya minta supaya dibayar di muka, biaya parkirnya itu sekitar 20rb. Kami dateng H+2 lebaran, klo hari biasa gak tau berapa biayanya. Cukup segitu dulu ulasannya ya. Mudah2an bisa membantu."
Wisata Kota Tua,Re Pal,5 hari lalu,4 bintang,"Kesana pas malem biar gak kepanasan.. Pengen naik sepeda, ternyata ramai sekali... Mau naik sepeda juga susah banyak orang duduk"" Di jalannya... Ya udah jalan"" Muter"" Keliling"" Liat"" Suasana malamnya... Mirip"" Kota lama semarang...  Btw cari parkiran mobilnya susah, udah macet pas nemu parkiran kebablasan karna pintu masuk parkiran yg mash kosong ketutupan busway, akhirnya muter lagi macet""an lagi  setelah 2 jam dan 2 kali muterin kota tua baru dapet parkiran.  Kalo dari luar kota yang naik kendaraan pribadi, mending cari lokasi parkiran juga biar gak kayak kita."
Wisata Kota Tua,Nur Jaini,seminggu lalu,5 bintang,"Untuk masuk pelataran gratis,
Kota tua nya bersih dan pas nyampe sana tidak ramai, disarankan datang saat weekday.
Disana banyak spot foto karakter yang dibayar seikhlasnya, untuk sewa sepeda 25ribu selama 1/2 jam.
Di belakang area parkiran banyak warung makan jadi untuk tempat makan aman"
Wisata Kota Tua,Usep Usman N,3 minggu lalu,4 bintang,"Destinasi wisata kota dengan heritage dan taman. Banyak wisatawan lokal yang datang terutama pada malam lebih banyak. Kafe dan pujasera dengan berbagai pilihan makanan dan minuman. Sayang pengunjung kurang sadar banyak membuang sampah sembarangan. Ada berbagai bangunan tua, seperti Gedung Gubernur, kantor pos, dan lainnya. Agak kumuh kawasan di lorongnya karena sampah. Semoga pengunjung lebih sadar untuk tidak membuang sampah sembarangan."
Wisata Kota Tua,Tiara Ambarsari,1 hari lalu,5 bintang,"Agak sepi kalau siang mulai ramai menjelang sore, lokasinya gampang dicari karena persis di depan St. Jakarta Kota, tinggal nyebrang aja."
