location_name,name,date,rating,review_text
Masjid Istiqlal,Bara Sakharana,3 hari lalu,5 bintang,"Bagus, Besar, Megah, salah satu kebanggaan Indonesia, kalau ke Jakarta pertama kali jangan lupa mampir ke sini.

Fasilitas di masjid sangat lengkap, penitipan sepatu, tempat wudhu luas, toilet bersih, ada vending machine, ada kursi refleksi, ada beberapa jualan jajanan juga di halaman masjid."
Masjid Istiqlal,Ferry Rachmanto,sebulan lalu,5 bintang,"Masjid terbesar se-Asia Tenggara. Masjidnya megah, besar, dan cukup luas. Masjid ini gaya arsitektur yang unik. Masjid ini juga sebagai simbol kerukunan antar umat beragama karena berdekatan dengan gereja Katedral dengan dihubungan dengan Terowongan Silaturahmi. Masjid ini cukup nyaman dan adem yang menambah kekhusyukan jamaah dalam beribadah.

Tersedia berbagai fasilitas penunjang seperti islamic center, aula, taman, toilet, tempat wudhu, tempat penitipan sepatu atau sandal, foodcourt, atm center, area parkir yang luas dan fasilitas lainnya.

Lokasi masjid ini juga mudah ditemukan karena berada di dekat Monas, Istana Merdeka maupun ikon nasional lainnya. Akses transportasi untuk menuju tempat ini sangat mudah baik dengan kendaraan pribadi maupun kendaraan umum (transjakarta ataupun krl).

Perlu ditambah jumlah cctv di area masjid karena rawan tindak kejahatan seperti kehilangan barang berharga jamaah dan penambahan titik tempat sampah. Dan untuk jamaah juga perlu meningkatkan kewaspadaan terhadap barang bawaan serta menjaga kebersihan area masjid."
Masjid Istiqlal,Nadhira Ayu Safira,4 minggu lalu,4 bintang,"Momenya pas bukber rame banget tapi masih terkontrol dengan baik oleh panitia good job. Waktu itu sholat di lantai 2 dan panas banget kalo duduk tapi kalo lagi berdiri terasa kipas anginnya, dan agak kotor di beberapa sudut masjidnya dan tempat wudhu wanitanya masa hanya di tutupi kain tipis sihh, parah banget sihh. But mixed feeling banget sih pas sholat di masjid Istiqlal, masjid terbesar di asia tenggara."
Masjid Istiqlal,niken ayuningtyas,sebulan lalu,3 bintang,"Maaf banget kasih review gini

Dg kapasitas masjid yg hampir ratusan ribu orang tp toilet akhwat sangat sedikit. Melihat perkembangan zaman dan antusias jamaah yg semakin banyak seharusnya pengelola hrs mulai memikirkan tambahan toilet. Krn jarak dr lt.2 atau 3 atau 4 ke toilet itu sangat jauhhhhhhhhh

Saya dtg itikaf di malam ke 25. Luar biasa padat yg disesalkan adl. Kenapa gadatambahan kipas angin blower utk di tiap lantai. Minimal agar udaranya bisa muter, krn udaranya sangat pengap.. shalat tarawih dan wkt qiyamul lail basah kuyup keringet.. bikin ga fokus, sedihnya pengurus masjid memberi pengumuman bhw di lantai2 atas anginny lbh kencang tp nyatanya di hr tsb bener2 panas, gerah..

Mungkin masukan ini bisa dibaca para pengurus yaa. Dg status Masjid Terbesar di Asia Tenggara smoga bisa makin bebenah demi kenyamanan jamaah"
Masjid Istiqlal,Rahma Levine,sebulan lalu,5 bintang,"Alhamdulillah 2024 bisa itikaf disini. Cuma harus sabar karena wudhu dan ke toiletnya antri bgt. Keran wudhu di lt 3 sering mati. Penjaga toilet ga ada yg arahin untuk pipis/mandi waktu pagi. Sampah sahur kurang diperhatikan. Harusnya masjid agung ada yg memanage dan memantau dengan baik. Over all serasa di Arab mungkin, krn blm pernah kesana juga cuma liat di tv.heh"
Masjid Istiqlal,Hafnar Harjo,sebulan lalu,4 bintang,"Kali kedua ke Istiqlal. Waktu pertama ke sini sebenarnya kesannya gak enak. Soalnya tempat wudhu dan toilet yang kurang bersih. Agak licin gitu dan berbau tidak sedap. Trus gak semua pintu masuk di buka, padahal pintunya ada banyak, dan pengunjung juga banyak. Tapi mungkin ada alasan tertentu untuk itu ya.
Naah pas yang kedua ini ke Istiqlal, ternyata gak banyak berubah, padahal udah beberapa tahun kemudian baru ke sini lagi. Toilet masih berbau, mungkin karena banyaknya pengunjung ya, karena kebetulan dateng ke sini H+2 lebaran. Jadi yang dateng bener2 membludak. Tapi yang paling disuka itu, tempat solat yang luas, adem, bersih, dan nyaman pastinya. Trus dari tempat solat itu ada akses buat ke bagian luar masjid, pemandangan nya cakep, bisa buat foto2 juga. Ditambah pas datang itu lagi ada bazar makanan, jadi bisa sekalian jajan hihi. Mudah2an ulasan ini membantu."
Masjid Istiqlal,budi han,4 minggu lalu,5 bintang,"Setelah beberapa tahun lalu slalu masih di renov,sekarang sudah megah, tempat imaman ada kiswah asli dari Mekah, tempat wudhu masih seperti dulu. Parkiran ada di basement, ada tempat foodcoyrt dan cinderamata di deket  gate. Buka sampai malam, namun habis isya mereka sdh mulai berkemas. Kalau malam kelihatan monas dari samping sisi masjid, baguus banget👍🏻😍"
Masjid Istiqlal,atik arini,sebulan lalu,5 bintang,Tempat ibadah yg lengkap & banyak kegiatan islami bg para jamaah. Qta ba ibadah 5 waktu & mengakaji ilmu agama setiap hari. Imam2 di masjid istiqlal bertaraf internasional. Guru2nya jg berkualitas. Fasilitas masjid jg sangat lengkap apanlagi ubtuk turis2.
Masjid Istiqlal,Denbas Fadhlan,sebulan lalu,5 bintang,"Setelah sekian lama akhirnya bisa ke sini lagi buat sholat tarawih, tempatnya makin ramai karena ada bazaar & jajanan juga (mungkin karena lagi bulan puasa), di dalem juga gak terasa panas walau banyak jamaah, dan bisa menjalankan ibadah dengan khusyuk."
Masjid Istiqlal,Cak Nur,sebulan lalu,4 bintang,"Masih kebanggaan Mesjid Nasional,

Tetap pertahankan ttg

Kebersihan perlantai
Tempat wudhu yg lebih besar lagi
Dan Bayaran Parkr mobil tergolong lumayan mahal.

🙏🙏"
Masjid Istiqlal,Asykur,sebulan lalu,5 bintang,"Itikaf di Romadon 7 April 2024 pas Sabtu malam Minggu, benar-benar penuh dan ramai. Disarankan yang ingin buka puasa dan sahur, bawa bekal dari rumah karena kantin atau penjual makanan di pelataran masjid Istiqlal dan bazar penuh, wajib sabar antre. Nasi box dari panitia tidak memadai untuk jamaah saat buka puasa maupun sahur. Untuk antrian toilet minimal 20 menit (kalo toilet perempuan. Bisa 1 jam nunggu giliran) karena mulai dari tangga dan pintu masuk toilet/tempat wudhu pria dan wanita, ngantri gak teratur. Untuk yg bawa keluarga dan anak, harus bijak dan sabar ya. Sangat disayangkan, beberapa area wudhu saat jam sibuk/teraweh malah hanya setengah yg ON (8 area) selebihnya mati, untuk fasilitas air mineral dispenser selepas buka puasa udah habis dan panitia gak isi ulang. Untuk layanan zakat di depan pintu masuk, sebaiknya diperbanyak biar ga ngantri dan lebih efesien. Untuk jamaah yang bawa makanan dan makan di dalam area sholat dan terasnya, TOLONG ABIS MAKAN SAMPAH DIBUANG KE TEMPAT SAMPAH YANG TELAH DISEDIAKAN, jika ada tumpahan air dari minuman, tanggung jawab mengelapnya dengan tisu biar tidak terinjak-injak dengan jamaah lain. Menampung 200.000 jamaah dan panitia mengumumkan malam itu Istiqlal memenuhi jumlah tersebut, tapi disayangkan jumlah toilet hanya 28 pintu termasuk yg tidak bisa beroperasi, bisa dibayangkan berapa lama mengantri di depan toilet ini sambil menahan perut sakit karena mules 🤭😁"
Masjid Istiqlal,Usep Usman N,3 minggu lalu,5 bintang,Masjid megah yang memiliki nilai sejarah. Ada beberapa fasilitas pendukung untuk jemaah seperti kursi pijat dan mesin kopi berbayar. Disediakan dispenser untuk isi ulang air minum.
Masjid Istiqlal,Ibu Titin,2 bulan lalu,5 bintang,"Alhamdulillah akhirnya bisa k sini bareng ibukku,ma suamiku,bulan lalu tp baru bisa kasih ulasan sekarang.Saya datang pas mau subuh dan kebarengan ma rombongan anak pesantren mana buanyak lagi jadi kamar mandi ples tempat wudhu tuh penuh pol.Dan huraaa sayangnya itu mereka para santrinya mungkin Krn terburu buru ngejar jamaah subuh jdnya wao kotor sekali caranya,tisu,sabun ,bedak,jepitan banyak terserak dimana mana, saya GK nyaman lihatnya saya sapu bereskan dulu akhirnya GK nutut sholat jamaah subuhnya tp GPP hati seneng aja bawaanya. Alhamdulillah mujisyukur semoga adek2 ini kedepan LBH baik lg.Dan Mudahan masjid Istiqlal terus menebar manfaat besar tuk umat , terimakasih untuk bpk yg jaga barang titipan,super ramah dan juga penjaga arah masuk toilet wanita,intinya terimakasih saya sudah sampai sini pujisyukur Alhamdulillah"
Masjid Istiqlal,Aji Kunto,sebulan lalu,5 bintang,"Masjid yg menjadi kebanggaan rakyat Indonesia ini benar2 sangat megah dan luas 👍 kapasitas pengunjung benar2 byk.. lokasi strategis, akses mudah dicapai dgn kereta ataupun transjkt"
Masjid Istiqlal,ADES WAN,3 minggu lalu,5 bintang,"Selalu suja dengan Masjid ini. Berkali-kali datang selalu amaze dibuatnya. Tpi sayang, kadang Jamaah lain kurang menjaga kebersihan masjid. Jadi terlihat kotor. Sangat disayangkan. Semoga Jamaah yang datang bisa benar-benar paham arti dari ""kebersihan sebagian dari pada iman"""
Masjid Istiqlal,Khikmatul Islah,sebulan lalu,5 bintang,"Masya Allah bagus dan luas. Pemandangan dengan monas terlihat indah saat malam hari.
Tarawihnya lumayan cepat, habis sholat isya ada qiro' dan ceramah dulu baru tarawih.
Depan masjid banyak jajanan dan jualan.

Cuma saran aja arah tanda ke toilet harus jelas, terutama untuk akhwat. Ikuti petunjuk lurus toilet malah tidak nemu, adanya kayak ruang pengurus lalu keluar.
Loker ada di toilet ikhwan, belum nemu di toilet akhwat.

Titip sandal juga ternyata jauh dan katanya jalan kaki aja, padahal itu lantai kotor diinjak2 orang buat jalan pakai sandal sepatu.
Nanti kalau titip jauh dan jalan kaki tanpa alas malah masuk masjid kotor.
Better titip sandal di depan masjid atau pintu masuk.

Di sepanjang jalan juga ada barang tak terpakai yg diletakkan, mungkin bekas acara, cuma jadi tak enak dilihat dan terlihat berantakan dan kotor. Semoga bisa lebih ditata atau dibersihkan.

Jazakumullah khairon katsir 🙏🏻"
Masjid Istiqlal,Deliana Chelsy,sebulan lalu,5 bintang,"Alhamdulillah Ramadan sangat penuh terutama saat malam ke -27. Enaknya banyak kuliner dan stand bazar yang variatif. Namun sayangnya, sangat sulit untuk kamar mandi yang belum memadai dengan jumlah orang yang sangat padat. Lebih dari 1 jam untuk antri toilet. Pengurus masjid agak kewalahan menertibkan peserta itikaf yang membludak, mgkn ke depan bisa diantisipasi agar petugas bisa dikerahkan lbh banyak. Semoga ke depan, pemerintah dapat lebih memperhatikan hal ini terutama saat itikaf 10 hari terakhir ramadan agar bisa lebih khusyuk ibadah dan nyaman"
Masjid Istiqlal,Eliza Susanti,sebulan lalu,5 bintang,"Kesini sholat, abis sholat betah berlama-lama, nyaman bgt disini.
Gak berasa kadang udh berjam-jam. Bersih, bulan puasa ada bazar ramadhan dihalaman depan.. menyediakan berbagai makanan minuman dan pakaian.
Dari bekasi ke stasiun Juanda, keluar terus jalan kaki gak lama paling 5 menit. Apa lg skrng udh enak tersedian penyeberangan dr stasiun langsung ke halte langsung ke seberang Istiqlal dan monas.. gak ribet lagi nyeberang jalan raya.
Yuuk.. mampir ke Istiqlal yg lewat rute juanda.."
Masjid Istiqlal,aisyah nurafe,3 bulan lalu,5 bintang,"Masjid Istiqlal terlihat indah dan megah, banyak turis asing berfoto didepan masjid, dan bagian dalamnya luas baik tempat wudhu maupun tempat sholat. Ada petugas yang tertib disana untuk menata shaf sholat, bagi yang tidak sholat maka harus keluar dari bagian dalam hanya boleh duduk diluar. Ada juga kursi pijat elektrik yang bisa dipakai dengan e-money atau cashless jadi isi e-money lalu digesek dimesinnya baru bisa dipakai."
Masjid Istiqlal,Dyestra,3 bulan lalu,5 bintang,"Minusnya loker penitipan barang harus bayar sesuai harga yang tertera, dihitungnya per dua jam. Selebihnya tempatnya sangat nyaman untuk beribadah. Sering diadakan kajian juga di masjid Istiqlal. Tempat strategis, dekat dengan tempat rekreasi seperti Monas dan lapangan banteng. Lokasinya berseberangan dengan gereja katedral Santa Maria."
Masjid Istiqlal,Aa Fahmi,sebulan lalu,4 bintang,"Mesjidnya besar banget, bisa nampung jamaah banyak
Posisi strategis
WCnya oke bersih, kapasitas banyak, tp petugasnya agak kurang
Ada penitipan sendal, dari berbayar per jam, taro penitipan sendal, atau beli kantong plastik sendiri

Ada kantin juga, sama pedagang asongan dan mainan diluar, harga lumayan
Kalo ada shalat hari besar dan itikaf, parkiran sampe jalan

Minusnya area shaf pria dan wanita kurang terlihat jelas, kalo jamaah ngebeludak, di area belakang dalam mesjid banyak bercampur antara pria dan wanita
Sama sampahnya menumpuk banget."
Masjid Istiqlal,T. yunianto,4 bulan lalu,4 bintang,"Masjid termegah ikon muslim Indonesia menjadi destinasi wisata bagi wisatawan domestik dari seluruh Indonesia bila sedang di jakarta
Luas adem bersih
Semoga menjadi taman2 surga
N pusat kajian islam sesuai Al Quran n Sunnah
Semoga tetap terjaga perawatannya"
Masjid Istiqlal,sriwulan sugiharti,sebulan lalu,5 bintang,"Sholat dhuhur dalam suasana ramadhan memang berbeda, masjid semakin ramai oleh pengunjung yang sengaja datang untuk meramaikan 10 hari terakhir bulan Ramadhan..."
