location_name,name,date,rating,review_text
Monumen Nasional,Anglina firto,2 minggu lalu,5 bintang,"tempat yang cocok untuk olahraga. tidak terlalu jauh dari stasiun jadi bisa pake kereta dan turun di stasiun Juanda... ke Monas gratis yaa tapi kalo mau masuk ke monasnya ya bayar, tiket untuk masuk ke Monas jugaa murah ko... tapi di dalem Monas liftnya cuman 1🥺 jdi kalo mau ke puncak Monas harus mengantri duluuu"
Monumen Nasional,ze,seminggu lalu,5 bintang,"The National Monument (Tugu Monas/Monas) is a 132 meter (433 ft) high memorial monument located right in the middle of Medan Merdeka Square, Central Jakarta. The flame on the top is covered in gold leaf which symbolizes the burning spirit of struggle of the Indonesian people.

Monumen kebanggaan bangsa Indonesia sudah sewajarnya pengelolaan nya sebaik mungkin. Mudah dicapai dengan transportasi umum. Ada kereta wisata setengah jalan pintu masuk buat nganterin pengunjung ke depan Monas nya tidak untuk keliling. Ada bus wisata Transjakarta gratis di halte IRTI buat keliling Jakarta juga."
Monumen Nasional,Trifina Mulyani,3 minggu lalu,5 bintang,"Harga tiket masuk museum monas tergolong murah..per org tdk sampai 10rb untuk masuk museum diorama sampai pelataran cawan yang ada naskah proklamasi dan suara bung Karno waktu pembacaan proklamasi kemerdekaam RI..tepat jam 12 siang.
Jika mau naik ke puncak monas jam 1siang harus beli tiket sblm jam 10pagi..krn tiap hari dijatah terbatas yg bisa naik ke puncak monas."
Monumen Nasional,Dyestra,3 bulan lalu,5 bintang,"Tempat yang cocok untuk rekreasi di akhir pekan, menghabiskan waktu bersama keluarga. Tidak perlu bayar untuk masuk ke taman monasnya. Tapi jika ingin mengunjungi museum sejarah yang berada di dalam tugu Monas, kalian harus bayar sesuai harga yang tertera di loketnya. Loket berada di terowongan bawah tanah akses menuju masuk museum sejarah Monas."
Monumen Nasional,Fajar Erlangga,sebulan lalu,5 bintang,"Masuk Monumen Nasional dari pintu depan Masjid Istiqlal.
Masuk ke taman tanpa ada biaya, untuk masuk ke Musium harus memiliki kartu yang bisa dibeli diloket.
Harga tiket masuk sudah tertera di loket tiket.
Didalam museum udara gerah, kurang sejuk. Hanya dibantu kipas angin.
Tidak bisa naik ke atas cawan, karena antrinya lamaaaa. Harus datang lebih pagi."
Monumen Nasional,Siteira Zai,sebulan lalu,5 bintang,"1st time ke sini, pembelian tiket di ruang bawah tanah dan bisa menunggu giliran di aula besar sambil belajar, karena di keempat sisi aula tsb tersedia peragaan gambar 3 dimensi menarik di setiap biliknya, menceritakan awal mula pra-sejarah hingga zaman kemerdekaan. Ada vending machine, mushola, tapi wc bagian wanita sepertinya perlu di perbanyak karena saat jam dzuhur ngantrinya panjang. Di puncak menara pun tidak diberi waktu harus berapa lama, jadi bebas menikmati pemandangan, ada 3 teropong yg bisa dipakai. Tiketnya cukup murah, boleh dicoba"
Monumen Nasional,Rahmad Hamdi,seminggu lalu,5 bintang,"Saya sudah sering datang untuk mengunjungi Monas (monumen Nasional) tetapi karena saya kesana setelah selesai bekerja, saya sering mendapati Monas sudah tutup."
Monumen Nasional,Haikal Amjad,2 bulan lalu,5 bintang,"Lokasi nyaman buat olahraga atau rekreasi dengan keluarga. Bisa naik ke puncak Monas, datangnya pagi-pagi atau sesi pertama supaya ga terlalu ngantri(08.00 - 09.00).
Tiket masuk Monas sampai ke puncak 25k per orang untuk dewasa"
Monumen Nasional,Maria Widuri,2 hari lalu,5 bintang,"Saya berangkat menggunakan LRT turun di stasiun dukuh atas. Bagi pengguna transportasi umum, dari sana saya sarankan naik Transjakarta dari halte poris, menggunakan bus 6B turun di halte Balai kota. Halte nya persis di pintu masuk parkir kendaraan pengunjung Monas.

Tolong jangan turun di halte Monas, karena jarak ke pintu masuknya lumayan jauh. Mending cari Transjakarta yang lewat ke halte Monas IRTI/ Balai kota."
Monumen Nasional,Santri Salafiyah,sebulan lalu,5 bintang,Keren pokoknya bersih dan nyaman cocok untuk anak²/pelajar belajar tentang sejarah Indonesia disini deket juga dengan masjid Istiqlal dan juga Stasiun
