location_name,name,date,rating,review_text
Perpustakaan Nasional Republik Indonesia,Zulfiqo Ilham Chudori,2 minggu lalu,5 bintang,"Jalan² ke Perpusnas karena penasaran dengan Koleksi Buku²nya. Akhirnya keturutan. Koleksi Bukunya lengkap utamanya Buku² Budaya Nusantara lengkap dari Sabang sampai Merauke. Di Gedung Depan (Gedung Lawas) ditampilkan dunia penulisan dan perbukuan di Nusantara sejak era Balai Pustaka / Era Raja² Klasik.
Karena waktu yang mepet hanya bisa ke Lantai 4,23 dan 24 untuk Makan dan lihat Koleksi Buku Asing dan Buku Nusantara.
Lantai 4 tempatnya Kantin berada dimana bisa jajan sepuasnya dengan harga terjangkau.
Lantai 23 tempatnya Koleksi Buku Asing + beberapa Reading Corner dari Negara Sahabat.
Lantai 24 puncaknya Gedung Perpusnas yang baru, ada Galeri Kerajinan Nusantara plus Balkon untuk menikmati Jakarta dari ketinggian Lantai 24. Terdiri dari Balkon Sisi Utara yang menghadap Monas dan Balkon Sisi Selatan yang menghadap CBD Jakarta.
Untuk menuju Perpusnas bisa diakses dengan :
KRL : Turun Stasiun Gondangdia lalu jalan kaki sejauh 1 km atau sambung Transportasi Online
BRT Trans Jakarta :
Halte Balai Kota dilewati Transjakarta koridor 1A (PIK-Balai Kota)
2 (Harmoni-Pulo Gadung)
2A (Rawa Buaya-Pulogadung)
1U (TMII-Balai Kota)
EV1 (Blok M-Balai Kota)
Halte Bank Indonesia
1(Blok M-Kota)
5A (Kampung Melayu-Grogol)
6A (Ragunan-Monas via Kuningan)
6B (Ragunan-Monas via Semanggi).
Dari Jakarta Timur
1U (TMII-Balai Kota)
Dari Jakarta Utara
9 (Pluit-Pinang Ranti) turun di Halte Semanggi, transit untuk berganti ke Bus  koridor 1 (Blok M-Kota) turun di Halte Bank Indonesia."
Perpustakaan Nasional Republik Indonesia,Muhammad Ajran Saputra,2 minggu lalu,5 bintang,"Sangat suka tempat ini, perpustakaan nasional, parkirnya lumayan luas di underground, toilet nya bersih, dibagian tempat lainnya juga bersih, antrian lift nya terlalu banyak, pemandangan rooftop bagus sekali, masjid dan musholla bersih, antrian administrasi juga ramai sekali. Overall bagus sekali terimakasih ya"
Perpustakaan Nasional Republik Indonesia,Dejan Mamoto,sebulan lalu,5 bintang,"Ini merupakan Perpustakaan yang besar dan luas yang memiliki ketinggian 24 lantai.

Jika mau kemari dan baru pertamakali hadir, perlu daftar dulu di Lantai Dua untuk buat Kartu. Setelah sudah dapat, cicipi dulu Rooftop di Lantai 24 yang terdapat Lounge, Alat Musik Tradisional serta buku-bukuu kebudayaan. Tidak kalah menarik adalah pemandangan Kota dan mengarah ke Monas.

Lalu kalau mau cari buku umum, perlu ke Lantai 21-22. Itu bisa naik tangga dar Lantai 24. Sedangkan kalau mau cari buku bahasa Inggris ada di Lantai 23

Kalau lapar dan haus, bisa pergi ke Kantin dan koperasi di lantai 4 dan ada Cafe juga di Lantai 1.

Kalau mau shalat di Lantai 6. Untuk ibadah lainnya, belum sedia dan saya juga belum tahu.

Di sini juga ada ruang teater dan bioskop mini. Untuk acara yang memakai dan film yang ditonton, perlu pantengin terus Akun  Instagram Perpusnas.

Lalu kalau mau Layanan Anak dan Disabilitas pergi  ke Lantai 7. Lantai 7 termasuk lantai yang enak duduk, kecuali ada anak-anak.

Bagusnya juga ada arsip Peta

Dalam beberapa lantai, disediakan komputer untuk kita pakai.

Oh iya.. Lantai 4 ada Pameran . Kadang ada kadang gak ..

Lantai 1 ada Galeri Kepresidenan di Gedung sebelah dekat Jalan keluar.

Lantai 1 juga ada Gambaran Tempat belajar jaman dulu."
Perpustakaan Nasional Republik Indonesia,Ahmad Fahrizal Aziz,sebulan lalu,5 bintang,"Perpustakaan ini sangat mewah dan megah. Kita mulai dari gedungnya.

1. Kita masuk lewat ruang heritage, lalu berjalan di halaman Perpustakaan, masuk dan di lantai 1 ada lukisan Presiden dari masa ke masa beserta buku tentang mereka. Di lantai 1 kita bisa menitipkan tas atau barang bawaan lainnya.

Dapat fasilitas loker dan tas untuk membawa barang seperti buku dan laptop.

Ada eskalator dari lantai 1 sampai lantai 4, seterusnya harus menggunakan lift. Kadang lift ramai dan penuh sesak, tergantung situasi.

Di lantai 2 bisa mendaftar menjadi anggota, sekaligus mencetaknya. Prosesnya tak terlalu lama, cukup isi formulir di komputer yang telah disediakan, dapet nomor antren dan tinggal dipanggil untuk foto dan terima kartu.

Di lantai 3 ada kantin, harganya lebih terjangkau kalau dibanding kafe corner di lantai 1. Kantinya semacam food court yang punya beragam menu.

Lantai berikutnya, berisi buku. Silagkan dilihat keterangan di dekat lift mana saja koleksi buku yang diinginkan.

2. Cara pinjam dan baca. Tidak semua buku bisa dipinjam, ada yang hanya bisa dibaca di tempat. Terutama koleksi buku langka dan non koleksi umum. Untuk bisa mendapatkan fasilitas itu, tentu wajib punya kartu anggota.

3. View dari dalam gedung sangat menawan, Jakarta Pusat dengan gedung-gedung megahnya terlihat dari dalam, apalagi dari lantai 20 ke atas.

4. Fasilitas menunjang seperti mushola, kantin dan kamar mandi membuat kita tak perlu jauh-jauh keluar, lagipula butuh energi tersendiri untuk naik turun lift dan eskalator."
Perpustakaan Nasional Republik Indonesia,Muhyiddin Muayyad,3 bulan lalu,5 bintang,"Jika naik transportasi umum bisa turun stasiun gondangdia lalu naik transjakarta 2Q dan turun depan perpusnas. Sebelum ke gedung utama melewati gedung museum. Gedung utama terdapat 24 lantai, lantai 1 bisa untuk penitipan tas dan mengganti tas bening untuk membawa barang yang mau dibawa, lantai 2 untuk pendaftaran anggota, musholla hanya di lantai 6, dan di lantai 24 bisa menikmati view monas dan terlihat laut. Sayangnya jika ramai sangat lama sekali menunggu lift, harus dari lantai 1 agar bisa naik pakai lift, apabila dari lantai pertengahan lebih cepat pakai tangga. Eskalator cuma sampai lantai 4. Ada kantin tempat makan lantai 4"
Perpustakaan Nasional Republik Indonesia,Farah Dzakiyah,2 bulan lalu,5 bintang,"Liftnya selalu rame, nyari bukunya agak bingung karena nomor di etalase bukuny kadang ada yg dirak bawah bnget, please untuk penomorannya di tulis yang jelas lagi Bu/pak dn lengkap atw yg bisa memudahkan penomorannya, ya udah sesuai si cukup mudah nyari bukunya karena smua perpus jga begitu, tapi kalo ad yg trlalu dbawah penomoranny mngkin bisa daftar nomrny di display d rak atasny.
pendaftaran anggota baru bisa Mayan lama nunggu dipanggilnya ada sejaman dri sratus antrian kekny kmren, kalo mau balikin buku, di lt 1 balikn mandiri pake mesin. Perpusnya rame sih, yai ya pusat, smoga ada ruangan yg agak lebih luas lagi biar ga gt rame heheh, tmpat favorit si selalu perpus"
Perpustakaan Nasional Republik Indonesia,Evans Azka,3 bulan lalu,5 bintang,"Perpustakaan Nasional adalah salah satu tempat asyik ngerjain tugas, baca buku atau bahkan berkumpul dan diskusi bersama teman.

Buka setiap hari! Tempat bersih. Nyaman. Ada mushola dan kantin. Bikin kartu anggota lumayan cepet dan lama durasi aktifnya (10 tahun?). Pokoknya seru deh kalo kesini

Yang suka baca buku dan ngerjain tugas tapi males ke coffeshop nan mahal. Disini bisa jadi tempat favorit!

Rekomended!!"
Perpustakaan Nasional Republik Indonesia,Seri Bulan Siregar,3 bulan lalu,5 bintang,"Sejak dulu, pengen banget ke Pusnas, Alhamdulillah kesampaian juga. Pelayanannya cepat terutama saat buat kartu perpus, walaupun sedikit antri (tapi gak lama). Ada kantin, mushalla dan lengkap deh pokonya. Dari balkon perpus bisa lihat ke Monas. Semoga di lain waktu bisa Kesini lagi."
Perpustakaan Nasional Republik Indonesia,Shella Evitananda,sebulan lalu,5 bintang,"Bagi pengunjung yang baru pertama kali datang ke sini diharuskan untuk melakukan registrasi terlebih dahulu, namun tidak perlu khawatir karena prosesnya cukup mudah dan jika ada yang perlu ditanyakan bisa langsung menghubungi petugas di sana. Selain itu, kita juga bisa melihat monas dari balkon lantai paling atas. Saran bagi pihak pengelola perpustakaan, alangkah baiknya di bagian lobby diberikan papan informasi terkait tempat-tempat yang bisa digunakan secara leluasa (semisal study space yang bisa digunakan oleh pengunjung)."
Perpustakaan Nasional Republik Indonesia,Dewi Martha Andyani,2 minggu lalu,5 bintang,"Jika Anda pertama kali berkunjung ke sini, maka Anda perlu melakukan registrasi anggota terlebih dahulu di lantai 2. Di lantai 1 ada loker penitipan tas dan pengunjung wajib menitipkan tasnya di loker dan menggunakan tas transparan yang disediakan oleh perpustakaan. Di lantai 2, Anda cukup mengisi data diri pada komputer-komputer yang tersedia dan mencetak nomor antrian, lalu tunggu antrian Anda dipanggil. Pastikan Anda membawa KTP untuk verifikasi data dan setelah petugas memverifikasi beberapa data, Anda akan diminta foto dan tidak butuh waktu lama, kartu anggota Anda sudah jadi. Setelah itu, Anda bisa menikmati layanan fasilitas yang tersedia di perpustakaan ini. Saya mengunjungi koleksi anak (lantai 4), koleksi peta (saya lupa lantai berapa), koleksi mancanegara (lantai 20), dan koleksi umum (lantai 21 dan 22). Jika mau menggunakan setiap fasilitas membaca, Anda diwajibkan untuk mengisi buku tamu di komputer yang disediakan dengan menginput nomor anggota atau scan kartu anggota Anda. Menurut saya dari semua lantai, lantai 20 adalah lantai yang paling sepi dan nyaman untuk membaca. Lantai 21-22 cukup ramai namun ada banyak sekali spot membaca yang bisa digunakan. Fasilitas seperti colokan juga dapat ditemui tersebar pada beberapa titik. Musholla juga terdapat di beberapa lantai seperti lantai 6 dan 19. Toilet juga tersedia di setiap lantai, sayangnya hampir di setiap lantai, tidak ada tissuenya (Update per April 2024, sudah ada tissuenya, hanya saja beberapa lantai ada toilet yang biliknya rusak). Petugas yang ada di meja informasi maupun yang bertugas pada setiap lantai juga informatif dan ramah, sehingga Anda tidak perlu segan bertanya jika merasa kebingungan. Di beberapa lantai, Anda tidak diperbolehkan membawa makanan/minuman, jadi harap perhatikan sebelum masuk ke ruang-ruang tertentu. Saya juga sempat mengikuti acara membaca bersama yang diselenggarakan di lantai 24, sehingga saya bisa juga berfoto di bagian atap lantai 24. Area ini juga terbuka untuk umum. Yang agak disayangkan dari perpustakaan ini adalah liftnya, meskipun liftnya ada 5, namun terkadang bisa sangat lama ketika menunggu lift naik/turun, sementara eskalator hanya tersedia sampai lantai 4 saja. Menurut saya, tempat ini sangat cocok untuk rekreasi gratis bagi Anda sekalian yang suka membaca.

Saya berkunjung ke perpustakaan menggunakan KRL, turun di stasiun Gondangdia, menunggu TransJakarta rute 2Q (Stasiun Gondangdia - Balai Kota) dan turun di halte Perpustakaan Nasional. Setelah dari halte, Anda tidak perlu menyebrang lagi."
