location_name,name,date,rating,review_text
Taman Mini Indonesia Indah,Dewi Intan,2 hari lalu,4 bintang,"Akhirnya ke TMII juga setelah renovasi ini.

1. Untuk tiket masuk mobil dan orang lebih baik beli online dulu, jadi cepat.
2. Untuk parkir mobil harus ke gedung dan bisa jalan sedikit ke arah Pusat Informasi yang dekat museum indonesia, bisa sewa skuter juga, sepeda dll. Karena dari Pusat Informasi ini banyak shuttle nya, mau keliling atau langsung ke Taman burung, museum bisa langsung diarahkan daripada naik dan nunggu lama di halte parkir utara mending jalan sedikit aja. Karena shuttle nya juga akan turun disana, jadi ya mending jalan dikit kesini baru nanti naik ke tujuan yg diinginkan.
3. Untuk makan dan minuman boleh dibawa, jadi bebas.
4. Istana anak sayangnya masih tutup
5. Taman Burung oke, luas banget
6. ITS A MUST karena kereeen banget apalagi ditambah dengan cerita anak dan drone nya >> Dancing Fountain nya TMII alias Tirta Cerita di jam 18.30 - 19.00 (harus bawa lotion anti nyamuk) dan kalau bisa duduk nunggu dari 18.10 untuk dapat spot tengah karena bakal penuh apalagi di weekend.
7. Untuk mobil wara wiri nya ada 2 jenis, mobil jalur utara dan jalur selatan, beda2 juga lewatin nya, sepertinya harus menambah armada apalagi di weekend karena antrian panjang banget.
8. Jalur utara lewatin taman burung, museum penerangan, sky world 4D, pp iptek, istana anak, komunitas yang ada Tentang Kopi.
9. Jalur selatan lewatin museum serangga, keong mas dll."
Taman Mini Indonesia Indah,Derry Alviandi,seminggu lalu,4 bintang,"Datang kesana saat weekday.
Cita cita saya datang ke museum bersama anak untuk menjelaskan apa saja yang ada disana.

1. Museum transportasi: melihat berbagai macam mobil dan Pesawat. Kondisi saat itu siang hari lalu masuk ke dalam museum nya. AC mati , lampu mati. Hanya lampu emergency yang menyala. Yang cukup menggelikan yaitu melihat pameran mobil hyundai ionic yang ada di museum tapi lampu dimatikan, gelap seperti masuk ke ruangan yang sepi. Yang jelas membuat anak takut.

2. Pengadaan shuttle ke setiap anjungan / museum sangat tidak efektif saat weekday. Jumlah shuttle yang kurang dari semestinya. Saya menunggu 20-30 menit bersama anak anak saat siang hari membuat anak anak yang lain pun mengeluh bahkan menangis kepanasan. Apakabar saat weekend?

3. Parkiran luas
4. Setiap museum hanya bisa dilewati shuttle dan kendaraan listrik, namun shuttle terbatas.

Kesimpulan : saat datang weekday kemungkinan karna sepi jadi kondisi AC, penerangan di museum dibuat seminimal mungkin. Kondisi panas diluar dan gelap dalam museum mengakibatkan anak anak mengeluh panas dan tidak nyaman. Kondisi tersebut ditambah dengan jumlah shuttle yang sedikit  sehingga dalam  1 hari tidak akan mencakup semua tempat di TMII.
Mohon dilakukan perubahan yang lebih baik. Belum rekomen untuk datang saat weekday dengan membawa 2 anak balita."
Taman Mini Indonesia Indah,Widi,2 hari lalu,5 bintang,"Tempat eduaksi yang baik untuk anak anak
Banyak anjungan budaya rumah adat, tempat pertunjukan

Htm masuk 35k per orang, masuk anjungan laen/wahana laen bayar lg
Rekomen dunia air

Pas kesana waktu harpitnas jd aga ramai

Waktu pertama masuk bisa foto sm burung
Kalau mau foto sm burung di TMII cukup follow akun di bawah ya gaes yaa 👇👇
@jagatsatwa.tmii

Ada tempat memgantri naik kendaraan jg
Untuk sopir stasiun sangat ramah dan informatif yg pertama si bapak menjelaskan dengan gamblang tempat yg di lewatinya,
klo sopir yg kedua diem aja kyk patung dan tiba"" sudah sampai🤣

Mohon untuk semua kru sopir agar informatif seperti bapak yg pertama, gausah panjang lebar yg penting menjelaskan tempat yg di lewati dan siapa yg mau turun gt aja udah enak
Drpd dieeem aja tiba tiba sampai 🤣

Tempat sangat luas sekali ga cukup kalo sekali kesini semua di jelajah i, harus beberapa kali kesini

Kamar mandi bersih, nyaman

Petugas yg di informasi peta sangat ramah dan informatif

Semoga makin baik lg kedepanya 👍

Rekomen daah 👌"
Taman Mini Indonesia Indah,Ala Faradisi,4 minggu lalu,3 bintang,"Saya kesini minggu terakhir sebelum puasa, dan ngerasa zonk sih. Museum yg buka dikiiit banget. Kereta gantung juga ga operasi.

Kesini karena fieldtrip sekolah anak ke taman burung. Disini sih worth it ya, burung2nya banyak dan tempatnya bagus. Ada bird shownya dan cafe juga. Puas banget bawa anak kesini.

Tapiiii ke museum lainnya kecewa parah. Saya coba ke sky world ampun deh ga banget. Tempatnya lembab dan terkesan ga laku. Bener2 begitu doang, saya coba wahana 4d atau apalah itu yaelah videonya gajelas banget. Mana ruangannya bau lembab banget. Kan ini sky world ya, cobalah pake video tentang luar angkasa atau apa gitu. Malah pake video gajelas yg ga nyambung sama sekali sama luar angkasa 👎
Tiketnya mahal juga 90ribu tapi ga dapet apa2.

Dan di TMII ini kalo mau cari makan susahnya ampun banget. Mending bawa bekel deh, ada foodcourt tapi rasanya gajelas banget. Udah tempatnya kumuh pula. Alhasil saya beli frozen food di indomaretnya aja.

Masuk TMII ini juga kan gabisa mobil biasa, harus mobil listrik atau pakai bus wara wiri. Bisa juga sewa semacam buggy car.
Buggy carnya ini harganya tergantung dari kapasitas seatnya.
2 seat kalo gasalah 350, 4 seat 550, 6 seat 750. Semua harga untuk sewa selama 2 jam.

Menurut saya yg asik di TMII ini sekarang cuma puter2 pake buggy car doang, gaperlu masuk museumnya sih karena ga worth it.
Dan toilet disini menurut saya jorok dan bau, mungkin bisa lebih ditingkatin ya kebersihannya. Dan coba tolong dibangun foodcourt yg layak deh, yg tenantnya resto terkenal gitu."
Taman Mini Indonesia Indah,Daffodil,5 hari lalu,5 bintang,"TMII adalah salah satu tempat yang berkesan bgt si buat aku, mulai dari awal dateng sampe pulang, semuanya lancar terus nyenengin. Pemandangan alamnya bagus banget, bangunannya juga banyak unsur budaya sma Disney jg, jd berasa di negri dongen, terus untuk wahana juga worth it bgt buat di coba, di jamin seru dan memacu adrenalin.

Pengalaman wisata di tempat ini luar biasa bgt si, ini rekomen bgt buat siapa pun yang pengen nikmatin keindahan alam sama suasana yang nyegerin.

Note : pict nyomot dari google karena rata² foto yg di ambil cmn pap wkwkwk"
Taman Mini Indonesia Indah,Vodka Skyy,sebulan lalu,5 bintang,"Taman mini sebagai tujuan wisata turis international “bhinneka tunggal ika” d jakarta :
Dari sudut pandang pemula yg baru pertama kali dtg ke taman mini setelah renovasi.

1. sebagai pengendara mobil yang bru dtg pertama kali setelah renovasi kita belum tau taman mini bisa naik shuttle atau sewa kendaraan listrik jadi butuh direction di tmpt parkir untuk kemana kita bisa akses kendaraan tsb
2. Directionnya dual language bahasa inggris dan bahasa indonesia karena ini kan untuk tujuan international
3. Masing masing anjungan ada storylinenya. Bisa audio atau visual cerita ttg destinasi di daerah tab, rumah adat, baju or budayanya
4. Perlunya ada ruangan ac di tiap anjungan yg dipakai untuk orang beristirahat sejenak sebelum ke destinasi berikutnya. Mengingat suhu jakarta agak panas. ruang istirahat ini bisa jdi tmpt jual makanan dan minuman, jual baju adat, dan penyewaan baju adat untuk bisa keliling sambil foto foto di anjungan pake baju adat.
5. Untuk pertunjukan tarian kalau bisa di hari libur untuk latihannya di hari biasa dan jadwal dipampang di depan anjungan sehingga turis asing yg dtg punya waktu hanya 2 jam sudah bisa tau info smuanya. Bisa dibuat seperti pertunjukan kecak di bali melasti. Jamnya sore lebih oke.
6. Di mobil atau motor listrik  yang disewa ada tablet yg memuat isi ttg: peta kawasan taman mini, jadwal pertunjukan masing masing anjungan, sound system yg akan bercerita ketika kita masuk ke anjungan. Ala ala film jurrasic park
7. Akses masuk anjungan untuk kendaraan atau pedestrian agak lebih rapi
8. Disediakan tempat untuk charger handphone di setiap anjungan / transportasi kendaraan listrik serta ruangan merokok

so far setelah renovasi taman mini jadi ok

Sekian"
Taman Mini Indonesia Indah,Fitria Mafituhin,seminggu lalu,5 bintang,"Semua spot oke banget. Selain rekreasi, kita bisa menambah pengetahuan. Apalagi untuk anak-anak, bakal penasaran banget sama hal-hal baru yang bisa mereka lihat dan eksplor.
Minesnya cuman satu, maps yang bisa diakses secara online kurang lengkap. Mau cari tempat jajan/ mushola/ toilet lumayan makan waktu buat yang baru pertama berkunjung."
Taman Mini Indonesia Indah,Ilham Kurniawan,3 minggu lalu,4 bintang,"Kelihatannya tidak di revitalisasi semua, hanya tampak luar saja...karena saya ke museum IPTEKnya tidak ada yg berubah malah Jadi lebih suram tempatnya...gerah juga padahal tidak ramai. Tapi jalan utama dan taman sekitarnya sudah bagus.
Bahkan saya berbincang dengan petugas TMII sana, katanya mending ke Ancol untuk taman burungnya haha. Saat saya berniat ke taman burung TMII.

Saat weekday wara-wiri bukanlah kendala karena tersedia banyak dan cepat. Parkir ada dua gedung dan non gedung. Bisa pilih non gedung kalau masih available karena lebih dekat ke pintu masuk.

Makan bisa coba ke resto bakau, yang ada di akuarium air tawar. Mereka punya kolam arwana dan feeding koi. Untung saja saya dapat rekomendasi dari petugasnya...karena ini terpencil tempatnya. Harga wajar.

Saya datang jam 2 siang, Tahan hingga setengah 7. Kalau bawa anak jgn lewatkan air mancur menarinya...menurut saya hanya ini yg paling worth dengan tiket masuk di TMII. Seumur hidup bolehlah sekali lihat air mancur menarinya. Jangan diskip."
Taman Mini Indonesia Indah,Erny Widyawati,3 hari lalu,5 bintang,"Banyak perubahan setelah kendaraan tidak boleh masuk. Udaranya segar dan lebih nyaman.

Untuk saran sih tolong kendaraan wara wiri nya di tambah agar tidak terlalu lama nunggu nya. Dan ada petugas yg stand by untuk mengatur antrian. Terutama saat high season.

Kemarin main ke taman legenda keong mas. Untuk liburan anak anak seru. Ada banyak wahana permainan, waterpark, taman dinosaurus dan mini zoo.

Semoga ini bagian yang akan masuk list renov selanjutnya. Biar semakin bagus dan banyak peminat nya."
Taman Mini Indonesia Indah,Sil_ Via,2 minggu lalu,5 bintang,"TMII sekarang udh bagus bgt, tertata rapi, akomodasi gampang, petugasnya ramah2, wajib dateng ke taman burung, reptil, museum air tawar, museum batik. kalo mau ke museum batik boleh dicoba reservasi minimal sehari sebelumnya, soalnya ada gratis membatik disana.

Untuk museum burung, reptil dan air tawar bebayar ya.

Wajib follow ig nya buat tau info2 kegiatan apa hari itu.
Kalo malem wajib nonton air mancur tirta cerita.."
