location_name,name,date,rating,review_text
Curug Malela,Tewi Yuliani,4 bulan lalu,5 bintang,"Dulu sempet ke Curug Malela waktu Bulan Januari 2016.
Akhirnya bisa dateng lagi ke 2x nya bulan Desember 2023 dengan perubahan yg signifikan.
Sekarang ke batu tengahnya udah ada jembatan. Ga kayak dulu harus buka sepatu sendal, naikin celana dan takut sama aliran airnya yg deres banget.
Pokonya pemandangannya bagus banget ga mengecewakan🥰😍"
Curug Malela,Nie Ann,6 bulan lalu,5 bintang,"Mantap trekking sekitar 20 mnt jln menurun tanpa pegangan  dr naek ojek motor langsung d suguhi pemandangan alam yg indah👍🏻
Harga tiket masuk 5000 rupiah …"
Curug Malela,Angelita,9 bulan lalu,5 bintang,"Terakhir datang entah 2014 atau 2015 akses jalan masih parah, berlumpur untuk sampai tempat parkir. Sekarang jalan beton sampai bunijaya, bunijaya ke Curug Malela di aspal.. dari tempat parkir ke Curug, jalannya masih belum full semen/paving.. jalan turun jauh. Cocok buat yg suka tracking. Buat yg ga biasa tracking bisa naik ojek untuk turun dan kembali ke parkiran nya."
Curug Malela,Rizal Dae,4 bulan lalu,4 bintang,di musim penghujan jalur dari parkiran kendaraan menuju curug cukup becek dan licin karena masih banyak jalur yg belum di buat dg baik dan di tambah parah dg motor ojek menuju curug semakin membuat rusak jalur tersebut.
Curug Malela,Shella Sahim,5 bulan lalu,5 bintang,"Pribumi ramah,terawat,bagus...trekingnyapun aman,yg pasti Curug ya kererrn bgt"
Curug Malela,Nisrinarskl,10 bulan lalu,4 bintang,"18 Juni 2023

Tiket Masuknya sekarang 6.000/orang
Bayar parkirnya beda lagi (bukan termasuk tiket masuk)

Toiletnya ada di deket tempat parkir, tetapi waktu itu airnya kecil. Semoga nanti bisa lebih baik lagi.
Toiletnya ada di bawah juga deket tempat buat istirahat + ada warung kecil.

buat tracknya menuju curug jalannya menurun + agak licin (mungkin abis ujan), lumayan jauh, nanti pas balik ke atas lumayan olahraga 👍🏼😁

viewnya MasyaAllah indah ✨
siapkan fisik yg sehat. Terima kasih.."
Curug Malela,Supriyati Frans,5 bulan lalu,5 bintang,"Curug indah yg ditempuh dengan penuh perjuangan dan terbayar dgn indahnya , sayang sekali kurang pengelolaan ,semoga kedepan akan lebih terawat ,akses yg lebih mudah dijangkau dan lebih aman tuk dilalui."
Curug Malela,Rudy Nuryana,sebulan lalu,5 bintang,"Curug nya Indah dan alami, perjalanan menelusuri jalan setapak cukup menantang dan menyenangkan"
Curug Malela,KALVIN ADITHYA RAPANG,6 bulan lalu,5 bintang,"Meskipun jalur yang di lalui cukup jauh dan terjal, tp tempat nya indah dan bagus untuk untuk spot foto."
Curug Malela,Kyan,10 bulan lalu,5 bintang,"Perjalanan naik motor dari Bandung ke Curug Malela melalui, Batujajar - cililin - Gununghalu, jalannya bagus, ada sedikit jelek di Deket mau ke curugnya. Perjalanan naik motor ditempuh kurang lebih 2,5 jam. Untuk patokan silahkan menggunakan Gmaps dan bertanya2 ke warga sekitar.

Harga tiket Rp 5.500 belum termasuk biaya parkir.

Perjalanan hiking dari parkiran ke Curug didominasi oleh track yang menurun, disepanjang jalan tersedia shelter shelter untuk beristirahat dan juga ada beberapa warung. Apabila kondisi hujan atau habis hujan, jalannya menjadi licin, dan hati-hati kepeleset. Paket lengkap apabila licin dan jalan menurun. Dan kalo tidak hujan atau kering, jalannya akan berdebu.

Setelah berjuang cape hiking, akan terbayarkan setelah melihat keindahan curugnya, luar biasa bagus.  Untuk yang ingin bermain air dideket Curug disarankan agar datang sebelum jam 12siang. Setelah jam 12 siang akses menuju dekat Curug akan ditutup. Dan kita hanya bisa sampai ke jembatan besi didepan Curug. Dan setelah sampai ke Curug akan bertemu Abah lili yang tinggal dan menjaga di Curug, silahkan ngobrol dengan Abah lili untuk mengetahui info Curug Malela ini.

Bagi yg ingin hiking dan melihat keindahan Curug, wajib berkunjung ke Curug Malela ini.
Semoga bermanfaat, Salam keindahan alam.

Untuk liat video perjalanannya, silahkan di tonton di YouTube Kyan Kelana. Terima kasih 🙏"
Curug Malela,hasan sadiq syahab,6 tahun lalu,5 bintang,"Curug Malela atau disebut juga Niagara Malela merupakan air terjun dengan ketinggian kurang lebih 60 meter dan lebar hingga 70 meter. Curug Malela ini berlokasi di Kampung Manglid, Desa Cidadas, Kecamatan Rongga, Gununghalu, Kabupaten Bandung Barat. Untuk menempuh tempat ini anda akan menempuh waktu kurang lebih 1-2 jam dari pusat kota jika tidak macet.

Curug ini mempunyai keunikan tersendiri. Tidak seperti curug-curug lainnya, air terjun setinggi 60 meter ini terdiri dari tingkatan-tingkatan tertentu sehingga bagus dan pas untuk dijadikan spot foto oleh kawula muda yang hoby selfie tentunya. Tak heran jika banyak sekali rombongan anak muda yang sengaja untuk touring ke tempat ini.

Sayangnya, tempat wisata ini terletak langsung dekat dengan sungai, sehingga jika anda berniat untuk berendam atau mandi di tempat ini, pastikan jika debit nya tidak sedang tinggi karena banyak sekali kasus-kasus hanyut yang terjadi di Curug Malela ini. Jangan datang di musim hujan juga karena airnya bisa meluap dan warnanya juga keruh berwarna coklat.

Selama perjalanan menuju Curug Malela, jangan heran jika jalannya hanya bermodalkan jalan bebatuan dan tanah saja, namun selama perjalanan menuju destinasi ini anda akan disuguhi dengan berbagai pemandangan alam yang sangat indah seperti pesawahan, pegunungan, dan lain-lain. Curug Malela juga kerap digunakan sebagai objek fotografi oleh fotografer profesional atau awam sekalipun.

Seperti tempat-tempat terpencil lainnya. Curug ini juga dipercaya menyimpan berbagai cerita misteri, para pengunjung baru akan sangat kesulitan untuk menemukan lokasi ini, mereka harus bertanya terlebih dahulu ke penduduk sekitar untuk dapat tiba di tempat ini, jika tidak, mereka bisa kesasar. Entah benar atau tidak, tapi memang benar para wisatawan yang baru ke curug ini meskipun sudah mengikuti rute di maps, akan sangat kesulitan apabila tidak bertanya."
Curug Malela,wildan arif amrulloh,5 tahun lalu,5 bintang,"Untuk pertama kalinya menjajal rute gowes menuju curug malela ini dari soreang menempuh jarak 65km... Cukup melelahkan karena walaupun daerah sana ada kebuh teh tapi aga gersang mungkin karena cuaca musim panas juga... Rute menuju curug harus di tempuh dengan jalan kaki,, siap-siap kaki anda pegal linu. Haha, tapi semua itu terbayar dengan keindahan curug malela disana. Cukup dengan bayar 5rb saja susdah bisa sepuasnya berada disana.. Keren keren.."
Curug Malela,Riza Meiliana,5 tahun lalu,4 bintang,"Air Terjunnya bagus cantik pantas disebut niagara kecil. Untuk jalan menuju lokasi sudah bagus di aspal dan beberapa di beton. Siapkan keresek kalau yg suka mabok perjalanan karena jalan banyak dengan belokan tajam dan menanjak. Kekurangan nya hanya satu track menuju air terjunnya licin karena tangga2 sudah pada hilang tinggal sisa tanah, disarankan memakai sepatu atau sendal gunung. Oh iya bagi yg ga kuat tracking ke  air terjunnya tenang, ada mamang ojek yg siap mengantar dengan biaya 50rb"
Curug Malela,dina sari putri,6 tahun lalu,4 bintang,"Air terjun yang berada di Desa Cicadas, Kecamatan Gununghalu, Kabupaten Bandung Barat ini bisa dicapai sekitar 3 jam dari Kta Bandung. Tempat wisata di Bandung ini sangat cocok bagi Anda yang senang trekking di alam bebas, karena pengunjung masih harus berjalan kaki sekitar 10 kilometer untuk sampai ke lokasi.

Memang melelahkan, namun begitu sampai di hadapan Curug Malela, Anda akan menemukan keindahan 5 air terjun yang berjajar dan membiaskan cahaya putih yang menawan ketika air jatuh menyentuh bebatuan di bawahnya."
Curug Malela,Kazep_ 023,setahun lalu,5 bintang,"Perjalanan yg bnr"" bikin Syahduu ,, dr Tempat parkir ke lokasi Curug ,,
Lelahh pun terasa hilang ketika sampe lokasi ,, 🥰🥰 …"
Curug Malela,Kevin Al Ghifary,6 tahun lalu,4 bintang,"Sekitar 3 jam dari bandung kota.
Bisa melalui batujajar cimahi, atau juga bisa lewat margaasih.

Secara keseluruhan jalannya bagus, cuma untuk mobil mungkin agak sulit, karena ada beberapa jalan yang cukup kecil untuk dilewati.

Tiket masuk ke kawasan curug malela 5000/orang. Dari lokasi gerbang masuk ke kawasan parkir curug malela sekitar 2 km.

Tiket parkir motor Rp 2000/motor
Tiket parkir mobil Rp 10.000/mobil.

Dari area parkir, hiking menuju curug malela sekitar 30 menit. jalurnya lumayan melelahkan. Tapi tenang saja, kalian juga bisa menyewa ojek motor menuju lokasi sebesar Rp 15.000 - Rp 30.000 ( sekali pergi dan sepintarnya kalian menego harga)

Di lokasi banyak warung2 kecil. sesampainya disana ada 3 spot untuk berfoto ( BAYAR TERPISAH untuk masing2 spot)
Di kawasan ini tidak diperbolehkan berenang. Tempatnya lumayan terawat meski ada sampah2 berserakan."
Curug Malela,Muhamad Bayu,4 bulan lalu,5 bintang,Tempat dimana kenangan baru terjadi
