location_name,name,date,rating,review_text
Gunung Gede,Ahmad Adi,6 hari lalu,5 bintang,"15 April 2024
Pendakian ke 3 saya gunung gede. Awalnya saya ot Merbabu tapi saya kena tipu yasudah jadinya mandiri ke gunung gede ini. Via putri darri basecamp albardany. Lanjut ke pos 1.2.3.4 sampai surken.. bener² cuapek poll. Saya ber 4 adik saya temen adik dan temen kenalan dari Sukabumi. Bener² ada dengkul ketemu muka itu parah nya pos 3 ke 4. Tapi setelahnya di surken rasa cape nya terbayar.. perjalanan membutuhkan 8-10 jam haha parah ya. Dari surken buat tenda dan lanjut esok nya summit hanya membutuhkan 1 jam saja.. oiya ke gunung gede kalau hari libur itu biasanya macet dan rame.. tapi itu yang bikin seru dan saling semangatin. Intinya pengalaman keren soalnya mandiri dan tidak pakai jasa open trip.

""Pegunungan membuatku percaya bahwa tidak ada yang lebih besar dari alam , bahkan ego manusia pun tidak."""
Gunung Gede,Adi Nugraha,3 minggu lalu,1 bintang,"Setelah 3 bulan di tutup, dan pas tanggal 15 april 2024 di buka.kembali, waduh ramai banget, perjalanan pendakianpun menguras waktu dan tenaga, soalnya macet"
Gunung Gede,Agus Setyono,sebulan lalu,5 bintang,"Gunung besar pertama yang saya daki tahun 1997.

Perbedaan nya jauh sekali dengan sekarang.

Sekarang mirip Pasar malam  rame banget 😂😂😂.

Tidak masalah. Karena view nya memang sebagus itu Dan perjalanan nya memang se candu itu (apalagi klo rame2).

Hiking lintas, recommend naik cibodas turun Putri.
Hiking cepat, Naik Putri turun Putri.
Hiking syahdu, naik salabintana turun salabintana.

Untuk yang mau Tektok, recommend via salabintana. Bisa ngebut lari. (klo via putri, banyak drop nya dan terlalu ramai pendaki)

Sumber air, via cibodas banyak.
Jalur lain tidak ada. Salabintana sebenernya ada sumber air namun kalau musim kemarau, jangan berharap.

Jalur Paling banyak spot buat foto, via cibodas.

Sedangkan jalur Paling ramai pendaki, via putri.

Jalur paling sepi, Salabintana

Siapkan fisik Dan mental, walaupun Aman buat pendaki pemula, namun alangkah baiknya jika sebelum naik, segala sesuatu nya di persiapkan dengan baik.

Sopan Dan santun, baik antar pendaki maupun dengan alam.
Dan jangan lupa bawa turun sampah mu.

Jaga alam, Agar alam bisa menjaga mu."
Gunung Gede,Dessy Ariska,4 hari lalu,5 bintang,Pendakian peratama ke gn.Gede dan ternyata secantik ituu puncak gn.Gede
Gunung Gede,Deden Eri,5 bulan lalu,5 bintang,Pendakian 70% Menguras Tenaga 30% Ketawa.... Walaupun tidak semua yg berhasil menggapai puncak tapi percayalah kami akan kembali lagi...  11 Nop 2023 Pia Putri
Gunung Gede,Kang Seleb,7 bulan lalu,5 bintang,"Pemandangan bagus banget, cuman di sayangkan selama pendakian di gede lumayan bnyk sampah sih, mungkin dari pihak ormas atau yang mengatur pendakian mungkin selalu mewanti2 para pendaki agar tidak membuang sampah selama di gunung"
Gunung Gede,DEKU,setahun lalu,5 bintang,"2014 saya mendaki disini brsama 10 orang teman.. sayang saat itu cuaca cukup ekstrim sementara persiapan kami tidak memadai

Alhasil kita hanya sampai di perkemahan kandang badak dan kita gagal summit

Tapi itu tidak menciutkan niat kami untung kembali datang agar bisa menikmati indahnya puncak Gede"
Gunung Gede,Hafidh Agung F,4 bulan lalu,5 bintang,Alhamdulillah bisa kesini di tahun 2023 see you di pertemuan berikutnya
Gunung Gede,alan asiddiqi,3 bulan lalu,5 bintang,"mantap mt gede, kemarin tektok blum sempet camp, mantap lah ga busa diremehkan"
Gunung Gede,Rully Septianto,9 bulan lalu,5 bintang,"Sayang pas saya kesana senin 31 agustus udaranya dingin banget, kabutnya juga tebal pas saya camp di Surya kencana ketika shubuh jadi ga sempet muncak. Cuma tetep puas, viewnya bagus banget di surya kencana apalagi pas matahari terbit"
