location_name,name,date,rating,review_text
Kawah Putih,Lutfiah Fajrianti,seminggu lalu,5 bintang,"Pertama kali kesini, bagus banget buat foto-foto. Tidak disarankan untuk yang punya alergi dingin atau anak-anak yang gak kuat dingin, karena lumayan dingin dan bau belerangnya lumayan menyengat (baiknya pakai masker). Waktu itu naik ke kawahnya pakai Ontang-anting harga tiketnya sekitar 60rban (udah plus Ontang-anting untuk pulang pergi)"
Kawah Putih,Wira Khusuma,3 minggu lalu,3 bintang,"Lumayan jauh kalau dari bandung, how its fell is like on tangkuban perahu, hanya saja disini diatas cuma kawah saja. Tempat penjualan oleh2 dan tempat makan ada dibawah. Better yang bawa kendaraan diletakan dibawah dan keatas menggunakan angkutan yang telah disediakan."
Kawah Putih,Jaya3j,4 hari lalu,5 bintang,"Tempat bagus jalan naiknya seru lewat tanjakan terjal,tiket kena 270rb,dengan mobil sendiri sampai di parkiran kawah..."
Kawah Putih,Bebatikan Jogja,3 bulan lalu,5 bintang,"Pemandangannya bagus tetapi tidak kuat lama-lama di sini. Belerangnya membuat batuk2 dan napas tidak nyaman.

Tips: lebih baik parkir di bawah lalu naik angkot ke atas karena jalanan agak sempit dan menanjak. Dihitung-hitung juga lebih murah."
Kawah Putih,Bunda Ade,2 bulan lalu,5 bintang,"Tempat yang sangat indah untuk berswafoto, danau yg tenang, angin semilir, udara dingin. Dari gerbang tiket agak jauh menuju kawah putihnya sekitar 5 km dengan jalanan yg naik turun, ada mobil ontang anting bagi yg tidak membawa kendaraan pribadi. Dari gerbang kawah putih menuju kawahnya, dekat berjalan kaki. Tiket masuk murah per orang, hanya ada tiket yg saya tidak mengerti ... Entah apakah tiket menggunakan kendaraan roda empat mencapai 150 ribu-an."
Kawah Putih,Sofia Dsw,4 bulan lalu,5 bintang,"Bagus, Bau belerang banget yg jelas ya wkwkw, dan baru tau klo untuk naik angkot ke kawahnya itu dalam 1 angkot harus minimal 5 orang dulu (klo ga salah) angkotnya berbayar lupaaa 10k apa 20k ya per 1 orang, tapi itu udh pp sih, pemandangannya ? banyak emak2 berseragam poto2 dan heboh sendiri 🤣🙏 wkwkw dh gitu aja, tiket masuk berapa ya, lupa juga, klo ga salah 30k apa yak wkwkw, udh lama kesini nya 🥲 pokoknya pp tiket dan angkot kurleb 50k/orang"
Kawah Putih,Dimas We,sebulan lalu,2 bintang,"Kawahnya bagus, tapi untuk menuju kesana naik ontang anting harus nunggu 10 orang. Alhasil nunggu sampe 2jam an lebih. Giliran baliknya malah di tinggal wkwk. Lagi lagi nunggu"
Kawah Putih,Abdul Patah,2 bulan lalu,5 bintang,"Baru masuk lagi ksni ternyata banyak perubahan
Tiket masuk 28 rb / orng
Naik angkot dari parkiran 29 rb / orng pp
Anak umur 2 tahun gak bayar
Parkir motor dan penitipan hlem 11 rb
Di area kawah klo mau ketengah lewat jembatan harus banyar lagi 15 rb
Ini harga sewaktu2 bisa berubah.
Klo yang gak kuat sama bau belerang di sarankan bawa masker di atas ada yg jualan 10 rb 3
Untuk yang bawa mobil pribadi bisa dibawa ke atas.
Selamat berlibur😀"
Kawah Putih,Shalahuddin Abdullah,4 bulan lalu,5 bintang,"Tempat ini memiliki pemandangan yang luar biasa indahnya, dengan kawah belerang yang masih aktif seakan akan kita berada ditempat yang asing. Spot foto disini cukup banyak bisa turun langsung dekat dengan kawahnya atau bisa juga kita menikmatinya dari atas. Sebaiknya bagi yang memiliki penyakit pernafasan tidak berlama-lama berada disini karena bau belerangnya cukup kuat atau bisa juga dengan memakai masker agar tetap aman."
Kawah Putih,Wisnu Herdananto,2 bulan lalu,5 bintang,"Pemandangannya bagus banget, tapi saran sj kalau mau kesini datang sebelum jam 12, karena kalau siang - sore kadang suka hujan, jadi prepare bawa payung / mantel.
Tidak terlalu dingin, jd ngga usah pake jaket gpp aman kok.
Bawa makan & minum karena ngga ada yg jualan diatas.
Bawa fotografer sendiri sj kalau bisa sewa studio foto bawa kesana biar bagus"
