location_name,name,date,rating,review_text
Taman Safari Indonesia Bogor,Ala Faradisi,4 hari lalu,4 bintang,"Kesini hari senin ternyata tetep macet dijalan 😞

Rekomen buat bawa keluarga meski lumayan mahal sih tiketnya, saran kalo kesini mending seharian full buat nikmatin binatang sama wahana2nya didalem. Dan bawa bekel aja buat dimakan rame2, karena resto2 didalem rasanya kurang enak sih. Kalo cuma buat cemil2 okelah  🥲
Kemarin juga cobain kereta gantungnya, lumayan bagus sih cuma lintasannya ga terlalu panjang. Harganya 50k perorang. Tapi rada ngeri soalnya goyangnya kenceng bgt dan bunyi mesinnya keras bgt gitu.

Bagusnya disini toiletnya bersih, airnya dingin dan ga jorok. Staff2nya juga ramah 👍"
Taman Safari Indonesia Bogor,Metha Shinta Dewi,2 minggu lalu,5 bintang,"Untuk tiket weekday seharga 230k ke Taman safari itu worth it banget menurut saya. Tiket ini sudah termasuk safari Journey,melihat sekitar 8 pertunjukan secara live, dan juga masuk ke Taman Giant Panda. Beberapa wahana permainan dan juga berfoto dengan hewan ini harus bayar lagi, ya..Tapi kalau budget kamu terbatas,sebaiknya kamu maksimalkan dengan mengunjungi semua spot live show nya saja, ini pun kemungkinan tidak bisa kamu tonton semua. Karena jam tayang yang berdekatan,sedangkan area menonton nya lumayan berjauhan 🥲
Seluruh kawasan nya terjaga baik keamanan dan kebersihannya. Fasilitas nya lengkap, kids and difabel friendly. Pastikan saja anda membawa stroller untuk anak yang kemungkinan bakal rewel karena kecapean, mengingat area mereka yang luas banget dan banyaknya spot yang tersedia. Untuk difabel dan lansia juga bisa membawa kursi roda. Jalur mereka memang menanjak, tapi cukup mulus untuk roda kendaraan ataupun stroller dan kursi roda. Banyak toilet tersedia dan cukup bersih juga nyaman. Area untuk kuliner pun banyak di setiap shelter perhentian atau tempat parkir. Hanya memang harganya lumayan pricey 😅 tapi mengingat TSI tidak melarang membawa bekal makanan sendiri, ini jadi nilai plus banget buat saya.
Sebaiknya kenakan pakaian yang nyaman dan sepatu dengan sole datar, ini sangat membantu kamu untuk bisa eksplore banyak hal tanpa ribet dengan outfit. Tips juga, bawa tas yang bisa muat banyak kalau kamu ga mau jajan.. Oh iya, jangan lupa bawa sayuran dan buah-buahan ya, supaya bisa merasakan memberi makan langsung hewan-hewan yang kamu lihat sepanjang safari Journey. Menurut saya sayur dan buah yang disuka di sana itu adalah sawi putih, timun, wortel, pisang dan semangka. Itu yg paling banyak dibawa oleh pengunjung, termasuk saya dan keluarga 😆 oke, have fun di TSI ya.. 👋"
Taman Safari Indonesia Bogor,Farah Qonitah,2 hari lalu,5 bintang,"Worth the price banget. Sekali masuk bisa banyak wahana, termasuk safari journey. Hewannya terlihat baik, semoga memang baik. Ada klinik hewannya, ada pabrik pengolah kotoran gajah, cukup lengkap. Untuk permainan, bersama anak ataupun dewasa juga banyakk, seru sekali. Pastikan untuk ke sini pagi karena kalo siang apalagi weekend bisa jadi penuh dan antri masuk. Trus pulangnya kena macet. Sangat menyenangkan! Bikin mau balik lagi hihi"
Taman Safari Indonesia Bogor,Lia Marlianita,2 minggu lalu,5 bintang,"Datang jam 9, supaya puas menikmati wahana wisata di TSI.

seru kasih makan hewannya, dan jangan lupa beli wortel, banyak dijual sebelum masuk taman safari, didalam TSI ga jual, selain itu banyak wahana permainan dan atraksi/show, ada cerita di setiap pertunjukan

Ikuti rambu dan petunjuk dan juga larangan, agar perjalanan tidak terganggu atau kita malah yang mengganggu karena terlalu lama di satwa tertentu, dengan maksud bergantian dengan yang lain, biasanya di tegur bergantian sama guide nya.

parkiran sangat banyak dan luas, kurang lebih ada 8 titik parkir, dari bawah sampai atas.. banyak toilet dan mushola di setiap sudut, bawa makan dan minuman sendiri biar lebih hemat krn makanan di resto Rainforest area memang agak pricey & bikin shock, untungnya rasa tidak mengecewakan

lokasi istana panda dipuncak bukit, naik shuttle bus untuk mencapai lokasi, jalannya sangat terjal menanjak namun saat sampai di lokasi semua terobati dengan keindahan pemandangan di istana panda, udaranya sejuk dan cuaca berkabut

Cermati jadwal feeding yg tertera di leaflet yang diberikan saat di loket tiket masuk

Sangat puas bisa liburan disini krn semua pengalaman bermain bisa di dapat, Memang ga cukup sehari kl mau akses semua area saking luasnya"
Taman Safari Indonesia Bogor,Hargono Setiadi,seminggu lalu,5 bintang,"Sengaja berkunjung hari Senin dgn harapan agak sepi, ternyata tetap ramai 😅
Mungkin karena masih libur lebaran dan ada promo.
Dari Bdg jl. Ters Jakarta pukul 06.30 kena macet di Pasteur, baru bisa lewat gerbang Tol 07.30an
Tiba di Gerbang Taman Safari sekitar pukul 09.30 ternyata sdh ckp banyak kendaraan yg ngantri.
Safarinya sangat seru, asyik sekali memberi makan ke hewan² yg ada."
Taman Safari Indonesia Bogor,Hernu Sulistyo,sebulan lalu,5 bintang,"Penuh wahana permainan keluarga yang sangat menarik...

Ada cerita di setiap action pertunjukannya...

Parkir sangat banyak dan luas. Terbagi ke dalam beberapa titik kantong parkir dari bawah sampai atas.

Makan siang jangan khawatir, banyak tersedia pilihan menu yang sangat menarik.

The new update : RED PANDA

Lokasi Istana Panda sangat indah di puncak bukit. Perlu naik shuttle bus untuk mencapai lokasi. Jalanan yang sangat terjal menanjak, namun ketika sampai di lokasi semua terobati dengan keindahan Istana Panda.
Ada 3 lantai istana panda.
Lt 1 = souvenir
Lt.2 = Red Panda
Lt. 3 = Edukasi Panda"
Taman Safari Indonesia Bogor,Wawan Herdiansyah,seminggu lalu,5 bintang,"Recommended banget untuk anak2 , edukatif, anak juga senang bahagia, binatangnya komplit permainan juga komplit.
Di weekend penuh banget, toilet penuh, tempat parkir penuh luar biasa pengunjungnya.
Alhamdulillaah anak puas dengan liburannya"
Taman Safari Indonesia Bogor,Wahyudin Wah,seminggu lalu,5 bintang,"Taman safari terbesar di Indonesia dengan koleksi hewan yang dilindungi sangat banyak. Tempatnya sangat luas di area perbukitan desa Cisarua, Bogor.
Pelayanan sangat baik dan ramah. Terdapat banyak sekali wahana menarik buat pengunjung. Recommended."
Taman Safari Indonesia Bogor,Mutia Sari Agustina,1 hari lalu,4 bintang,"Bagus untuk edukasi tentang binatang dan banyak juga tempat untuk rekreasinya. Tempatnya luas banget dan adem.
Saran aja kalau habis safari journey mendingan naik kendaraan wara wiri aja yg dari taman safari aja bayar 25rb bisa seharian keliling, jadi gak ribet cari parkir kendaraan lagi.
Dan buat taman safari mungkin kalau untuk show binatang tertentu di jaga juga, jangan udah mulai tp penonton masih masuk terus sampai penuh jadinya binatangnya gak fokus."
Taman Safari Indonesia Bogor,Hendry Putra Rahadi,seminggu lalu,5 bintang,"tidak terlalu penuh di hari kerja, sebelum masuk banyak penjual wortel, beli aja 50ribu dapet 10 iket bisa buat kasih makan hewan di safari journey.

setelah dari safari journey bisa ke parkiran E untuk naik shelter bus ke istana panda.

disarankan kesini jam 11 agar dapat menjelajah keseluruh wahana,

setelah dari istana panda bisa ke parkiran C, disitu banyak hewan2 reptil dan primata

untuk makanan tidak rekomended beli popmie, karena harganya mahal sekali 35k

mending bawa makan dari luar sebelum masuk safari"
