location_name,name,date,rating,review_text
Taman Bunga Nusantara,Titan,5 hari lalu,5 bintang,"Tempat luas wlpun keliling ga begitu cape. Tapi untuk tempat main anak sudah agak usang dan tua, semoga ada peremajaan. Tiket masuk plus mobil keliling per org 60.000 untuk thx 2024.

Bisa piknik, untuk pernikahan, arisan, kumpul keluarga. Ada area piknik untuk bawa makanan dan gelar tiker / alas (bawa sendiri).

Parkir luas."
Taman Bunga Nusantara,Hermawan Suryadi,seminggu lalu,4 bintang,"Salahsatunya taman bunga terbesar di Indonesia dan luas areanya didaerah Cipanas Puncak Jawa Barat.
Banyak tanaman bunga dan pohon yang umurnya mencapai puluhan tahun serta jenis tanaman sangat beraneka ragam.
Favorit salah satu tempat di area Taman Bunga Nusantara ini adalah Taman "" Ni Honen"", Taman ala Lingkungan daerah Jepang yang sangat sangat asri dan idaman banget.
Pohon bonsai cemaranya sangat artistik dan teduh sekali.
Terimakasih Bu Tien Soeharto yang telah membuat Taman Bunga Nusantara ini dan semoga menjadikan amal ibadah serta buat kemaslahatan masyarakat dan wisatawan."
Taman Bunga Nusantara,Nuri Riani,2 bulan lalu,5 bintang,"Sepi sekarang yaa, apa krna dateng pas bukan weekend. Untuk permainannya cuma kreta aja yg jalan. Harganya mahal euy, 50rb perorg gratis tanaman. Tapi untuk kebun bunganya masih terrawat, bersih fasilitas umum seperti mushola dan toilet juga bersih. Cocok untuk yang ingin suasana alam. Jasa foto disini murah, di print 20 rb 1 lembar."
Taman Bunga Nusantara,Nadya Bastianto,3 minggu lalu,5 bintang,"Bagus tamannya, cuma saran aja kalo mau kesini bawa stroler jalannya sedikit susah soalnya paving semua. Semoga dibenerin oleh pengelola biar jalannya makin bagus/diperbaiki jalur khusus stroler dan kursi roda nya"
Taman Bunga Nusantara,Faiq Rosyadi,2 bulan lalu,5 bintang,"Tempat adem sejuk,bagi yg suka bunga2 cocok ini mah... berkunjung pas hr sabtu libur nasional(imlek) tidak terlalu ramai...boleh dikatakan malah sepi. Tiket 50rb/orang parkir 10rb untuk motor..cukup wort it lah"
Taman Bunga Nusantara,Stella Margaret Immanuella,4 bulan lalu,5 bintang,"Tiket masuk 50rb utk WNI. Areanya sangat luas dan cukup terawat dengan baik. Ada bagian french flower seperti bunga lavender, area kebun mawar dg berbagai mawar. Dari mawar putih,kuning,pink, merah.

Selain kebun bunga terdapat:
- wahana labirin
- area piknik
- gazebo di dekat danau buatan
- air mancur menari
- wara wiri (semacam kereta kecil) utk dapat mengelilingi area taman. Biayanya 25rb/org.
- banyak disediakan kursi2, jd bs istirahat sebentar kalau cape jalan.
- wahana permainan yg berbayar, cocok utk yg bawa anak kecil
- taman jepang, berisi tanaman bonzai serta gazebo khas jepang

Overall, menarik utk dikunjungi apabila berkunjung di sekitar puncak."
Taman Bunga Nusantara,Sherly Cesilia,2 minggu lalu,5 bintang,"Wisata indah,pepohonan & bunga ditata rapi sedap dipandang mata dgn latar bukit"" nan hijau,area parkir luas,toilet bersih karyawan warawiri ramah🌻🌹🍀"
Taman Bunga Nusantara,paula kouyou,4 bulan lalu,4 bintang,"Datang di hari senin sangat puas si buat liat keragaman bunga dan taman nya . Tapi untuk makan banyak yang tutup karna tidak terlalu ramai . Kalau gak naik mobil wara wiri gak akan tau kalau luas nya mncapai 35 hektar bisa gempor jalan kaki . Suka banget sama Taman Mawar nya . Ada Alam imajinasi nya suka banget buat yang kesana kudu banget wajib cobain naik kereta nya, itu ngelewatin jalanan kaya di dongeng, kita berasa kaya kurcaci . Seru banget. Sangat rekomended buat anak. Ada naik kuda, banyak deh permainan nya seru . Tapi kalau hujan repot
Aku kasih bintang 4 ya karna menurut masih perlu banyak di bagusin lagi taman ini, karna masih sepi banget pemandangan nya . Tapi unik ada patung"" tanaman besar"
Taman Bunga Nusantara,Affandi Fauzan Syawal,5 bulan lalu,5 bintang,"Asri dan bersih, untuk taman Jepang saran agar bangunannya identik dgn warna merah dan penanaman bunga tabebuya. Parkir motor 10.000 (flat). Tiket 50.000/org"
Taman Bunga Nusantara,Albert Sebastian,3 bulan lalu,5 bintang,"Tempat yang menyajikan pemandangan taman yang bagus dan variatif. Tidak pernah mengecewakan datang kesini. Sangat asik untuk sekedar jalan-jalan menikmati pemandangan taman bunga.

Harga Tiket masuk masih dalam kategori terjangkau (50rb rupiah per orang). Mobil untuk berkeliling seharga (20rb). Taman masih dalam kondisi tertata dan terawat secara reguler.

Menurut petugas disana, taman sedang dalam masa penanaman saat saya datang. Masa penanaman ulang tersebut rutin dilakukan setiap 3 bulan sekali.
jadi bulan terbaik buat mengunjungi Taman Bunga Nusantara adalah 1-2 bulan setelah penanaman, dan pada musim panas, karena bunganya akan mekar lebih sempurna
yaitu pada: Mei-Juni dan Agustus-September"
