location_name,name,date,rating,review_text
Candi Prambanan,suwarso doang,seminggu lalu,5 bintang,"Salah satu candi terbesar di Indonesia, rutin, di komplek ini biasa ditampilkan sendratari Ramayana. Kompleks lainnya selain bangunan candi adalah lokasi bumi perkemahan Rama Shinta. Dilengkapi kamar mandi, WC, serta Padang rumput yg sejuk. Untuk bangunan utama candi bisa dinikmati dari berbagai sudut... berikut sudut kejauhan dalam suasana pagi, siang dan malam..."
Candi Prambanan,Michell Debbie FT,4 hari lalu,5 bintang,"Bagus, tiket dewasa 50, anak 25, dibawah 3thn blm dihitung. Ada toilet lumayan bersih wajib bawa payung sih kesini sama stok minum karna haussss bgt terik jgn lupa bawa sunscreen"
Candi Prambanan,Rizal Doank,6 hari lalu,5 bintang,"Salah satu wisata edukasi di wilayah sekitar yogyakarta, candi dan tempat ibadah agama hindu masa lalu sekaligus salah satu tempat wisata wajib kunjung kalo ke yogyakarta. Kawasannya bagus l, hanya saja belum sempurna dalam hal penataan, kawasan megah dan bagus, namun ada beberapa prasarana yang tidak menjadi perhatian petugas, toilet yang sangat kotor dan tidak terawat, fasilitas rusak dan berbau, kawasan berpasir yang berdampak pada polusi bagi pengunjung. Kawasan wisata yang bagus namun perlu untuk diperbaiki manajemen dalam hal perawatan dan prasarana pentingnya"
Candi Prambanan,Hartarto Junaedi,5 hari lalu,5 bintang,"Salah satu candi yang ada di indonesia. Candi utama berupa candi Hindu. Di halaman utama terdapat 3 candi utama yaitu candi brahma. Siwa dan Wisnu. Candi terbesar adalah Siwa. Di dalam candi Siwa selain terdapat patung Siwa juga terdapat Ganesha dan betari durga (yang orang3 sebut atau hubungkan dgn legenda roro jongrang) selain 3 candi utama terdapat 3 candi hewan tunggakan yaitu angsa, sapi dan garuda. Serta 2 candi apit. Halaman 2 terdapat reruntuhan candi yang belum direstorasi. Selain itu di komplek yang sama juga terdapat candi Budha candi Sewu, candi Bubrah. Selain kita bisa menikmati hebatnya budaya kita nusantara kita bisa menikmati kegiatan seperti naik sepeda listrik, memanah, memberi makan rusa. Jadi cocok untuk keluarga."
Candi Prambanan,Matt Azmar,seminggu lalu,5 bintang,"Ke candi Prambanan otomatis kita akan belajar tentang sejarah, bisa melihat relief2 pada candi atau menyaksikan suguhan proses pemugaran candi. Selain itu bisa juga hunting foto, krn di prambanan banyak banget spot spot foto yg instagramable dari setiap sudut atau dr sisi manapun dr candi ini."
Candi Prambanan,Rahmat H,6 hari lalu,5 bintang,"Tempat wisata yg rekomended kalau ke Jogja. Candi nya luar biasa. Selain Prambanan, juga ada candi sewu dll. Tempatnya bersih, pengelolaannya bagus.

Harga tiket 50 rb dewasa, anak2 25 rb. Ada juga sewa suttle atau golf Car 200 rb max 6 org. Kita diantar keliling2 lokasi candi. Kereen pokoknya."
Candi Prambanan,Nur Hanifah,sebulan lalu,5 bintang,"Candi Prambanan terletak dekat denna kota Yogyakarta, saya menempuh 15-20 menit dengan Bus.
……………………………..…………………..
Ketika Anda memasuki Roka Ramen suasananya ramai oleh tourist dari berbagai macam, tourist lokal (rombongan sekolah), tourist korea, jepang, eropa, dll. Ada tempat parkir yang di atur sesuai janis kendaraanya. Sebelum masuk ke tempat pembelian tiket ada tulisan besar Candi Prambanan bisa menjadi icon pilihan untuk berfoto. Banyak penyewa payung untuk di sewakan selama kita berkeliling di Candi Prambanan. Saya menyewanya dan itu sansat bermanfaat (hati-hati angin berhembus kencang walau udara panas)
……………………………..…………………..
Setelah masuk membeli tiket, anda akan diarahkan untuk pengambilan gelang lala dipasangkan dan di arahkan masuk ke lokasi prambanan, anda membutuhkan perjalanan kaki sekitar 3-5 kilo meter sebelum benar-benar ke bangunan candinya, namun ada beberapa pilihan alternatif (Buggy, scooter dll yang di bayar terpisah).
……………………………..…………………..
Lokasinya bersih, saya tidak menemukan sampah hingga jalan menuju pintu keluar, dan menemukan toko menjual air mineral juga oleh-oleh (souvenir) khas Yogyakarta yang mural-murah."
Candi Prambanan,_indruwchuy,seminggu lalu,5 bintang,"Candi Prambanan adalah bangunan candi bercorak agama Hindu terbesar di Indonesia yang dibangun pada abad ke-9 Masehi. Candi yang juga disebut sebagai Rara Jonggrang ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu dewa Brahma sebagai dewa pencipta, dewa Wisnu sebagai dewa pemelihara, dan dewa Siwa sebagai dewa pemusnah."
Candi Prambanan,Ariyanda666,3 minggu lalu,5 bintang,"Situs peninggalan kerajaan mataram kuno dengan corak Hindu yang kental.
Datang jam 2 siang rasanya behh mantap pollll wkwkw panas brooo. saran aja kalo mau kesini mending bawa payung atau pake topi dan pakai lengan panjang biar ga belang tangannya wkwk.
HTM 50k untuk dewasa dan 25k untuk anak umur 0-10 tahun.
Sangat senang bisa melihat warisan budaya Indonesia dari dekat, semoga tetap lestari selamanya."
Candi Prambanan,Yulia Dwi Handayani,3 minggu lalu,5 bintang,"Datang jam 3 sore, masih ramai, tapi tidak padat. Beli tiket bisa via online, bisa beli di tempat.
Untuk candinya bisa naik ke atas, tapi ada batas maksimal berapa orang yang bisa naik.
Jika ingin pakai jasa pemandu wisata bisa, ada tambahan bayar lagi.
Setelah dari candi ada beberapa permainan yang bisa dimainkan, seperti memanah, naik sepeda gantung, dll. Ada juga kegiatan memberi makan rusa.
Keluar area candi ada banyak pedagang yang menawarkan souvenir dll.
Toilet cukup bersih, tapi baunya tidak sedap.
Siapka topi, jangan lupa sunscreen, karena panas cuacanya."
