location_name,name,date,rating,review_text
Gunung Merbabu,Muhammad Rafi Abdusyukur,2 minggu lalu,5 bintang,"“Gunung dengan Sabana terindah di Pulau Jawa” rupanya bukan titel belaka. Pasti bakal bertemu lagi nanti, Merbabu."
Gunung Merbabu,bonita santi,2 bulan lalu,5 bintang,"Amazing view 😍kami daftar via selo dan naik di jalur gancik. Alhamdulillah aman.
Terima kasih merbabu atas keindahanmu dan hujan yang kau teteskan untuk memyambut kedatangan kami …"
Gunung Merbabu,Nina nura,2 minggu lalu,5 bintang,"Tracknya enak banget sampe kebawa mimpi, terimakasih merbabu im in love"
Gunung Merbabu,reviyanti ambarsari,2 bulan lalu,5 bintang,"Gunung merbabu via Selo, Untuk view nya baggguss Banget Masya Allah Qadarullah Wlaupun mens gak terjadi hal2 yg Aneh2, walupun kepleset 2x"
Gunung Merbabu,Annisa Roudlotul Jannah,7 bulan lalu,5 bintang,"Pendakian via Suwanting👊🏻💯

Jalur full nanjak dan full debu. Gaada bonus2 nya sama sekali karena waktu naik dan turun full kabut, tapi masyaAllah jdi adem.

Estimasi naik kemarin kami tempuh selama 7 jam, dan 1 jam istirahat di pos 2. Adapun estimasi dari pos 3 (camp area Suwanting) ke Puncak Triangulasi ditempuh 2,5 jam. Dan perjalanan turun sampai ke Basecamp kami tempuh 5 jam. Mantap deh⁉️〽️

Gunung 3000+ mdpl dengan view Sabana yang indah, disertai lautan awan… masyAllah🍃⛰️"
Gunung Merbabu,Wawan Byl,6 bulan lalu,5 bintang,"Gunung yang perlu dikunjungi selain Gunung Merapi. Gunung ini lokasinya di Propinsi Jawa Tengah. Bisa memulai pendakian dari Boyolali, lewat Selo. Akses ke awal pendakian sudah bagus dari sisi jalan raya menuju ke sini. Pemandangannya bagus, bisa melihat awan dan matahari dari dekat. Oh ya Gunung Merapi terlihat lebih menarik ketika kita melihatnya dari Gunung Merbabu ini. Jangan lupa untuk tidak membuang sampah sembarangan, supaya tidak mengotori lingkungan dan merusak keindahan alam yang di mana obyek ini juga banyak dikunjungi turis dari luar negeri."
Gunung Merbabu,Rotu Harun,8 bulan lalu,5 bintang,"Salah satu gunung 3000 Mdpl Jawa Tengah yang menyuguhkan keindahan yang Luar Biasa. Ada beberapa jalur untuk mendaki gunung merbabu , namun jalur yang paling di sukai dan memiliki view yang indah adalah Jalur Suwanting & Selo. Best experience ever"
Gunung Merbabu,Tri Utomo,setahun lalu,5 bintang,"Gunung yang terletak di Jawa tengah, yang memiliki beberapa pintu pendakian seperti Selo, suwanting dan wekas, untuk pendaki pemula biasa menggunakan jalur selo, untuk jalur terpanjang bisa lewat suwanting dan tercepat via wekas, pada gunung Merbabu terdapat beberapa puncak, yaitu puncak kenteng songo, TRIANGULASI dan puncak Syarif, dari puncak kita dapat melihat beberapa gunung seperti yang terdekat yaitu gunung merapi, lalu bisa melihat gunung Sindoro, sumbing. Waktu yang dihabiskan untuk mencapai puncak sekitar 8 jam, namun para pendaki biasa ngecamp di pos 3, dan pos 4 sebelum menuju puncak, untuk jalurnya di dominasi trek menanjak."
Gunung Merbabu,Nisbah Gabilla Assegaf,5 bulan lalu,5 bintang,"MasyaAllah indah memang merbabu via selo. Tidak cocok untuk pendaki pemula menurut saya ya.
Medannya berdebu ketika sedang musim panas, tidak ada sumber mata air maka dari itu harus bawa cukup air. Selamat menikmati indahnya Merbabu ☺"
Gunung Merbabu,Ihsan Nugroho,7 bulan lalu,5 bintang,"Salah satu gunung 3000 mdpl yang memiliki view atau pemandangan yang sangat indah, mulai dari sabana dan lautan awan nya, saya naik melalui jalur selo, kalau dilihat jalurnya kurang cocok pemula tetapi bisa dicoba sesuai fisik masing masing, karena memang jarang sekali landai nya, jika kemarau full debu dan jika hujan akan licin, menurut saya lebih enak mendaki saat week day karna saat weekend sangat ramai, pengecekan sampah juga samgat bagus"
Gunung Merbabu,Hilmy Budhi Nugraha,8 bulan lalu,5 bintang,"Gunung Merbabu, yang terletak di provinsi Jawa Tengah, Indonesia, merupakan salah satu destinasi pendakian favorit di kalangan para pecinta alam. Dikenal dengan keindahan sabananya, gunung dengan ketinggian 3.145 meter di atas permukaan laut ini menawarkan panorama alam yang memukau, serta menjadi tantangan menarik bagi para pendaki.

Pada saat mendaki saya memilih jalur via Selo yang memiliki medan yang bervariasi, dan memiliki keindahan alam yang menajubkan, namun di satu sisi di jalur ini tidak memiliki sumber mata air, sehingga mengharuskan kita untuk membawa setidaknya lebih dari 4,5 liter/orang.

Keindahan alam yang menjadi daya tarik utama dari Gunung Merbabu terletak pada sabananya. Hamparan rumput hijau yang membentang seakan membawa kita ke dunia yang jauh dari hiruk-pikuk kota. Hamparan sabana yang memikat ini menjadi tujuan favorit para pendaki untuk beristirahat, menikmati pemandangan, ataupun bermalam."
Gunung Merbabu,Rizal Tri s,9 bulan lalu,5 bintang,"Gunung yg mempunyai ketinggian Diatas 3000 Mdpl...
Pemandangan yg sangat indah.
Diatas puncak kita bisa melihat gunung gunung lain, seperti gunung ungaran, merapi ,sindoro, sumbing dan lawu"
Gunung Merbabu,Unar Unar,2 bulan lalu,3 bintang,Pemandangan yg sangat bagus mantap
Gunung Merbabu,Sony Warsono,8 bulan lalu,5 bintang,"Gunung Merbabu merupakan salah satu gunung berapi aktif di Jawa Tengah. Gunung ini memiliki ketinggian 3.145 meter di atas permukaan laut dan terletak di perbatasan antara Kabupaten Magelang dan Kabupaten Boyolali.

Jalur Selo adalah salah satu jalur pendakian Gunung Merbabu yang paling populer. Jalur ini memiliki panjang sekitar 14 kilometer dan memiliki ketinggian sekitar 2.900 meter di atas permukaan laut. Jalur ini cocok untuk pendaki pemula karena memiliki trek yang relatif landai dan tidak terlalu curam.

Pendakian Gunung Merbabu lewat jalur Selo biasanya dimulai dari Desa Selo, Kecamatan Selo, Kabupaten Boyolali. Dari Desa Selo, pendaki akan melewati beberapa pos pendakian, yaitu:

Pos 1: Pos ini terletak di Dusun Selorejo, Desa Selo, Kecamatan Selo, Kabupaten Boyolali.

Pos 2: Pos ini terletak di Dusun Selorejo, Desa Selo, Kecamatan Selo, Kabupaten Boyolali.

Pos 3: Pos ini terletak di Dusun Selorejo, Desa Selo, Kecamatan Selo, Kabupaten Boyolali.

Pos 4: Pos ini terletak di Dusun Selorejo, Desa Selo, Kecamatan Selo, Kabupaten Boyolali.

Pos 5: Pos ini terletak di Dusun Selorejo, Desa Selo, Kecamatan Selo, Kabupaten Boyolali.

Puncak Kenteng Songo: Puncak ini terletak di ketinggian 3.142 meter di atas permukaan laut.

Pendakian Gunung Merbabu lewat jalur Selo biasanya memakan waktu sekitar 7-8 jam. Jalur ini memiliki trek yang relatif landai dan tidak terlalu curam, sehingga cocok untuk pendaki pemula. Namun, pendaki tetap harus berhati-hati karena jalur ini memiliki beberapa jalur yang licin dan berbahaya.

Berikut adalah cerita pendakian Gunung Merbabu lewat jalur Selo yang saya alami:

Bbrp waktu lalu, saya dan teman-teman saya mendaki Gunung Merbabu lewat jalur Selo. Kami berangkat dari Bandung untuk sejenak istirahat selama 2 hari di Yogya dan mengeksplore pantai2 di Selatan Yogya. Sebelum melanjutkan rencana pendakian hari berikutny.

Setelah makan siang, kami memulai pendakian dari Pos 1. Pemandangan di sekitar pos ini sangat indah. Kami dapat melihat Gunung Merapi dan Gunung Merbabu yang berdiri kokoh di kejauhan.

Kami berjalan dengan santai dan menikmati pemandangan di sekitar kami. Kami juga bertemu dengan beberapa pendaki lain yang sedang mendaki Gunung Merbabu.

Pada pukul 18.00 WIB, kami tiba di Pos 4. Kami memutuskan untuk bermalam di pos ini. Kami mendirikan tenda dan memasak makanan untuk makan malam.

Pagi harinya, kami melanjutkan pendakian ke Puncak Kenteng Songo. Kami berangkat dari Pos 4 pada pukul 03.30 WIB.

Pendakian ke Puncak Kenteng Songo tidak terlalu sulit. Kami tiba di puncak pada pukul 05:30 WIB.

Pemandangan dari Puncak Kenteng Songo sangat indah. Kami dapat melihat Gunung Merapi, Gunung Merbabu, Gunung Sindoro, dan Gunung Sumbing.

Kami menghabiskan waktu sekitar 1 jam di puncak. Kemudian, kami turun dari puncak dan kembali ke Desa Selo.

Kami tiba di Desa Selo pada pukul 12.00 WIB. Kami merasa puas dan senang telah berhasil mendaki Gunung Merbabu.

Berikut adalah beberapa tips untuk pendakian Gunung Merbabu lewat jalur Selo:

Pastikan kondisi fisik Anda fit. Gunung Merbabu memiliki ketinggian 3.145 meter di atas permukaan laut, sehingga pendakian membutuhkan stamina yang prima. Sebelum mendaki, sebaiknya lakukan latihan fisik secara rutin, seperti lari, jalan kaki, atau bersepeda.

Pelajari jalur pendakian. Jalur Selo memiliki panjang sekitar 14 kilometer dan memiliki ketinggian sekitar 2.900 meter di atas permukaan laut. Jalur ini cocok untuk pendaki pemula karena memiliki trek yang relatif landai dan tidak terlalu curam. Namun, pendaki tetap harus berhati-hati karena jalur ini memiliki beberapa jalur yang licin dan berbahaya.

Siapkan perlengkapan pendakian yang lengkap. Perlengkapan pendakian yang lengkap akan membuat pendakian Anda menjadi lebih nyaman dan aman. Perlengkapan yang harus disiapkan antara lain:

Tas carrier
Sepatu hiking
Jaket tebal
Senter
Kompas
Kupluk
Peluit
Perlengkapan P3K
Makanan dan minuman
Uang tunai

Lakukan registrasi di pos perizinan. Pengunjung yang ingin mendaki Gunung Merbabu harus melakukan registrasi di pos perizinan yang terletak di Desa Selo"
