location_name,name,date,rating,review_text
Ketep Pass Magelang,DEW “Miaw”,2 minggu lalu,5 bintang,"Jaman SMP pernah studytour ke sini, sekarang udah kerja alhamdulillah bisa balik lagi ke Ketep, masih ada lho bioskop nya yang setia menggunakan video jaman dulu hihi, tempatnya bersih dan terawat. Videonya diputar berkali2 setiap hari jadi jangan khawatir ketinggalan bioskop, ada tiket tambahan untuk bioskop Rp10.000/orang ya, bayar di depan bioskopnya.

Suasananya adem, asri, nyaman pokoknya. Saran sih dateng pagi-pagi ya, karena saya sampai jam 9.30 merapi sudah tertutup awan dan kabut, jam 10.00an sudah full kabut turun. Walau begitu, tidak mengurangi kenyamanan di Ketep.

Ada banyak jajanan sekarang, mulai dari indomie dan gorengan di saung-saung, sampai ada resto dengan live musik.

Jalan ke Ketep waktu itu pakai PCX, bawa baju dalam jok motor, berdua, alhamdulillah kuat nanjak dan aman turunnya. Tapi tetap hati-hati yaa.. ✨️

Petugas dan orang-orang di sana mashaAllahh ramah

Ada mushola juga yang mau sholat di Ketep ✨️

Cocok untuk liburan bersama keluarga, sejenak menghijau kan pandangan mata dan mendinginkan badan 💞"
Ketep Pass Magelang,defti juniarza,seminggu lalu,5 bintang,"Bagus pemandangannya, masuk bayar 10 rb per orang, nanti mau nonton film tentang merapi bayar 10 rb, mau foto di skywalk bayar 10 rb. Tp ga bayar juga ga pa2 cukup foto2 di sekitarannya udah cantik.
Banyak makanan ada juga jualan salah pondoh, sayur mayur, pisang, tempe mendoan dan cinderamata, harga ga mahal."
Ketep Pass Magelang,Afifah Nur I,seminggu lalu,3 bintang,"buat yang pengen liat gunung tapi nggak pengen terlalu naik ya di sini, tapi sayangnya nggak ada informasi tentang fasilitasnya dan ada bayar parkir tapi nggak ada orang yang mengarahkan/merapikan tempat parkir motor.

ternyata di sini kali pake teropomg sewa lagi 10 rb, melihat film merapi bayar lagi 10 rb, mau naik ke menara yang tinggi biar dapet viewnya bayar lagi 10 rb wkwk saya kira dengan masuk motor bayar 16 rb itu semua ternyata tidakk jadi minimal bawa buged 50 rb ya ke sinii tapi belum sama jajan2 atau makan di sini jugaa..

kebetulan pas saya ke sini ada pipa bocor atau apalah dan bikin tanah diatasnya ambrol ke bawah karena kena air dari pipa wah saya pikir ini safetynya gimna ya dan tanahnya longsor ke jalan yang dipakai sama pengunjung sampai warung makan yang dibawah juga ikut terdampak syukurlah pas longsor nggak ada yang sedang lewat.. pengelola bisa banget buat lebih dicek secara berkala keselamatan dan keamanan fasilitasnya ya..

banyak juga warung yang nggak terawat terlihat dibiarkan bergitu saja padahal kalau dikembangkan dan dirawat menjadi gazebo gratis buat piknik kecil-kecilan bagus juga...

alhamdulillahhnya ya tiket masuk 16 rb sudah include sama museum volcanonya jadi mayan lahh itung-itung masih menikmati fasilitas yang lain kalo emang nggak include bisa dijelasin saat htm masuk biar jelas... dengan harga 16 rb buat bayar masuk, parkir tapi parkir sendiri, sama masuk museum merapinya... kalo mobil atau mini bus kurang tau ya bayarnya berapa apakah kalo berbanyak orang tambah murah atau engga 👍"
Ketep Pass Magelang,avi dwi gustianto,seminggu lalu,5 bintang,"Tempat rekreasi keluarga dan wisata edukasi tentang kegunung apian merapi yang cukup terjangkau biayanya.
Dengan fasilitas lain yang cukup memadai seperti toilet, parkir yang luas,d an ruang bersantai untuk keluarga.

Semoga bisa diupdate untuk film dokumenter tentang kegunung apian merapi, agar disesuaikan dengan kondisi terbaru tentang gunung merapi."
Ketep Pass Magelang,Dhana Maharani,4 minggu lalu,5 bintang,"Bagi yg suka menikmati pemandangan dari atas ketinggian, it's definitely recommended! 😍😍😍
So refreshing.
Bisa melihat pemandangan gunung dan langit yg cerah, ditambah angin sepoi-sepoi benar-benar memuaskan 🥰

Tiket masuknya sangat terjangkau.
Jangan lewatkan area Menara Langit seharga Rp10.000,00 saja karena dari sini bisa melihat pemandangan 360°.
Ada jasa foto juga seharga Rp3.000,00 per satu file foto yg nanti dikirim ke HP.

Setelah puas menikmati pemandangan dan foto2, bisa menikmati cokelat ketep pass atau pisang goreng dan tempe mendoan yg enakkk di dekat area parkir.

Selamat berlibur!"
Ketep Pass Magelang,Pinkan Suci,2 hari lalu,5 bintang,"Wisata edukasi tentang gunung berapi di sawangan kab magelang
Harga tiket masuk + museum 12.500, beli 4 tiket ternyata bocil 4 thn gak dihitung jadi cuma bayar 3 aja, alhamdulillah
Parkir motor di luar harga 3.000, untuk mobil bayar parkir sekalian di loket tiket
Kesana pas kabut jd gunung nya gak terlihat, so kita lihat film dokumenter gunung merapi, harga tiket 10.000, lagi2 anak bontot gak dihitung, jadi bayar 3 untuk 4 kursi
Ada spot foto yg tema nya ketinggian dan jembatan kaca, tapi kita gak kesana, udah takut ketinggian duluan 😆
Ada sewa mobil jeep tapi kita cuma lihatin doang soal nya udah pernah di tempat wisata lain nyobain naek
Jajanan harga standar wisata, gak terlalu mahal"
Ketep Pass Magelang,Han Kharis Widyananda,3 minggu lalu,4 bintang,"Hari Selasa, 22 April 2024 lalu saya berkunjung ke tempat ini. Rute yang ditempuh utk sampai ke Ketep Pass sungguh menantang. Disarankan memakai motor dan mobil kecil sekelas LCGC. Medan mengasyikkan karena banyak kelokan. Lalu ada turunan dan tanjakan yang membuat kita harus benar-benar konsentrasi. View kanan kiri bisa dibilang memanjakan mata. Ladang yang hijau, dan kabut yang turun membayar impas perjalanan menuju ke sana. Ketep Pass adalah tempat yang memiliki potensi sangat besar. Sangat disayangkan jika tidak dioptimalkan dengan baik. Contoh, kondisi museum vulkanik yang perlu dirawat lagi. Lokasi penjaja makanan di bawah yang perlu ditata agar lebih rapi dan teratur. Toilet sudah cukup memadai, posisinya ada di luar gedung dan di dalam gedung. Ada beberapa spot foto yang cukup instagramable. Area parkir luas, untuk motor dan mobil pribadi atau rombongan wisatawan yang menggunakan bus. Lokasi sudah cukup bersih. Petugas tiket masuk melayani dengan ramah. Mungkin bisa disediakan satu petugas di dalam gedung museum vulkanik untuk menjadi tur guide. Kesimpulan, salah satu destinasi wisata di Kab. Magelang yang layak dicoba. Mari berkunjung dan menghidupkan UMKM setempat. See ya!"
Ketep Pass Magelang,Ani Ekade,sebulan lalu,5 bintang,"Lokasinya mudah dijangkau.
HTM = Ro.10500/orang hari biasa, Rp.12500/orang hari libur/ week end.
Untuk naik ke menara langit, ada HTM lagi Rp.10.000/orang.
Parkir sepeda motor Rp.3000, parkir mobil Rp.5000.
Jangan lewatkan untuk naik ke menara langit ya, di sini pemandangannya indah sekali, bisa melihat gunung Merapi dan Merbabu dengan jelas di satu sisi dan Sindoro Sumbing di sisi yang lain. Anda bisa berphoto di sini sepuasnya.
Di Ketep pass juga tersedia museum volcano bagi yang tertarik."
Ketep Pass Magelang,DWI KRISTIYANTO,2 bulan lalu,5 bintang,"Perdana maen kesini, jalan berkelok wajib hati2 untuk pengendara yang pertama kali jalan ke arah sini, untungnya jalan mulus semua.
Disini dapat liat view 2 gunung utama yaitu merapi dan merbabu, ada spot foto foto terbaik. Atau gunakan jasa tukang foto 3 ribu sekali jepret.. Dipilih aja yg terbaik fotonya, karena langsung dapat dicek di HP langsung.
Liat juga film tentang merapi.. Maksimalkan waktunya agar tidak sia sia..
Jajanan juga relatif normal harganya.."
Ketep Pass Magelang,Eka Wahyu,2 minggu lalu,5 bintang,"Tiket masuk Rp. 12.500/org klo weekend. Tempat parkir luas. Banyak warung di depan gerbang masuk lokasi.

Tempatnya bagus, luas, bersih, rekomend bgt buat ngajak keluarga. Selain pemandangannya yg bagus, tempat ini juga memperkenalkan Informasi gunung merapi pada saat meletus.

Di dalam tempat ini, ada juga semacam resto yg menyediakan berbagai makanan dan juga minuman. Selain itu terdapat mini bioskop dan tempat selfie."
Ketep Pass Magelang,Julkaini julfa,2 minggu lalu,5 bintang,"Tempat memandang gunung merapi yang paling bagus viewnya dari sini kita bisa melihat merapi dari arah magelang
Fasilitas nya cukup lengkap ada Mushola, cafe, warung, toilet dah parkiran yang cukup memadai
Bisa juga nonton film tentang gunung merapi
16 April 2024
Pengujung dari IKN-Kaltim Samarinda."
Ketep Pass Magelang,Bhe bhe es,3 minggu lalu,4 bintang,"View point di Ketep Pass, untuk masuk perlu bayar tiket Rp 10 rb, di tempat ini juga terdapat menara pandang 360°, untuk masuk ke menara perlu bayar lagi Rp 10 rb. Tersedia area parkir, jika penuh akan diarahkan di pinggir jalan. Akses jalan sudah bagus, tapi jalan menanjak tajam."
Ketep Pass Magelang,Alex Santosa,sebulan lalu,4 bintang,"Adem dan indah pemandangan dari atas gunung. Kalau weekend, pasti macet dan parkiran penuh. Disekitarnya banyak jual jagung bakar, strawberry, mi ayam bakso. Harga2 makanan didalam tempat wisata masih rrlatif murah kok."
