location_name,name,date,rating,review_text
Lawang Sewu,M Nasir,seminggu lalu,5 bintang,"Tidak pernah bosan berkunjung ke tempat ini, nuansa klasik dan mistik masih tetap terasa. Harga tiket masuk pengnjung dewasa Rp. 40.000 tempat nya bersih dan juga nyaman, bisa mencoba foto dengan berbagai properti dan pakaian yang bisa …"
Lawang Sewu,Irine Kurniawati Hartono,2 minggu lalu,5 bintang,"Baru pertama x kesini, karena berawal tertarik dg tontonan immersive sejarah nya lawang sewu, cocok untuk pembelajaran anak. …"
Lawang Sewu,nim ano,5 hari lalu,5 bintang,"Tempat nya bener² historical, lengkap banget sejarah perkereta api an, ada penjual jajanan juga guys terus ada pusat oleh² Laseko dan ada potho costume juga guys jadi kalian bisa sewa baju mulai dari tema noni² belanda, kejepang²an sampe ke tema jawa, seru recomended guys"
Lawang Sewu,fathan Hail,seminggu lalu,5 bintang,"Salah satu Gedung bersejarah di kota tercinta ""Semarang"",di area taman banyak kuliner, ada live music'nya juga, satu lagi disediakan persewaan otoped listrik,, anak jadi betah, kesan Horor hilang seketika."
Lawang Sewu,Eri Widyarti,6 hari lalu,4 bintang,"Ada beberapa bangunan lama era kolonial Belanda, sebagai awal perkantoran PT KAI , tempatnya bersih, petugas ramah, sudah tidak terlihat angker, untuk spot foto bagus banget"
Lawang Sewu,Muhammad Ridwan,seminggu lalu,4 bintang,"salah satu tempat wisata yg sudah dibangun sejak zaman penjajahan.
Lawang Sewu ini tempatnya bagus, bersih dan luas. banyak dijumpai kucing2 jinak yg sepertinya tinggal di area Lawang Sewu. Di dlm juga terdapat bazar umkm dan …"
Lawang Sewu,Clarisa Adinda,3 minggu lalu,5 bintang,"this was my very first time going to Lawang Sewu!

tiket masuk 20k untuk dewasa, 15k untuk anak anak. saya prefer untuk sewa guide …"
Lawang Sewu,Hasnah Rachmayani,seminggu lalu,5 bintang,Awalnya iseng tapi ternyata sekarang ada ruang video baru ttg sejarah KAI! Hanya tambah 5rb dari tiket masuk (utk dewasa dari 20 jd 25rb). Videonya sebentar tapi animasinya sangat menarik dan diputar di ruang immersive shg jadi pengalaman baru. Pemandu juga sangat ramah dan insightful.
Lawang Sewu,Susi Chan,6 hari lalu,5 bintang,"Lawang sewu baguss banget pas malam hari, ada live music nya. Minus nya agak horor (bagi yang peka/sensitif) tapi baguss banget serius. Semarang panas, untung ada yang jual es jeruk peras."
Lawang Sewu,Dewi Setio Putri,sebulan lalu,4 bintang,kebetulan hari itu kesini hari minggu dan ada acara disana. suasananya lumayan ramai tapi nggak yang padet banget. kalau mau muterin areanya sih bakal kerasa kalo capek karena dia dua lantai tapi ada beberapa bagian yang ditutup dan tidak …
Lawang Sewu,Aries Hape,6 hari lalu,5 bintang,"Menelusuri jejak heritage Semarang..
Penuh kenangan, vintage, dan sedikit mistis..
Tiket masuk 20 K utk dewasa itu terhitung cukup mahal untuk DTW dalam kota. …"
Lawang Sewu,Eni Suwanti,6 hari lalu,4 bintang,"Tempat nya bagus.... Penuh dg sejarah. Tp sayang.... Parkir mobil ja 20 000 pas hbs lebaran kali ya. Blum stiker nya 5000. Trllu tinggi utk parkir nya... Bikin bad mood. Lau tempat wistanya sih ok.... Bagus utk blajar sejarah ttg per kereta apian.... Gedung station kereta api lama, bntuk gerbong lama, sejarah dll....."
Lawang Sewu,S. Auliana,2 bulan lalu,5 bintang,"Pelayanan di loketnya cepet, harga tiketnya 20rb untuk dewasa, 10rb untuk anak anak. Kalo mau pengalaman nya lebih seru dan ada yang fotoin kalian selama momen disana juga bisa banget loh sewa tour guide harganya 100rb per tour guide untuk …"
Lawang Sewu,ria dini,4 bulan lalu,5 bintang,"Asiiikk akhirnya keturutan kesini juga, sdh diincar beberapa tahun lamanya. Yg katanya terkesan horor trnyata tidak sama sekali, krna dtg di siang hari dan bareng dg banyak rombongan, tiket masuk per jan'24 weekend  utk dewasa 20.000, untuk …"
Lawang Sewu,Dicky Widodo,seminggu lalu,5 bintang,"Berkunjung sekitar jam 10an cuaca saat itu terik puanas pool untung sdh bawa air minum olesin bodylotion juga, kios2 makanan minuman tersedia didalam,tour guide ramah2."
Lawang Sewu,Mega Nuraini,sebulan lalu,5 bintang,"Kapan lagi ke semarang tapi mendung dan hujan-hujan? Engga seserem yg dibayangkan padahal baru pertama kali ke sini. Cuman emang better pake tour guide deh, biar ngga kesasar dan paham harus kemana dulu. Tiket masuk kalo ngga salah 20ribu."
Lawang Sewu,Nurul Inabah,seminggu lalu,5 bintang,"Salah satu ikon tempat wisata di semarang. Bangunnya menyimpan sejarah, luas dan bersih. Petugasnya ramah."
Lawang Sewu,wisnu amin,3 minggu lalu,5 bintang,"Panas..
Jadi bila berkunjung ketempat ini disiang hari, jangan lupa bawa minuman dingin dan payung. …"
Lawang Sewu,Ulfi Nurohmianingsih,4 bulan lalu,5 bintang,"Ke Lawang Sewu malam Minggu. Loket tiket masuk hanya buka sampai jam 8 malam saja, dan untuk pengunjung dikasih waktu sampai jam 9 malam sj. Di dlm juga ada tenda² jajanan dan live music. Banyak spot foto yg bagus dan tentunya ga begitu ramai ketika kesini malam hari."
Lawang Sewu,Christin Hutapea,3 hari lalu,5 bintang,Bagus untuk belajar sejarah kereta di Indonesia dan foto-foto. Harga tiket masuk terjangkau.
Lawang Sewu,wike wm,4 bulan lalu,4 bintang,"Tempatnya bagus, selain banyak spot foto2 juga ada unsur edukasi sejarah. HTM juga murah, 20rb dewasa dan 10rb anak2 (dan pelajar SD -SMA). Saat kami datang, di pelataran ada penyanyi live yang memainkan musik slow yang sangat pas menemani …"
Lawang Sewu,Sri Lestari Iskandar,3 bulan lalu,3 bintang,"Bangunan yang bersejarah dan sumber ilmu pengetahuan, namun perlu estetik dalam pemanfaatannya. Biarkan seluruh bagian gedung apa adanya...bukan malah dipakai tenant bisnis....jika akan mengoptimalkan nilai ekonomisnya buatlah di area …"
Lawang Sewu,Kirana Dipta,sebulan lalu,5 bintang,"Berkunjung ke Lawang Sewu jadi agenda wajib kalau ke Semarang, bangunannya apik dan kesan kuno sangat kental, lingkungan bersih, rapi, dan terjaga,.. tiket terjangkau di 20rbu, parkir mobil ada di sebelah area luar Lawang Sewu,.. kalau siang terasa panas namun pemandangannya bagus"
