location_name,name,date,rating,review_text
Masjid Agung Demak,Azhary Ramadhan,sebulan lalu,5 bintang,"Masjid nyaman dengan nilai religi yang sangat kental. Akses mudah sekali dan tepat berada di depan alun-alun, banyak sekali jajanan dan tempat bersantai. Interior Masjid bagus dan nyaman sekali untuk ibadah, tempat wudhu dan toilet sangat bersih dan baik."
Masjid Agung Demak,BAHARI,4 bulan lalu,4 bintang,"Masjid agung demak, salah satu icon wisata di kota demak, berada di depan alun alun kota demak, masjid dengan arsitektur yang unik dengan kubah berbentuk limas, sangat cantik dan keren, di dalam ada makan raden fatah, dan juga ada museum berisi sejarah masjid demak dan beberapa barang antik"
Masjid Agung Demak,Wiwik Afiefah,2 bulan lalu,5 bintang,"Masjid lawas yg dibangun oleh Raden Patah.. Tempat berkumpulnya walisongo saat mensyiarkan islam.
Masjid bersejarah dekat alun alun Demak yg masih terpelihara dg baik."
Masjid Agung Demak,Febrian Nanda,3 bulan lalu,5 bintang,"Tempat wudhu cukup nampung 50Org,Kamar Mandi Ada 10 ( Wc Jungkok atau Duduk),Bersih dan wangi,Didalam Makam Ada toilet dan tempat wudhu terbatas.

Tlg Tata tertib nya buang sampah yg berkunjung ditempatnya"
Masjid Agung Demak,Agung Ribowo,4 bulan lalu,5 bintang,"Area masjid agung Demak. Lokasi di depan alun-alun Demak. Tempat bersejarah untuk agama Islam. Merupakan salah satu pusat penyebaran agama Islam di pulau jawa. Kesultanan Demak terkenal masa kejayaan hingga ke Nusantara. Banyak tokoh penting yang di makamkan pada area pemakaman masjid agung Demak. Tempat ini selalu ramai dikunjungi oleh wisatawan sekedar untuk bertamasya maupun ziarah di makam para sultan dan tokoh penting lainnya pada kesultanan Demak.

Di lokasi selain tempat ibadah, ada juga museum, alun-alun di depan masjid. Komplek pemakaman tokoh penting dan sebagainya. Banyak terlibat bisnis di sekitar lokasi. Memberikan dampak positif bagi masyarakat sekitar yang memiliki usaha. Berjualan makanan, oleh-oleh, maupun pernak pernik lainnya."
Masjid Agung Demak,Afdhal,5 bulan lalu,5 bintang,"Posisi persis dekat alun-alun Demak, bisa shalat lima waktu dengan nyaman.
Area tempat wudhu baru beres direnovasi (Nov 2023), ada museum juga depan mesjid.
Arsitektur mesjid khas mesjid Jawa bagian tengah, area beranda mesjid luas, jadi banyak yang tidur2an pas siang, hiasan lampu2 lamanya juga masih ada.
Parkir mobil disini pakai karcis, jadi kerasa lebih resmi aja. Depan mesjid banyak orang jualan jajanan. Belakang mesjid terlihat banyak makam, cuma gak tau makam siapa"
Masjid Agung Demak,nok yupa,seminggu lalu,5 bintang,Zaroh makam raden patah...mmpir solat magrib sekalian d masjid agung demak
Masjid Agung Demak,Atien Susanto,3 bulan lalu,5 bintang,"Pengalaman pertama salat di salah satu masjid tertua di Indonesia. Bangunannya luar biasa keren, karya Sunan Kalijaga. Masjidnya bersih, rapi. Semoga dimudahkan untuk dapat mengunjungi masjid2 terbaik lainnya 💖"
Masjid Agung Demak,Hendri 1306,2 hari lalu,5 bintang,"masjidnya sangat luas, tempatnya nyaman, adem, bersih, banyak tempat wudhu"
Masjid Agung Demak,Muhammad Raafi,4 bulan lalu,5 bintang,"Pas ke kudus mampir kesini malam hari, lokasi dekat dengan alun-alun jadi ramai orang. Ada Museumnya juga, tempat wudhu bagus dan bersih, didalam Masjid rasanya adem enak sama wangi."
Masjid Agung Demak,Mohammad Arridho Nur Amin,3 bulan lalu,5 bintang,"Salah satu wisata religi yang ada di Demak, namun pemilihan keramik di luar masjid membuat silau dan terasa lebih panas."
