location_name,name,date,rating,review_text
Air Terjun Coban Rondo Pujon,Maria Tandoro,3 hari lalu,5 bintang,"Air terjunnya Tjakep abis.. adem asri, tinggi, dari tempat parkir ke air terjun dekett.. cocok untuk kaum jompo tapi pengen liat dan foto di air terjun hehe.. kalau musim penghujan airnya cenderung coklat dan alirannya deras jadi ga dianjurkan main air. Kalau ingin main air mungkin bisa berkunjung di musim panas. Ada wahana seperti maze, tembak jitu dan panahan di spot sebelum jalan ke air terjun, sudah include di bayar tiket masuk.. tapi untuk main ada beberapa yang bayar. Hawa suejuk banget"
Air Terjun Coban Rondo Pujon,L154 Yn,5 hari lalu,5 bintang,Air terjun nya indah banget. View disekitarnya juga keren banget. Suka sekali liburan ke coban rondo. Ada macem macem wahana juga. Kali ini kita stay inn di palawi coban rondo jadi htm nya include di harga hotel nya. Keren lah pokoknya ...
Air Terjun Coban Rondo Pujon,Bhe bhe es,3 bulan lalu,4 bintang,"Salah satu air terjun tertinggi di Batu, masuk loket retribusi sengaja minta gelang merah, 25 rb per orang, tiket untuk ke air terjun saja, bukan gelang biru untuk tiket terusan yang 40 rb per orang. Plus tiket parkir mobil. Jalan ke lokasi dari pintu loket sudah beraspal, sempit berkelok dan naik turun, melewati kawasan hutan pinus, tapi bis besar masih bisa lewat karena jalan masuk dan keluar terpisah tidak perlu khawatir berpapasan. Area parkir luas, suasana dan pemandangannya amazing, airnya bisa terasa sangat dingin sekali. Udaranya sejuk dan refreshing. Jika beruntung datang pagi bisa menjumpai kawanan monyet yang masih banyak berkeliaran. Tersedia toilet dan mushola yang bersih, juga deretan kios pedagang makanan minuman, dan oleh oleh, dengan harga yang bersahabat. Tersedia wahana permainan di dekat pintu tiket, bagi membeli tiket terusan. Ada wahana panahan, ATV, flying fox, dan berkuda. Ada taman labirin juga."
Air Terjun Coban Rondo Pujon,Tiara Pratiwi,seminggu lalu,5 bintang,"tracknya bagus, g sampai nanjak2 bgt, cocok buat yg uda jompo
g bs main di bwh air terjunnya tp ada sungai kecil di sampingnya bisa buat main air, dingin bgt airnya"
Air Terjun Coban Rondo Pujon,Okta Fidiya,2 bulan lalu,3 bintang,"Agak kaget tiket masuknya 40rb/orang, hari Minggu tanggal 18/02/2024
Ternyata setelah baca² review google maps tiket tsb untuk tiket terusan padahal pengennya ke air terjun saja harusnya petugas menawari dulu mau tiket yang 25k atau yang terusan 40k.
Saran saja untuk pengelola-nya lebih bijak lagi jangan mentang2 weekend dan banyak orang datang dari luar kota jadi ambil untung banyak dan semua pengunjung dikasih tiket terusan yang harganya hampir 2x lipat dari tiket masuk air terjun.

Untuk view air terjunnya lumayan, suasana disana juga sejuk.
Kalau musim hujan sekitar jam 11 jam 12an sudah hujan, tapi ada tempat persewaan payung dengan membayar 10k."
Air Terjun Coban Rondo Pujon,Dhanial Multazam,4 bulan lalu,5 bintang,"Harga tiket terusan 40k dan parkir 5k. Wisata air terjun yang ramah pejalan kaki jadi cocok buat liburan keluarga yang membawa orang tua dan anak kecil. Suasananya asri, banyak penjual makanan dan oleh-oleh. Gratis wahana permainan labirin, memanah, paint ball, dan sepeda gunung. Pemandangannya bagus. Parkirannya luas."
Air Terjun Coban Rondo Pujon,Wahyu Kurniawan,3 bulan lalu,5 bintang,"Salah satu air terjun di Malang yang mudah di akses. Jalanan menuju lokasi lebar dan beraspal mulus. Parkirnya juga luas .

Dari parkiran menuju air terjun jalan kaki kurang lebih sepuluh menitan dah sampai. Medan yg dilalui tidak begitu susah dan curam . Tidak ada naik turun puluhan anak tangga jadi kalau bawa anak masih aman lah ya.

Cobanrondo yang sekarang tidak hanya ada air terjun, makin banyak fasilitas permainan yg bisa kita nikmati saat berada disini. Beberapa diantaranya yg saya tau ada flying fox, memanah, labirin , ATV , kuda, dll."
Air Terjun Coban Rondo Pujon,Suryani Yani,4 minggu lalu,5 bintang,"Air terjun yg indah sejuk dingin , banyak warung . Tempatnya luas, tiket terusan: air terjun , panahan, dan labirin..
Puas banget main kesini😍😍
Aq kesini naik Grabcar tapi ngga bisa pulang karena ngga ada sinyal, ada wifi tapi sinyal nya lemah. Untung ada bapa2 penjaga yg baik hati dia call tmn nya untuk antar kita plg ke penginapan. Deg2 an takut ngga bisa pulang 😂😂
Aq dari majalengka jabar , liburan tahun baru 2024 di kota batu 🥰"
Air Terjun Coban Rondo Pujon,Dini Saraswati,3 bulan lalu,4 bintang,"Pertama kali kesini pas akhir tahun, fasilitasnya banyak, tapi beberapa sedang diperbaiki. Untuk akses jalan sudah bagus, tiket masuk juga terusan. Untuk wahana juga sudah oke, tpi pas kesana petik strawberrynya lagi tutup. Kaya nya sudah habis di kebun.. jadi nya cuma ke air terjun,, cafee dan nikmati pemandangan aja sudah bisa healing.."
Air Terjun Coban Rondo Pujon,Aisyah Rosiana,2 bulan lalu,4 bintang,"Rame bgt, coco untuk keluarga, fasilitas di sii juga lumayan lengkap, ada kamar mandi, tempat makan, mushola. Airny dingin bgt, sejuk.
Jarak parkir kendaraan ke air terjunny g lumyan jauh, tanjakanya g terlalu terjal."
Air Terjun Coban Rondo Pujon,Esthi Wijaya,2 minggu lalu,5 bintang,"Adem bangeeettt suasananya sukaaaa...
Camp bisa ga sih? 😭😭😭
Katanya kl angin kenceng, jarak 10m bisa basah.. 🥺🥺
Untung kmrn anteng..
Yg dr masuk, jajanan, anjing penjaga, sampe kursi2 udah banyak posting di sini, jd bingung mo ngepost apaan 😁

Kayaknya seru kl kesana motoran itu mah.. 😙😙"
Air Terjun Coban Rondo Pujon,Tentang Madura92,2 bulan lalu,5 bintang,Fasilitas yang lumayan lengkap buat liburan keluarga. HTM yang terjangkau serta wahana yang sesuai cocok buat yang ingin melepaskan rasa penak. Udaranya segar pemandangan hijau. Oya buat camping sangat cocok apalagi pemula.
Air Terjun Coban Rondo Pujon,Eka Damayanti,seminggu lalu,5 bintang,"Pemandangan indah, Sejuk dan asri.. lokasi sangat tertata rapih, toilet bersih, pada air terjun ada rantai batas pengunjung untuk menjaga keselamatan wisatawan..ada bbrp papan informasi.. banyak spot foto yang menarik...tiket masuk untuk 2 orang + parkir 90k saat weekend..kebetulan kesana Karna ada acara di wisma palawi, jadi gratis...katanya air terjun ini yang tertinggi di malang.. sangat rekomended untuk berlibur bersama keluarga"
Air Terjun Coban Rondo Pujon,Devi Ardelia,4 bulan lalu,5 bintang,"Pertama kali kesini dan bagus banget pemandangannya. Jadi tiket masuk per org itu 40rb, ditambah karcis parkir utk mobil 10rb.
Utk tiket terusan harga 40 itu kita bs naik sepeda gunung, masuk labirin, panahan sama paint ball.. Venue antara wahana2 itu sama air terjun nya terpisah. Dari pintu masuk menuju ke air terjun nya masih sekitar 3.5 kiloan.
Pas kemarin kesana, untung nya kita menuju ke air terjun dulu baru ke arena mainan nya jadi nggak terlalu rame."
Air Terjun Coban Rondo Pujon,Widya Prajna,2 bulan lalu,5 bintang,"Areanya bersih, nyaman, hijau. Terkelola dengan baik. Banyak wahana mainan juga, atv, flying fox, panahan, menembak, taman labirin, berkuda, sepedaan. Cocok buat jalan jalan keluarga bawa anak anak maupun pasangan. Ada kafe juga yang buka sampe malam dan camping ground."
Air Terjun Coban Rondo Pujon,Selly Irmawati,5 bulan lalu,4 bintang,"Untuk jalan menuju ke coban rondo sudah di aspal
Untuk tiket nya pas saya kesitu dikasi terusan 40rb parkir 5rb motor
Terus free 4 wahana tapi aku nyoba cuma 1 yaitu panahan ga mampu buat labirin nya wkwkw
Jarak coban rondo sama wahananya 2kg an ya
Harga makan&minuman standar wisata"" Pada umumnya
Disini cocok buat refresing sii kalau lagi suntuk lagi badmood lagi galau tapi gak boleh neko  neko yaa
Hawanya masih sejuk adem dan dingin banget apalagi ditambah dengan suasana suara"" Burung dan pohon pohon hijau
Untuk mitos/fakta jika bawa pasangan  kesitu putus itu gimana ya ada yang percaya atau ga sii?
Disediakan mushola&toilet juga"
Air Terjun Coban Rondo Pujon,Tri Subekti,2 minggu lalu,5 bintang,"Salah satu air terjun tertinggi dimalang. Tempat sejuk, airnya dingin, banyak spot foto / permainan selain air terjun cocok untuk melepas penat."
Air Terjun Coban Rondo Pujon,Zii Raff,3 bulan lalu,5 bintang,"Air terjun yang indah dengan akses yang mudah menuju ke lokasi air terjunnya, tempatnya bersih dengan fasilitas yang memadai.

Tiket masuknya
Rp 35.000 hari biasa
Rp 40.000 hari libur nasional
Parkir Rp5000 kendaraan roda 2

Tiket masuknya mendapatkan bonus ke :
Labirin coban rondo
Memanah
Air soft gun"
Air Terjun Coban Rondo Pujon,Efita Dian Fitriyah,sebulan lalu,5 bintang,"Suasana alam yg sejuk, dari tempat penjualan tiket masih jauh melewati hutan pinus.. Tiket masuk 40rb/orang sudah bisa menikmati keindahan air terjun, bermain di labirin, bermain panahan, paint ball, dll.. Parkir luas, banyak kios oleh2 dan jajanan juga.. Fasilitas toilet, mushola juga ada dan cukup bersih.."
Air Terjun Coban Rondo Pujon,Dzalik Muslim,2 hari lalu,4 bintang,"Suasana masih asri, sejuk, air dingin seperti es. Untuk toilet depan harusnya di bersihkan dan dirawat karena sudah usang. Lain2 masih bagus, untuk mushola karpet nya harusnya ada perawatan atau diganti sih"
Air Terjun Coban Rondo Pujon,Pebri Alpath,4 bulan lalu,5 bintang,"Kemaren kesini dpt harga tiketnya 35rb per orang, udh mencakup semua akses ke Air Terjunnya, wahana bermain Labirin, Flying Fox, Memanah dll.
Jujur worth it bgt dan ga nyesel pernah ke Coban Rondo, yg bikin seneng lagi itu tempatnya bersih."
Air Terjun Coban Rondo Pujon,My Kinara,3 bulan lalu,5 bintang,"Tempatnya bagus, cukup jalan kaki 5 menit udah sampai air terjunnya ga perlu tracking, kids friendly, sejuk dan airnya masih bersih"
Air Terjun Coban Rondo Pujon,yayat yayat,3 minggu lalu,5 bintang,Bgs tempatbya air terjunnya tdk terlalu jauh jalannya dengan parkiran mobil. Tiket masuk murah dan bersih sera bgs pemandanganya
Air Terjun Coban Rondo Pujon,Nosa Aghisna,sebulan lalu,4 bintang,"Salah satu destinasi wisata terkenal di Malang. Lingkungannya masih alami dan kental dengan hawa dingin pegunungan. Cocok buat mahasiswa (esp smt akhir maybe) yg pengin healing dan menjernihkan pikiran.
Tiket masuk terbilang standar untuk ukuran destinasi wisata terkenal. Parkir luas tapi cukup jauh dari lokasi air terjun, jadi harus jalan kaki yg lumayan menguras tenaga. Ada mushola, ada toilet, ada warung makan dan jajan juga di sekitar destinasi. Terus ada monyetttt, tp ga nakal keknya.

Overall oke buat pengalaman as mahasiswa rantau yg suka main ke sana sini."
Air Terjun Coban Rondo Pujon,sugiarsih bintoro,4 bulan lalu,4 bintang,"Salah satu objek wisata alam di kawasan Batu
Akses nya mudah, dan sudah dikelola dengan baik.
Pada saat kesana suasananya tidak begitu ramai.
Fasilitas cukup lengkap ada musholla, toilet, dan beberapa warung jajan/makan
Air terjun nya bagus, dibawah nya ada aliran sungai kecil jadi anak2 bisa turun sbntar main air,karena memang akses ke air terjun nya dibatasi dengan rantai."
