location_name,name,date,rating,review_text
Gunung Semeru,Adit Pena,4 bulan lalu,5 bintang,"Tempat dengan pemandangan yang sangat menakjubkan. Selain hijau, tempat ini juga cocok untuk pendaki menyatu dengan alam sekitar. Dengan oksigen yang bersih, tempat ini cocok untuk menambah adrenalin sekaligus melihat luasnya alam yang terbentang di Indonesia."
Gunung Semeru,Antonius Adianto,3 bulan lalu,5 bintang,"Juni 2018
Via Ranu Pane

(+)
- Pemandangan yang sangat indah
- Trek cukup landai sampai ke Ranu Kumbolo
- Sumber air aman
- Ada yang jual semangka
- Pendakian 3 hari 2 malam, summit yang melelahkan, better persiapan fisik yang baik sebelum ke Semeru.

(-)
Banyak ranjau kotoran manusia yang cuma ditutupin tissue, terutama di Kalimati. Tolong lebih bijak lah kalo mau berak atau buang sampah organik minimal gali tanah dulu, masa kalah sama kucing yang kalo berak aja gali tanah.

Recomended!"
Gunung Semeru,Semeton Adventure,11 bulan lalu,5 bintang,"Pengalaman yang tak terlupakan thn 2021 H -4 Lebaran. Perjalanan ke atap pulau Jawa. Dari awal rumah sampai selesai pendakian penuh dg tantangan .

Awal susah cari kendaraan untuk menuju BC dan ketika sudah sampai BC ada lagi masalah gak boleh ganti nama di simaksi ah ribet lah . Lalu kita nekat dah tu jalan meskipun temen kita satu gk bisa naik dan akhirnya memaksa naik. Apalagi saat itu pas bulan suci Ramadhan .Lapar ,lesu capek , apalagi pas di pos liat orang jualan 🍉 Ya Allah cobaan apalagi ini. Tapi,semua terbayarkan melihat indahnya Ranu Kumbolo . Kesampaian juga buka puasa di Ranu Kumbolo.

Habis buka langsung perut mules. Untungnya ada toilet di situ, Alhamdulillah. Dan esoknya kita lanjut ke kalimati.baru sampai Cemoro Kandang Ada lagi orang jualan 🍉 dan GORENGAN . ya Allah kuatkan kami, Wkwkwkkwkw. Dan perjalanan pun dilanjutkan sampai Jambangan untung disitu gak ada orang jualan jadi gak kegoda 😂. Dan akhirnya Sampai di Kalimati campur aduk. Antara bangga dan menakjubkan melihat gagahnya puncak Mahameru. Meskipun batas aman sampai kalimati. Tetapi seakan terpanggil melihat gagahnya Mahameru.

Dan summits attack pun dilakukan. Tak lupa di trek setelah Cemoro tunggal saya meneguk air dan 🍞 untuk sahur dan perjalanan kami lanjutkan. Alhamdulillah sampai puncak tanpa halangan sama sekali. Dan Alhamdulillah puasa masih terjaga sampai pendakian selesai turun ke ranupani. meskipun ketika turun dari Summits Trek sangat kehausan apalagi pas sampai rumah muka dan bibir pada ganti kulit wkwkwkwk. Gokil dah pokoknya kaya ular 🐍 ganti kulit wkwkwkwk.

Segitu dulu ya ceritanya pendakian waktu puasa ke Semeru......"
Gunung Semeru,Wayfarer World,setahun lalu,5 bintang,"setelah saya lulus kuliah dari UGM di tahun 2021, saya ingin mendapatkan reward atas pencapaian saya. saya pun memutuskan untuk mendaki ke Gunung Semeru. gunung tertinggi di Pulau Jawa. sudah sejak SMP saya ingin mendaki gunung ini dan terinspirasi cerita dari teman-teman. dan ketika saya mendaki gunung ini langsung, banyak experience tak terlupakan dari gunung ini. salah satu yang saya ingat justru adalah banyaknya warga yang berjualan selama saya melakukan pendakian. mereka berjualan di setiap pos pendakian, dan bahkan tidak hanya di pos pendakian, melainkan juga di area lain di gunung ini. pemandangan di gunung ini memang tidak perlu diragukan lagi. pasti sudah banyak foto yang beredar di internet. tapi saya akan membagikan sedikit foto yang saya abadikan menggunakan hape saya. di akhir, saya juga berhasil mencapai titik tertinggi di Pulau Jawa. senang sekali"
Gunung Semeru,aghan raafiud,2 tahun lalu,5 bintang,"Selain menjadi gunung tertinggi ternyata gunung Semeru juga menyajikan pemandangan puncak gunung yang sangatlah indah. Dengan demikian tentunya akan membuat setiap pendaki akan merasa lebih puas ketika sudah sampai di puncak gunung tersebut. Oleh karena itu, tak heran apabila sebagian besar pendaki sangat senang mengunjungi gunung tertinggi di pulau Jawa yang satu ini."
Gunung Semeru,Dian,setahun lalu,5 bintang,"Danau yang berada di atas gunung Semeru dengan puncak Mahameru tertinggi di pulau Jawa, bernama danau Ranukumbolo.
Menyimpan sejuta keindahan yang harus di tempuh dengan perjalanan panjang, menguras fisik dan emosi.
Bisa merasakan salju di Indonesia (suhu rendah di atas gunung mengubah embun menjadi es) saat di luar tenda
Di balik bukit bisa menyaksikan matahari terbit serta menikmati indahnya hamparan binatang, bulan, galaksi bima sakti saat malam hari yang jauh dari gemerlap cahaya perkotaan."
Gunung Semeru,Ekspedisi kentang,4 tahun lalu,5 bintang,"Gunung Semeru atau Gunung Meru adalah sebuah gunung berapi kerucut di Jawa Timur,Indonesia. Gunung Semeru merupakan gunung tertinggi di Pulau Jawa, dengan puncaknya Mahameru, 3.676 meter dari permukaan laut (mdpl). Gunung Semeru juga merupakan gunung berapi tertinggi ketiga di Indonesia setelah Gunung Kerinci di Sumatradan Gunung Rinjani di Nusa Tenggara Barat[1]. Kawah di puncak Gunung Semeru dikenal dengan nama Jonggring Saloko. Gunung Semeru secara administratif termasuk dalam wilayah dua kabupaten, yakni Kabupaten Malang dan Kabupaten Lumajang, ProvinsiJawa Timur. Gunung ini termasuk dalam kawasan Taman Nasional Bromo Tengger Semeru.
Diperlukan waktu sekitar empat hari untuk mendaki puncak gunung Semeru pergi-pulang. Untuk mendaki gunung dapat ditempuh lewat kota Malang atau Lumajang. Dari terminal Kota Malang naik angkutan umum menuju desa Tumpang. Disambung lagi dengan jeep atau truk/pickup yang banyak terdapat di belakang pasar terminal Tumpang dengan biaya per orang Rp60.000,00 - Rp100.000,0 hingga Pos Ranu Pani.

Sebelumnya mampir di Gubugklakah untuk memperoleh surat izin, dengan perincian, biaya surat izin Rp6.000,00 untuk maksimal 10 orang, karcis masuk taman Rp2.000,00 per orang, asuransi per orang Rp2.000,00 (perkiraan biaya sudah termasuk transportasi jip atau truk sayuran).

Dengan menggunakan truk sayuran atau jip perjalanan dimulai dari Tumpang menuju Ranu Pani, desa terakhir di kaki Semeru. Adapun dari arah Lumajang dapat dijangkau dengan menggunakan kendaraan pribadi atau naik ojek di sekitar pasar Senduro menuju ke Pos Ranu Pani.

Di sini terdapat pos pemeriksaan, terdapat juga warung dan pondok penginapan. Setiap orang yang ingin melakukan pendakian dikenakan biaya Rp17.500 per orang per hari untuk hari biasa, dan Rp22.500 per orang per hari untuk hari libur. Di pos ini pun dapat mencari portir (warga lokal untuk membantu menunjukkan arah pendakian, mengangkat barang dan memasak). Pendaki juga dapat bermalam di pos penjagaan. Di pos Ranu Pani juga terdapat dua buah danau yakni Ranu Pani (1 ha) dan Ranu Regulo (0,75 ha) yang terletak pada ketinggian 2.200 mdpl.

Setelah sampai di gapura ""Selamat Datang"", perjalanan berlanjut terus ke kiri ke arah bukit, tetapi jangan mengikuti jalanan yang lebar ke arah kebun penduduk. Selain jalur yang biasa dilewati para pendaki, juga ada jalur pintas yang biasa dipakai para pendaki lokal, tetapi jalur ini sangat curam.

Jalur awal landai, menyusuri lereng bukit yang didominasi dengan tumbuhan alang-alang. Tidak ada tanda penunjuk arah jalan, tetapi terdapat tanda ukuran jarak pada setiap 100 m. Banyak terdapat pohon tumbang, dan ranting-ranting di atas kepala.

Setelah berjalan sekitar 5 km menyusuri lereng bukit yang banyak ditumbuhi bungaedelweis, lalu akan sampai di Watu Rejeng. Di sini terdapat batu terjal yang sangat indah. Pemandangan sangat indah ke arah lembah dan bukit-bukit, yang ditumbuhi hutan cemaradan pinus. Kadangkala dapat menyaksikan kepulan asap dari puncak Semeru. Untuk menuju Ranu Kumbolo masih harus menempuh jarak sekitar 4,5 km.

Di Ranu Kumbolo dapat didirikan tenda. Juga terdapat pondok pendaki (shelter). Terdapat danau dengan air yang bersih dan memiliki pemandangan indah terutama di pagi hari dapat menyaksikan matahari terbit disela-sela bukit. Banyak terdapat ikan, kadang burungbelibis liar. Ranu Kumbolo berada pada ketinggian 2.400 m dengan luas 14 ha.

Dari Ranu Kumbolo sebaiknya menyiapkan air sebanyak mungkin. Meninggalkan Ranu Kumbolo kemudian mendaki bukit terjal, dengan pemandangan yang sangat indah di belakang ke arah danau. Di depan bukit terbentang padang rumput yang luas yang dinamakan oro-oro ombo. Oro-oro ombo dikelilingi bukit dan gunung dengan pemandangan yang sangat indah, padang rumput luas dengan lereng yang ditumbuhi pohon pinus seperti di Eropa. Dari balik Gn. Kepolo tampak puncak Gn. Semeru menyemburkan asap wedus gembel."
Gunung Semeru,Ivan Permana,2 tahun lalu,5 bintang,"Gunung tertinggi di Pulau Jawa, Semeru.
Untuk kesini pastikan kondsi tubuh benar-benar prima. Fisik akan terkuras, pastikan mendaftar secara online, persiapan yg matang dan patuhi peraturan TNBTS.
Jangan melewati jalur yang tidak resmi saat mendaki, lewati jalur yang sudah ditetapkan oleh TNBTS."
Gunung Semeru,nina wibi,4 tahun lalu,5 bintang,"Luar Biasa ciptaan Sang Kuasa. Perjalanan bisa ditempuh dari kota Malang melewati Tumpang. Jalan cukup menanjak dan dibeberapa titik ada yang berbatu batu alias rusak. Bagi pengguna motor harap hati hati. Pendaftaran mendaki dilakukan online. Hanya online. Pos pendakian dibuka pukul 8 pagi. Ada briefing oleh aktivis disana dan wajib diperhatikan ya. Dilarang membawa tissue basah, parang dan sejenisnya, dan spidol. Wajib sleeping bag, tenda sesuai kapasitas, dan perbekalan pastinya. Sangat disarankan menginap semalan di ranu pane. Ada aula disana. Bisa tidur dulu disana supaya dapat menyesuaikan diri dengan suhu dingin. Sekarang batas jaminan asuransi hanya sebatas kalimati. Ada 4 pos pendakian yang masing masing sudah bagus sudah ada penjual gorengan, buah buahan, minuman, madu, dan cemilan lain. Ada ponten ala kadarnya di ranu kumbolo dan kalimati. Di ranu kumbolo sudah tidak boleh berenang, mandi, bahkan cuci muka. Jadi harus ambil air lalu dibawa agak jauh ke daratan. Sangat disarankan untuk bermalam di ranu kumbolo sebelum menuju kalimati kalau memang ingin sekali ke puncak. Dari ranu kumbolo menuju kalimati tidak terlalu jauh bisa ditempuh 2 jam an. Di kali mati sumber air sekitar 15 menit perjalanan dan disarankan sebelum petang sudah selesai mengambil persediaan air. Dari kalimati ke puncak dibutuhkan sekitar 7-8 jam perjalanan bisa lebih cepat tergantung kemampuan. Medan menuju puncak adalah berpasir. Untuk menuju puncak dibutuhkan mental yang mantap, dan ingat, tujuan kita dalam pendakian adalah rumah. Puncak adalah bonus. Perhatikan kesehatan dan kemampuan. Jangan memaksakan diri. Jika melakukan pendakian sore atau mendekati malam, jangan pernah berjalan sendiri karena masih asri dengan fauna yang bertaring dan pemangsa daging 😂 (kita adalah daging segar) jangan lupa selalu awali kegiatan dengan berdoa pada Sang Kuasa."
Gunung Semeru,Loka Nando,5 tahun lalu,5 bintang,Sebelum mendaki gunung semeru saya sudah mendaki tiga gunung Di provinsi Sumatera utara. Mendaki gunung semeru merupakan salah satu impian saya yang jadi nyata. Setelah meninggalkan shelter Kali mati menuju puncak kita disajikan pendakian dalam hutan yang Naik naik dan naik. Sebelum keluar dari hutan kami melakukan istirahat Di lahan yang cukup luas dibalik tanah yang cukup tinggi dengan banyak pohon sembari berlindung diri dari hembusan angin kencang nan dingin. Setelah itu masuklah ke zona pasir menuju puncak. Diawal - awal pendakian masih semangat tanpa disadari bahwa pijakan kaki adalah pasir. Lama kelamaan baru disadar bahwa pijakan dipasir tanpa bantuan trackpole maka pijakan kita akan turun kembali. Disinilah ujian pendakian yang sebenarnya.
