location_name,name,date,rating,review_text
Gembira Loka Zoo,Anggin,2 minggu lalu,5 bintang,"HTM 60K termasuk murah sih, bisa ngajarin anak wawasan yg luas ttg satwa. Apalagi include fasilitas naik kereta dan kapal. Buat keliling 4jam aja ga cukup klo sambil ngenalin ke anak-anak. Petugasnya jga ramah"", walaupun hewan"" juga keliatan kecil"" tapi lengkap banget. Ada beberapa spot yg kurang dijamah yaitu bagian unta dan kudanil. Mungkin krn org"" sudah capek kali ya. Nostalgia bgt 20 thun lalu, waktu masih usia 3tahun beberapa spot masih ttp ada, sayang skrang udh gabisa naik gajah. Tapi bagus deh. Lebih memperlakukan hewan dg baik.

Big thanks to GL Zoo udh ngasih pengalaman yang sangat menyenangkan ini ❤️✨️"
Gembira Loka Zoo,Ayman Vami,4 hari lalu,5 bintang,"Salah satu zoo terbaik, tempatnya ternyata besar dan binatangnya banyak!

Jarak dari sangkar dan tempat jalannya pun dekat, ga kejauhan... jadi pas gitu.

Ada satu tempat khusus zona burung, jadi serasa di kerumuni burung-burung lucu.

Ada wisata pakai kapal juga, dan kalau capek jalan, ada shuttle gratisnya yang lewat setiap 15 menitan.

Cocok untuk yg bawa bayi, semua jalannya bisa dilewatin stroller.

Kalau mau menikmati semua wahana dan binatangnya, harus datang dari pagi biar puas"
Gembira Loka Zoo,bondan ariawan,seminggu lalu,5 bintang,"Mei 2024

Kesini lagi setelah hampir 20 tahun..

Parkir masuk via akses timur 5 ribu, posisi pas weekend tapi masih bisa dapet parkir dekat loket

Harga tiket 75 ribu pas weekend dan 60ribu pas weekday.. Tiket sudah termasuk kereta dan kapal (?) anak-anak tinggi dibawah 80cm masuk gratis

Begitu masuk langsung disuguhi area petting zoo (hewan2 kecil yg cocok untuk anak2 kecil) tapi kalau lihat peta jika masuk dari barat langsung dapat zona primata

Untuk mengelilingi kompleks kebun binatang ini saya membutuhkan waktu sekitar 1.5 jam atau sekitar 7500 langkah (tanpa naik kereta wisata atau kapal) dengan catatan saya berhenti sebentar dibeberapa spot saja tidak samapai mencoba zona yang masuknya berbayar

Masukan untuk pengunjung
- Jika bawa anak sebaiknya dari pagi, karena jam buka hanya sampai jam 4 jadi lebih puas
- bawa payung / mantol disposabel karena cuaca tidak pasti
- Naik kereta jika kondisi badan kurang fit

Masukan untuk pengelola
- Akses turunan masih cukup curam
- Zona Unta & Kuda Nil perlu diperbaiki (menurut saya)"
Gembira Loka Zoo,Pelangi Berkisah,6 hari lalu,5 bintang,"Kebun binatang yg lumayan lengkap dan sangat memuaskan.
HTM weekdays 60rb, weekend 75rb. Worth it dg apa yg kita dapatkan disana. Hewan²nya banyak dan terawat. Ada Playground nya juga. Free naik kapal dan kereta kelinci. Lokasinya juga adem poll. Toilet dan musholla juga ada. Bisa foto dg beberapa hewan secara cuma². Bisa kasih tips seikhlasnya di kotak yg sudah disediakan. Serunya lagi ada sesi edukasi hewan mamalia dan burung yg menampilkan atraksi hewan² gemes. Paling gemes ya sama Desi si Orangutan 😅"
Gembira Loka Zoo,Teman Senyum,2 minggu lalu,5 bintang,"Kalau ke Yogyakarta bareng keluarga mending ke Gembira Loka (GL Zoo). Kebun Binatang yang fasilitasnya lengkap  (mo nangis 😭). Kebersihan di sini menjadi numero uno. Jujurly, gak pernah nemu kebun binatang yang bagus dan bersih dengan fasilitas lengkap di JABODETABEK. Yaa, walaupun harga lumayan lah 75rb tapi ada harga ada kualitas.

Hewan sehat dan terawat, ada tempat bermain anak.

Nah, yang keren dengan harga 75rb aja kita bisa naik kereta wara-wiri sepuasnya.  Lokasi antar kandang memang jauh tapi fasilitas kereta ini bisa jadi solusi. Dan lebih kerennya lagi sekua diatur dengan sangat baik dan teratur.

Kalau mau foto dan feeding gajah kudu berbayar lagi sekitar 150rb. Kalau feeding hewan ternak yg ramah anak dikenakan biaya juga 10rb kalau gak salah."
Gembira Loka Zoo,nindaarizky,2 hari lalu,5 bintang,"Selalu puas datang ke GL zoo. Walaupun kami datang selalu di hari libur nasional, tapi tetap bisa menikmati.
Beli tiket sudah free naik kapal. Better pagian sih datengnya, Krn bisa lebih leluasa. Dan bisa beli tiket interaksi gajah, dgn harga 100K sudah dapat sayur untuk makan gajah, foto cetak dan souvernir. Saat interaksi dgn gajah jg dibantu petugas untuk dokumentasi."
Gembira Loka Zoo,Anchestor Stone,sebulan lalu,5 bintang,"Kebun binatangnya luas, terlalu luas untuk dijelajahi dengan jalan kaki, tapi ada bus dan kapal yang siap mengantar secara gratis. Pas kesana speakernya kebetulan rusak, jadi education yang aves tidak pakai sound, cuma feeding saja. Yang di mamalia educator nya tetep berusaha mempresentasikan satwa tanpa speaker, dan cukup menghibur."
Gembira Loka Zoo,Bubble Baek27,3 hari lalu,5 bintang,"Harga cukup terjangkau, cocok untuk pengenalan terhadap hewan kepada anak-anak. Suasananya juga asri. Cocok untuk rekreasi bersama keluarga"
Gembira Loka Zoo,oneng o,4 hari lalu,5 bintang,Seru banget bawa anak.. dari halte pertama ke dua mendingan naik bis dlu nanti d halte kedua bisa jalan terus...byk bgt binatang nya..kita kesini pas libur lebaran jdi ada event gtu.. sayangnya udah cape karena jln dari pertama masuk JD ga ikut melukis sama main game deh..
Gembira Loka Zoo,Kvtsr,seminggu lalu,5 bintang,"mau kesini berkali2 juga ga bosen karna tempatnya luass bgt, hewannya lumayan komplitt dari unggas-buas tp sepertinya aku tidak menemukan badak&zebra yaa👀
semogaa segera ada hewan2 yang lain yg belum ada di gembiraloka zoo!!❤️❤️💥"
