location_name,name,date,rating,review_text
Taman Pintar Yogyakarta,Saloom Kholoud,2 minggu lalu,5 bintang,"Tiketnya yang untuk anak-anak dihitung sampai SMA cuma 14.000 saja tiketnya. SMA keatas baru tiketnya 24.000. Kita bisa mainn puasss dan lengkap fasilitasnya. Plus pengetahuannya mantappp siiih. Bersihhh juga masyaallah. Btw dlu aku lebih lengkap sii cuman uda lamaa kesananya tahun 2017. Sekarang mungkin karena tahap perbaikan yaa jadi bbrp fasilitas masi belum bisa dimainkan. Banyak penjual2 yang jualan di sekitarnya. Pokonya main kesini dont worry. Ohiya ad beberapa pc yang udah agak² eror gtuu. Mungkin karena uda lama belum ganti. Semoga kedepannya uda diganti.
Ga bakal nyesellll bisa main kesini insyaallah friend"
Taman Pintar Yogyakarta,Puji_ Jee,seminggu lalu,2 bintang,"Sebenernya saya suka dengan tempat ini, tapi di area parkir keamanan sungguh sangat buruk. Saya meletakkan buah yang saya beli sekitar 60 ribu di sepeda motor, tapi ketika saya kembali tiba² hilang entah kemana. Seharusnya tempat wisata sebesar ini bisa menjamin keamanan wisata. Sangat kecewa dengan keamanan di tempat ini🙏🏻 cukup sekali seumur hidup, gak mau kesini lagi🙏🏻"
Taman Pintar Yogyakarta,Ifan Puji,3 minggu lalu,5 bintang,"Plus
*Sarana belajar sangat banyak
*Lokasi di kota mudah di jangkau
*Tempat parkir cukup luas
*Fasilitas pendukung lengkap.(Masjid,toilet,informasi,atm center, security, pusat makanan, dll)
*Harga tiket cukup murah ,  sebanding dengan yang kita dapat.
*Sangat recomended untuk wisata edukasi anak.
*Petugas dan karyawan ramah.
*Kebersihan baik .

Minus
*Ada beberapa tempat yang mengalami kerusakan .
*Ada beberapa wahana yang kurang terawat

Overal sangat bagus ..."
Taman Pintar Yogyakarta,Alima Sekar,2 minggu lalu,5 bintang,"Wisata sekaligus edukasi murah meriah untuk anak anak sekeluarga.
Lokasi juga mudah dijangkau. Dr stasiun tugu naik Trans Jogja langsung sampe di depannya
Tiket masuk terjangkau. Utk masuk gedung akuarium nya Dewasa 24 k, anak2 12 k.
Senengnya di sini update utk wahana+ sarana prasarananya juga jd seneng lihatnya.
Food court nya ada harga terjangkau, ada masjid juga dan toilet.
Paling seneng ada bnyak spot untuk charge HP. Helpfull banget ini mah"
Taman Pintar Yogyakarta,mila fatma,sebulan lalu,5 bintang,"main ke sini kayak sewa gedung sendiri wehh, htm dewasa 24 anak 14, worth it bgt sii harga segitu kita keliling belajar ttg banyak hal mengenai saintek, dr lantai 1 ke lantai 3 seru bangett, bisa nyobain beberapa game juga, sama aku ketawa ngakak pas nyoba bola logam yg disentuh terus rambutku berdiri semua gr gr kelebihan elektron bermuatan negatif, asli lucu bgt 🤣🤣🤣, nyoba rumah gempa juga disini kaya simulasi di dalam rumah gituu terus sama guide nya dikasih gempa donkk wkwkwk, sama nyoba main perangkat gamelan temenku main kendang donk malah asik sendiri sendiri 🤣🤣, seruu lah intinya 😭😭"
Taman Pintar Yogyakarta,Syifa Safira,seminggu lalu,5 bintang,"Tempat yang cocok untuk liburan bersama keluarga. Banyak edukasi, spot foto menarik, dan harga nya juga terjangkau"
Taman Pintar Yogyakarta,Nur Afifah,3 bulan lalu,5 bintang,"Pertama kali kesini dengan anak2, anak-anak sayang senang sekali, tertarik dengan sains untuk anak 5 th keatas, sedang adiknya yang 4 tahun kurang tertarik, justru lebih tertarik area outdoornya, banyak permainan di area luar, jadi anak bebas bergerak. Mungkin masih perbaikan untuk tangga turun didalam gedung oval kotak, jadi pas turun terasa banget capeknya. Untuk fasilitas sudah bagus, harga masuk terjangkau. Oh ya untuk tiket wahana lain, sebaiknya dipisah dengan tiket Utama. Karena antrian tiket utama lumayan panjang kalau cuma mau nambah beli tiket wahana lain"
Taman Pintar Yogyakarta,Akbar Nursyahbani Putikeswara,3 bulan lalu,5 bintang,"Pembayaran tiket bisa menggunakan qris ya

Datang pas baru buka banget jadi emang enggak ada antrian.

Untuk tempat tempat di dalam cukup interaktif, penuh dengan media pembelajaran secara langsung dan tidak langsung. Seru banget jadi anak anak bisa berwisata, bermain, dan belajar juga

Ada beberapa spot yang memang harus membayar tiket tambahan, yang nominalnya juga tidak terlalu mahal sih. Dan ada jam jam tertentu bisa masuk

Tapi dengan harga masuk segitu, dapat banyak spot belajar sebanyak ini sih udah keren banget ya"
Taman Pintar Yogyakarta,Sulistiyo Wibowo,4 bulan lalu,3 bintang,"Setelah kurang lebih 5 tahunan tidak berkunjung ke Taman Pintar ini, kemarin berkesempatan mengunjungi taman ini lagi. Sejujurnya, cukup kecewa sih karena selama 4 tahun ini Taman Pintar ini ya gitu2 aja. Gak ada sesuatu yang baru dan wah. Malahan beberapa fasilitas/percobaan di gedung oval kotak ada yang rusak dan tidak segera diperbaiki, seperti dinosaurus yang mulai rusak, beberapa alat yang didisplay rusak dll.
Poster-poster tokoh dan ilmuwan di dinding pun juga gak diupdate.😅😔
Bagi yang belum pernah ke sini pasti tidak akan terasa, tapi bagi yang pernah pasti kecewa sih.
Untuk harga tiket wahana gedung oval kotak, planetarium, dan lainnya bisa dilihat di foto yang saya lampirkan. Bagi yang mengajak anak yang masih terlalu kecil, mungkin beberapa wahaha/percobaan/display alat di sini kurang menarik. Akses jalan keluarnya juga cukup rumit dan melelahkan.
Semoga kedepannya taman pintar ini tetep berbenah dan memperbaiki fasilitas yang ada di dalamnya.😄"
Taman Pintar Yogyakarta,Lutsfi s,3 minggu lalu,4 bintang,"Taman Pintar merupakan salah satu tempat untuk berwisata edukasi bersama anak-anak Anda
Banyak spot yang menarik disana
Anak-anak bisa mencoba langsung
Bisa sampai seharian jika menikmati nya
Silakan datang bersama keluarga Anda"
Taman Pintar Yogyakarta,DCR,4 bulan lalu,5 bintang,"Bagus buat edukasi anak2. Tiket terjangkau, paling mahal tidak sampai 30k/orang. Anak-anak bisa bereksperimen untuk menambah pengetahuan mereka dg alat peraga/visual yang nyata. Saking luasnya ini gedung agak pusing juga ya muter-muter😄. Masih ada beberapa titik renovasi, jadi kalau mau keluar dari gedung kita diharuskan naik turun tangga dulu. Di dekat pintu keluar ada food court dan di dalam gedung ada toiletnya juga. Parkir kendaraan besar ada di sebrang tapin. Kalau musim liburan sedikit susah untuk mendapatkan parkir. Denger-denger kita bisa booking tempat parkir jauh-jauh hari lho😁"
Taman Pintar Yogyakarta,Mukhamad Arif,3 bulan lalu,5 bintang,"Tempat menarik untuk dikunjungi. Namun cukup crowded ketika kami datang, lagi ada kunjungan dari sekolah darul ulum. So penuh sesak. Bagus isinya, banyak banget yang ditampilkan. Sampai gempor kaki melangkah. Tiket ga terlalu mahal tapi kalau berempat jadinya ga worthed. Panas penuh sesak yang bikin suasanya ga nyaman sih, tapi recomended. Pas buat anak kelas SD kelas 4 sd SMP."
Taman Pintar Yogyakarta,Nadiya Anggraini,2 bulan lalu,4 bintang,"Saya ke sini pas umur 22th ga cocok sih tp seneng pol busett. Barengan ama bocil TK SD sedang piknik ceria dan asique.

Di sini ada 3 lantai kayanya, saya pergi ke semua space yg ada di sini smp bb bisa turun 3kg waktu itu yaampun

Klean klo mau liat dino kesini aja ya onti angkel, gpp wes gede gausah isin wong biasane adw ngisin2i too. Seru pol og!! Hohoo"
Taman Pintar Yogyakarta,Ika Berliana,2 bulan lalu,5 bintang,Tempat wisata edukasi kalo di Jogja dari zaman SD sampe jadi Guru ya ke Taman Pintar. Setiap tahun kesini ada yang baru dan lebih seru. Semoga bertambahnya waktu semakin bagus dan banyak wahana seru lainnya.
Taman Pintar Yogyakarta,JAFFAN Media,4 bulan lalu,5 bintang,"Yang punya anak kecil kalau liburan ke Jogja jangan sampai terlewat di tempat ini, banyak wahanan yang asik, disamping hiburan ada materi pendidikan juga, dan juga bisa mengenal dunia secara mininya.."
Taman Pintar Yogyakarta,Arina Heriyanti,4 minggu lalu,4 bintang,"Salah satu tempat wisata yang sangat cocok untuk anak-anak, lokasi berdekatan dengan titik 0 KM Yogyakarta. Untuk loket pembelian tiket terdapat di dekat pintu masuk gedung Oval. Banyak edukasi bermanfaat terkait negara dan wawasan umum lainnya di dalam gedung Oval (sebagai bangunan utama).

Harga tiket terjangkau (Bisa di cek melalui website Taman Pintar) untuk HTM anak-anak dan dewasa berbeda. Tersedia juga taman kreasi anak yang memfasilitasi aktivitas seperti melukis, membatik, dan lainnya.

Sayangnya tidak ada tiket paket yang disediakan, di setiap gedung dan wahana pembayaran terpisah. Dan masih ada beberapa yang perlu dibenahi di antaranya:
1. Untuk area taman depan tidak terawat dan perlu dilakukan pengecatan ulang.
2. Untuk kolam ikan, jumlah ikan sedikit dan kaca kotor. Pencahayaan juga kurang.
3. Di area lt. 2 bagian pemerintah (lupa di bagian mana tepatnya), lantai kesat dan tidak nyaman saat diinjak pengunjung.
4. Untuk area kolam perahu, sebaiknya sering dilakukan pembersihan. Kolam sudah hijau sekali
5. Alat peraga yang ada di dalam gedung oval beberapa mengalami kerusakan. Bisa diganti ya-"
Taman Pintar Yogyakarta,Nani Amani,3 bulan lalu,5 bintang,"Taman Pintar Yogyakarta

Buka : setiap hari
Jam : 07.00 - 17.00

Tiket masuk : Rp. 20.000,-

Wahana :
- Zona pengolahan sampah
- Wahana Bahari
- Science Theater
- Play ground
- Zona Perpustakaan
- Kampung Kerajinan
- Gedung PAUD
- Planetarium
- Gedung Kotak
- Gedung Oval

Fasilitas tersedia :
Parkir luas
Kantin
Toilet
Mushola bersih

Catatan :
- Sediakan selalu uang kecil untuk masuk ke toilet, sekali masuk toilet infaknya 2 ribu rupiah
- Sebaiknya bawa mukenah pribadi agar ibadah lebih nyaman
- sedia sandal dan plastiknya, simpan sandal/sepatu di plastik dan masukkan tas, karena ketika ke musholah banyaknya pengunjung membuat alas kaki kita ke sempar secara acak"
Taman Pintar Yogyakarta,Arsya Dwi Tarana,2 minggu lalu,5 bintang,"Taman bermain edukatif, masing-masing zona ada biaya masuk yang harus dibeli di tiket. Kalau ngga masuk cuma di luar bisa ajak anak-anak di area playground yang outdoor di bagian paud barat free 👍"
Taman Pintar Yogyakarta,Setianne Arin,4 bulan lalu,5 bintang,"Seru, anak suka sekali. Tapi yg lantai 3 lagi direnovasi, semoga bisa segera selesai jadi bisa main lebih puas. Dan pas masuk ada aquarium bentuk lengkung gt ."
Taman Pintar Yogyakarta,Lukman El Hakim,4 bulan lalu,2 bintang,"Mungkin ini dulu jadi wisata andalan buat para pelajar, karna taman ini menyajikan banyak sekali ilmu pengetahuan yg di terapkan atau di gambarkan dlm visual yg nyata, guna memahami lebih mudah. Namun sekarang banyak spot yg sudah rusak, sepertinya sejak dr awal tidak pernah ada perbaikan, beberapa dibiarkan begitu saja, Toilet dalam gedung oval bau dan kotor, tdk banyak AC yg menyala, terkadang beberapa titik menggunakan kipas angin. Mungkin perlu management yg lebih baik lagi guna perbaikan yg berkala maupun spot lebih inovatif agar tidak membosankan agar selang tahun tidak gitu-gitu aja."
Taman Pintar Yogyakarta,Dini Mutia,3 bulan lalu,5 bintang,"Harga tiket murah
Untuk permainan outdoor macem²
Hanya memang krna dikawasan wisata jadi sangat ramai dengan rombongan

Untuk indoornya ga terlalu menarik untuk anak under 5tahun
Bbrp alat sudah usang , dan bbrp msh perbaikan
Tp so far anak tetap menikmati"
Taman Pintar Yogyakarta,Aqua Penyok,3 bulan lalu,5 bintang,"Selama ± 5  jam di Taman Pintar, kami tidak hanya bersenang-senang tetapi juga mendapatkan pengalaman belajar yang berharga. Taman Pintar adalah destinasi yang sempurna bagi keluarga yang mencari gabungan antara hiburan dan pembelajaran. Saya dengan tulus merekomendasikan Taman Pintar kepada semua pengunjung Yogyakarta untuk pengalaman berwisata yang menyenangkan dan mendidik bersama keluarga."
Taman Pintar Yogyakarta,Ummu Husna,4 bulan lalu,5 bintang,"Recomended membawa anak-anak ke taman pintar, selain rekreasi ketika libur sekolah, mereka juga bisa upgrade ilmu, sangat bermanfaat sekali, tempatnya nyaman, bersih, menambah wawasan, tiket masuk cukup terjangkau."
Taman Pintar Yogyakarta,kedaisehat ESQ,4 bulan lalu,5 bintang,"Recommended banget buat bawa anak2 liburan kesini.
Wajib banget keliling gedung oval jangan ambil tiket mepet dg planetarium, Krn planetarium itu ada jam nya, klo jam nya terlewat bisa hangus.
Sedang gedung oval 3 lantai menarik semua apalg bawa anak2 1 jam keliling gedung ini pasti kurang.

Jajananpun relatif murah utk tempat wisata. Dan trans jogja pun haltenya pas bgt, jd mumer klo buat pendatang yg g punya kendaraan hehe"
Taman Pintar Yogyakarta,Nabila Aulia Rahma,4 bulan lalu,4 bintang,"Tiketnya cuma 20rb, tempatnya sangat mengedukasi, cuma yang di lantai 3 banyak zona yang kosong, perlengkapan di zona zona jika ditambahkan lagi akan lebih bagus lagiii."
Taman Pintar Yogyakarta,Septia Indria,5 bulan lalu,5 bintang,"dalemnya bgs sih spt sgt mengedukasi yah, dari mulai masuk aja udah ada spt drum yg nempel di dinding, kalau kalian punya adek gt ajak aja kesini, lumayan mngedukasi, namanya jg taman pintar, waktu kesini lg ada event gt."
Taman Pintar Yogyakarta,Desty Amilia Nur Cahyani,4 bulan lalu,4 bintang,"Waktu ke sini, tiket masuk 3 org 118 ribu masuk gd oval, gd kotak dan termasuk planetarium.. untuk mengexplore gedung oval dan kotak minimal 2 jam lah.. cocok untuk edukasi anak.."
Taman Pintar Yogyakarta,Alifah Rossy,4 bulan lalu,5 bintang,Baru pertama kali ke sini... Cocok untuk menambah wawasan anak2 mengenai ilmu sains karena banyak wahana sains yang sudah dikelompokkan sesuai dengan materinya
Taman Pintar Yogyakarta,Fitria Cahyaningrum,5 bulan lalu,3 bintang,"Kenapa byk percobaan di gedung oval dan kotak tdk berfungsi dg baik? Dr dpn sdh krg sreg krn dinosaurusnya dah pada potel² tangan bdan dsb.. utk 20rb masuk disitu fasilitas kurang oke mnurutku tdk sepadan. Jd plis bkin wisatawan kurang puas klo pemeliharaannya tdk tepat. Byk info² yg tdk diupdate spt para ilmuwan yg dipajang di dinding.. spt b.j habibie yg sudah wafat tp blm tercantum. Main ke wahana lalu lintas,, utk anak usia 4 th sangat² krg safety. Krn motor aki nya stangnya tdk lurus dg ban shgga membahayakan, gas jg tdk stabil. Penjaga hny duduk² main hp. Yah amat disayangkan lah.."
Taman Pintar Yogyakarta,Tito Wahyu Purnomo,6 bulan lalu,4 bintang,"Merupakan tempat wisata edukasi yang sangat menyenangkan. Banyak wahana yang bisa dinikmati oleh si buah hati. Mulai dari peragaan sains di gedung oval, planetarium, gedung Paud, dan pusat kerajinan. Di bagian halaman terdapat playground dan taman lalu lintas untuk memberikan edukasi berkendara yang baik. Harga tiket cukup masuk akal dan terjangkau. Sayangnya taman pintar belum menyediakan parkiran motor yang resmi. Parkir motor terletak di samping toko buku dan dipatok harga 3 ribu oleh kang parkir yg sepertinya tidak resmi, juga tidak diberi karcis parkir."
Taman Pintar Yogyakarta,mel depuratum,6 bulan lalu,4 bintang,Lokasinya di depan kantong parkir senopati. Harga tiketnya terjangkau. Banyak ilmu pengetahuan yang bisa didapatkan. Sangat bagus bila mengajak anak-anak sambil belajar menyenangkan.
Taman Pintar Yogyakarta,Big Giant,2 bulan lalu,5 bintang,"Harga tiketnya murah, tempatnya bagus dan banyak ilmu pengetahuan yang bisa kita pelajari"
Taman Pintar Yogyakarta,Cahaya Safitri,4 bulan lalu,4 bintang,"Saya kesana jam 15.an banyak rombongan dari luar kota yang berkunjung,, obyek wisata yang terjangkau dan ramah anak .Hanya saja sekelas Taman Pintar kenapa tidak ada wifi atau free hotspot😃,padahal dari namanya saja taman pintar,harusnya bisa mendukung untuk berkemajuan dan kemudahan dalam mengakses teknologi,, sekelas warung di pantai Jungwook di Gunungkidul saja ada wifinya ,masak ini ditengah kota Yogyakarta,tidak ada kemudahan akses internet 😁😁,semoga kedepannya diadakan ya"
Taman Pintar Yogyakarta,Septianah Agung Pudjiyanto,2 bulan lalu,5 bintang,"Pilihan utama di sini Adalah paud pintu Timur,Si kecil betah banget, permainannya seru dan pendamping anak Ada 3 orang Ramah dan aktif ajak Si kecil bermain, sayangnya Ga boleh ambil FOTO di bagian dalam. terimakasih ya (Adlan)"
Taman Pintar Yogyakarta,El nana,2 bulan lalu,5 bintang,"pengalaman disini sangat menyenangkan, cocok untuk para keluarga karena disini berisi informasi dan edukasi yg dikemas secara menarik."
Taman Pintar Yogyakarta,Kiki,9 bulan lalu,4 bintang,"Cukup menghibur bawa anak balita ke sini untuk ngenalin macam-macam science, sejarah dan budaya. Banyak wahana yang tidak beroperasi karena sedang dalam perbaikan dan bukan jam operasionalnya saat saya berkunjung.

Sedikit masukan untuk area indoor playground untuk diperhatikan lagi kebersihannya. Dulu sempat mampir karpetnya bau kaki sekali dan sangat lusuh. Tadi sepertinya juga belum berubah kondisinya.

Semoga ke depannya diperbanyak pilihan makanan minuman yang sehat untuk anak-anak."
Taman Pintar Yogyakarta,kansa imut fetriyantari,5 bulan lalu,5 bintang,"Alhamdulillah .....merupakan pengalaman yang asyik dan seru bagi anak anak KB RA Bintang Kecil dapat berkegiatan seru di zona taman lalu lintas Taman Pintar. Anak anak diberi kesempatan belajar tentang etika berlalu lintas di jalan seperti saat bersepeda, berjalan dan menyeberang jalan, serta bermain ular tangga lalu lintas. Banyak ilmu  dan hadiah yang anak anak dapatkan...terima kasih AHM dan Taman Pintar   semoga semakin jaya.."
Taman Pintar Yogyakarta,Cheezy,8 bulan lalu,4 bintang,"Wisata yg affordable buat keluarga, kalo lagi liburan antrenya panjang. Wahana yg cocok untk orang dewasa menurut aku gedung oval dan kotak, membatik dan membuat gerabah, planetarium. Sayang bgt aquariumnya nggak penuh lgi. Selebihnya kids friendly bgt, dan ada juga wahana yg untuk balita. Kadang ada bazar di pekarangannya, jual banyak makanan minuman. Tpi walaupun gada bazar di dalemnya ada kantin."
Taman Pintar Yogyakarta,balang dewa,4 bulan lalu,5 bintang,"Wisata edukasi buat anak anak
Mulai dari zaman purba sampai futuristik
Alat peraganya juga lengkap
Edukasi budaya juga ada karena ada gamelan yang bisa di mainkan mengukuti instruksi layar
Tiket masuk juga terjangkau
Tersedia juga wahana permainan yang edukatif
Dulu ada wahana bermain air tapi sekarang sudah ga dibuka lagi padahal dulu anak anak bisa bermain air di air mancur"
Taman Pintar Yogyakarta,Haris Sudrajat,2 bulan lalu,3 bintang,"Baru pertama kali ke Taman Pintar dg mengajak anak usia PAUD. Dari banyak spot yang ada di Oval Kotak hanya beberapa saja yang bisa menarik perhatian bagi anak saya

Mohon diperhatikan kondisi bangunan / wahana yang berada dilingkup Taman Pintar, tadi tidak sengaja menemukan perosotan yang sudah pecah (seperti di gambar). Cukup berbahaya jika dipakai anak tidak dalam pengawasan. Dan juga petugas tiketing di wahana 4D sangat tidak ramah.

First impression : BURUK"
Taman Pintar Yogyakarta,Candra Wijaya,10 bulan lalu,4 bintang,"Seperti nama lokasinya yaitu Taman Pintar, maka tidak jauh berbeda pula dengan aneka wahana ataupun kegiatan kreatifitas yang disediakan di tempat wisata edukasi ini yang memang bertujuan sebagai tempat belajar anak dan tempat obervasi anak akan lingkungan sekitarnya. Kami memang suka sekali berwisata sekaligus memberikan pengalaman belajar yang menarik buat anak-anak, nah salah satunya di Taman Pintar Yogyakarta ini.

Terdapat beberapa wahana dengan tiket terpisah tersedia disini. Kami memilih wahana planetarium yang berisi pertunjukan visual mengenai astronomi dan gedung oval dan gedung kotak yang berisi zona peraga sains dan teknologi. Dengan biaya tiket yang terjangkau, 22.000 rupiah untuk tiket planetarium dan  20.000 untuk tiket gedung Oval-Kotak Anda sudah bisa menikmati wisata edukasi utama di Taman Pintar (Menurut saya dua wahana ini wajib dikunjungi).

Ada beberapa hal yang sayangnya cukup mengecewakan, misalnya adanya beberapa alat peraga yang saat kami berkunjung rusak, kurang terawat atau masih dalam tahap perbaikan. Seperti bioskop 4D dan Dino adventure. Selain itu akses saat turun setelah menikmati wahana di gedung

Simpulan akhirnya, kami senang dan mendapatkan kesan yang baik selama berwisata di Taman Pintar Yogyakarta"
