location_name,name,date,rating,review_text
Taman Sari,Renjuncakes,2 minggu lalu,4 bintang,"Biaya around 20-25k (lupa), parkir 2k.
Recommend pas pagi karna siang panas sekali.
Tempat ramai jd aga sulit kalo ambil foto ga bocor sm org lain. Pemandangan bagus, tp untuk tiket segitu, tempat kurang terawat kebersihannya. Udah 2x kesini tp bingung ini udah keliling di semua tempat atau udah. Kalau mmg udah semua, berarti nggak terlalu luas yah jangkauannya.
Recommend pakai tour guide buat sekalian belajar, tp kalau cuma mau mampir dan foto2 doang okay aja tanpa guide tour. Mungkin bisa minta brosur/selebaran peta di loket biar gak bingung pas keliling.
(Saran kalau ga mau pake tour guide, pas ditawarin dijawab pake bhs jawa aja/ngaku org jogja).
Kenaikan biaya lumayan karna terakhir keknya cuma 5k (pas tahun 2022 sih). Harga tour guide gatau krn gapernah, mungkin tiap guider beda2."
Taman Sari,Joshua Pratama,3 hari lalu,5 bintang,"Tempat Bagus… tapi panas poll waktu berkunjung lebih baik pagi hari atau sore. Area sangat luas, ke sini sengaja enggak pakai tour guide untuk keliling area taman sari tapi memilih tanya tanya ke warga lokal. HTM 15K sangat terjangkau"
Taman Sari,Dea RM,seminggu lalu,5 bintang,"Salah satu destinasi wisata sejarah yang ramai dikunjungi di Jogja. Tempatnya bagus untuk spot berfoto. Jam bukanya mulai dari pukul 09.00. Katanya, ini tempat mandi para bangsawan jaman dulu. Untuk tiket masuknya bisa dilihat di foto terlampir, bisa bayar tunai atau dengan Qris. Di area wisata tersedia guide yang akan membantu menjelaskan sejarah tempat ini."
Taman Sari,Eggi Nurmayadi,4 hari lalu,5 bintang,Peninggalan bersejarah semenjak zaman Sultan Hamengkubuwono 1. Tempat pemandian indah zaman itu. Raja dan para istrinya yang berjumlah 10 orang mandi bersama di tempat itu. Bangunan yang di bangun bekerjasama dengan ahli dari Portugal masih menampakkan masa kejayaan kerajaan Yogyakarta pada saat itu. Sekarang sedang akan di restrukturisasi lagi agar taman sari ini kembali menjadi taman bunga kerajaan.
Taman Sari,Raisa Nabila,2 minggu lalu,5 bintang,"Cantik sekali, beneran epic, semuanya masih terjaga keasliannya.
Harga domestik tiketnya 15k ya
Untuk parkir motor 3k.
Kemudian disini saya pakai jasa guide, bapak guidenya baik bgt dan bayarnya jg seiklasnya dong, panjang umur bapak.
Foto yang diambilin sama bapaknya bener2 bagus banget, terus diajak keliling tiap sudut taman sari juga, sehingga ga cuma foto di tempat pemandiannya doang.
Overall good, gaada calo atau harga yang diketok"
Taman Sari,Nufina Ekawardani,sebulan lalu,5 bintang,"Dtg nya kalo bisa pagi2 (jam buka) biar ga terlalu panas. Kalo siang jam 13.00an panas nya luar biasa. Harga tiket sangat murah cuma 15k. Bisa pake pemandu. Buat ngarahin lokasi dan bisa bantuin foto jg, bayar pemandu bebas se iklasnya. Bagus bgt sih ini. Cuma panas bgt aja kalo siang. Di sekitar lokasi ada bbrp cafe, jdi pas bgt abis beres panas2an lsg ngafe"
Taman Sari,Ephram,sebulan lalu,4 bintang,"Tempat nya cukup luas, banyak bangunan yg menarik dan seru banget. Saya sarankan untuk pergi menuju taman sari pada pagi hari karena jika sudah melebihi jam 11 pagi panasnya beuhhhh. Harga tiket murah bgtt 15/org sudah dapat semua akses. Didalem sanagt bagus, kolam nya bersihh, bangunan masih alami semua. Bagus banget jadi spot foto yg menarik."
Taman Sari,S. Auliana,2 bulan lalu,5 bintang,"Harga tiket masuknya 15rb untuk dewasa, 10 rb untuk anak anak. Untuk rombongan biasanya di pisah antri tiketnya, ga antri di loket tapi disuruh masuk ke dalem. Disana kalian juga bisa sewa tour guide biar bisa lebih tau cerita sejarah taman sari. Untuk tarif tour guide itu 100rb per 1  rombongan (kurang lebih 20 orang). Nah tour guide ini juga sering inisiatif nawarin buat fotoin kita jadi kalian pasti ga akan kekurangan dokumentasi, dan tour guide ini juga tau spot foto yang ciamik.
Untuk rombongan yang pake bus ada tempat parkir yang disediakan buat ke taman sari, karna posisinya di luar area taman sari dan cukup jauh jadi kita harus naik shuttle seharga 5rb/orang dan kalau pp jadi 10rb/orang."
Taman Sari,Nur Wasilatus Sholeha,5 hari lalu,5 bintang,"Di hari libur lumayan rame, biar gak bingung kamu bisa minta jasa guide. Tiket harganya 15k untuk domestik"
Taman Sari,Stephanie A,2 hari lalu,5 bintang,"Bagus. Air kolamnya jernih. Tempatnya panas dan cukup berdesakan kalau sedang jam padat.
Di area depan taman sari banyak jajanan dan tempat makan."
Taman Sari,Fitri Aisyah,4 minggu lalu,5 bintang,"Pengalaman yg berkesan bisa kesini di musim libur lebaran 2024. Datang pagi hari saat baru buka jadi blm terlalu ramai, masih nyaman bawa 2 anak.
Pemandu wisata yg ramah, jelasin soal sejarah dan filosofi yg legendaris. Tips yg kita berikan juga katanya turut membantu melestarikan UMKM batik masyarakat sekitar.
Terimakasih buat pak @wiardiyadi yg udah jadi guide plus fotografer yg keren banget hasilnya. 🙏🏻"
Taman Sari,Raden Agus Hanif,4 minggu lalu,5 bintang,"Bolang wisata bersejarah di taman sari yogyakarta,berupa peninggalan kolam pemandian.
Tempat ini kelilingi dengan tembok tinggi besar berarsitek perbaduan Jawa dan portugis,kolam ini dulu terkenal dengan nama suryoputran,artinya segoro (laut buatan), istilah sekarang mungkin kolom renang,cukup unik bila di telusuri sejarahnya,cuma sayang,waktu kesana ada tempat yang ditutup,jadi tidak semua dapat di telusuri,semoga namti bisa di buka kembali.....berupa terowongan bawah tanah ada yang tembus sampai pasar dan siti hinggil."
